Date,Value
10/31/2014,86.36
9/30/2014,94.67
8/31/2014,101.12
7/31/2014,104.94
6/30/2014,111.03
5/31/2014,109.21
4/30/2014,108.63
3/31/2014,105.95
2/28/2014,108.98
1/31/2014,108.16
12/31/2013,109.95
11/30/2013,111.07
10/31/2013,107.53
9/30/2013,107.85
8/31/2013,115.97
7/31/2013,107.89
6/30/2013,102.49
5/31/2013,100.43
4/30/2013,101.53
3/31/2013,108.46
2/28/2013,112.2
1/31/2013,115.55
12/31/2012,110.8
11/30/2012,110.84
10/31/2012,109.89
9/30/2012,111.36
8/31/2012,113.93
7/31/2012,105.93
6/30/2012,94.17
5/31/2012,103.86
4/30/2012,118.66
3/31/2012,123.41
2/29/2012,122.23
1/31/2012,110.26
12/31/2011,108.09
11/30/2011,111.22
10/31/2011,108.43
9/30/2011,105.42
8/31/2011,116.48
7/31/2011,115.93
6/30/2011,111.71
5/31/2011,117.18
4/30/2011,126.59
3/31/2011,116.94
2/28/2011,112.27
1/31/2011,98.97
12/31/2010,93.23
11/30/2010,86.02
10/31/2010,82.47
9/30/2010,80.77
8/31/2010,75.51
7/31/2010,77.5
6/30/2010,74.94
5/31/2010,73
4/30/2010,86.19
3/31/2010,80.37
2/28/2010,76.36
1/31/2010,71.2
12/31/2009,77.91
11/30/2009,77.77
10/31/2009,74.91
9/30/2009,65.82
8/31/2009,69.02
7/31/2009,70.08
6/30/2009,68.11
5/31/2009,64.98
4/30/2009,50.3
3/31/2009,46.13
2/28/2009,44.41
1/31/2009,44.17
12/31/2008,35.82
11/30/2008,47.72
10/31/2008,60
9/30/2008,93.52
8/31/2008,113.49
7/31/2008,124.1
6/30/2008,138.4
5/31/2008,127.85
4/30/2008,111.12
3/31/2008,102.33
2/29/2008,100.9
1/31/2008,91.58
12/31/2007,93.68
11/30/2007,88.71
10/31/2007,89.87
9/30/2007,80.97
8/31/2007,72.29
7/31/2007,77.01
6/30/2007,72.22
5/31/2007,68.18
4/30/2007,67.23
3/31/2007,68.47
2/28/2007,59.39
1/31/2007,56.52
12/31/2006,58.96
11/30/2006,64.36
10/31/2006,56.13
9/30/2006,59.09
8/31/2006,67.66
7/31/2006,74.75
6/30/2006,73.2
5/31/2006,67.57
4/30/2006,72.15
