Date,Value
2014-10-31,90.33
2014-09-30,91.17
2014-08-31,97.86
2014-07-31,98.23
2014-06-30,106.07
2014-05-31,103.4
2014-04-30,100.07
2014-03-31,101.57
2014-02-28,102.88
2014-01-31,97.55
2013-12-31,98.17
2013-11-30,92.55
2013-10-31,96.29
2013-09-30,102.36
2013-08-31,107.98
2013-07-31,105.1
2013-06-30,96.36
2013-05-31,91.93
2013-04-30,93.22
2013-03-31,97.24
2013-02-28,92.03
2013-01-31,97.65
2012-12-31,91.83
2012-11-30,88.54
2012-10-31,86.23
2012-09-30,92.18
2012-08-31,96.47
2012-07-31,88.08
2012-06-30,85.04
2012-05-31,86.52
2012-04-30,104.89
2012-03-31,103.03
2012-02-29,107.08
2012-01-31,98.46
2011-12-31,98.83
2011-11-30,100.36
2011-10-31,93.19
2011-09-30,78.93
2011-08-31,88.81
2011-07-31,95.68
2011-06-30,95.3
2011-05-31,102.7
2011-04-30,113.39
2011-03-31,106.19
2011-02-28,97.1
2011-01-31,90.99
2010-12-31,91.38
2010-11-30,84.12
2010-10-31,81.45
2010-09-30,79.95
2010-08-31,71.93
2010-07-31,78.85
2010-06-30,75.59
2010-05-31,74.0
2010-04-30,86.07
2010-03-31,83.45
2010-02-28,79.72
2010-01-31,72.85
2009-12-31,79.39
2009-11-30,77.19
2009-10-31,77.04
