Date,Value
2014-10-31,90.33
2014-09-30,91.17
2014-08-31,97.86
2014-07-31,98.23
2014-06-30,106.07
2014-05-31,103.4
2014-04-30,100.07
2014-03-31,101.57
2014-02-28,102.88
2014-01-31,97.55
2013-12-31,98.17
2013-11-30,92.55
2013-10-31,96.29
2013-09-30,102.36
2013-08-31,107.98
2013-07-31,105.1
2013-06-30,96.36
2013-05-31,91.93
2013-04-30,93.22
2013-03-31,97.24
2013-02-28,92.03
2013-01-31,97.65
2012-12-31,91.83
2012-11-30,88.54
2012-10-31,86.23
2012-09-30,92.18
2012-08-31,96.47
2012-07-31,88.08
2012-06-30,85.04
2012-05-31,86.52
2012-04-30,104.89
2012-03-31,103.03
2012-02-29,107.08
2012-01-31,98.46
2011-12-31,98.83
2011-11-30,100.36
2011-10-31,93.19
2011-09-30,78.93
2011-08-31,88.81
2011-07-31,95.68
2011-06-30,95.3
2011-05-31,102.7
2011-04-30,113.39
2011-03-31,106.19
2011-02-28,97.1
2011-01-31,90.99
2010-12-31,91.38
2010-11-30,84.12
2010-10-31,81.45
2010-09-30,79.95
2010-08-31,71.93
2010-07-31,78.85
2010-06-30,75.59
2010-05-31,74.0
2010-04-30,86.07
2010-03-31,83.45
2010-02-28,79.72
2010-01-31,72.85
2009-12-31,79.39
2009-11-30,77.19
2009-10-31,77.04
2009-09-30,70.46
2009-08-31,69.97
2009-07-31,69.26
2009-06-30,69.82
2009-05-31,66.31
2009-04-30,50.35
2009-03-31,49.64
2009-02-28,44.15
2009-01-31,41.73
2008-12-31,44.6
2008-11-30,55.21
2008-10-31,68.1
2008-09-30,100.7
2008-08-31,115.55
2008-07-31,124.17
2008-06-30,139.96
2008-05-31,127.35
2008-04-30,113.7
2008-03-31,101.54
2008-02-29,101.78
2008-01-31,91.67
2007-12-31,95.95
2007-11-30,88.6
2007-10-31,94.16
2007-09-30,81.64
2007-08-31,73.98
2007-07-31,78.2
2007-06-30,70.47
2007-05-31,64.02
2007-04-30,65.78
2007-03-31,65.94
2007-02-28,61.78
2007-01-31,58.17
2006-12-31,60.85
2006-11-30,62.97
2006-10-31,58.72
2006-09-30,62.9
2006-08-31,70.38
2006-07-31,74.56
2006-06-30,73.94
2006-05-31,71.42
2006-04-30,71.8
2006-03-31,66.25
2006-02-28,61.37
2006-01-31,67.86
2005-12-31,61.06
2005-11-30,57.33
2005-10-31,59.8
2005-09-30,66.21
2005-08-31,68.63
2005-07-31,60.71
2005-06-30,56.63
2005-05-31,52.08
2005-04-30,49.2
2005-03-31,55.31
2005-02-28,51.75
2005-01-31,48.25
2004-12-31,43.36
2004-11-30,49.16
2004-10-31,51.78
