Date,Value
09/14/14,93.21
08/14/14,96.54
07/14/14,103.59
06/14/14,105.79
05/14/14,102.18
04/14/14,102.07
03/14/14,100.8
02/14/14,100.82
01/14/14,94.62
12/13/14,97.63
11/13/14,93.86
10/13/14,100.54
09/13/14,106.29
08/13/14,106.57
07/13/14,104.67
06/13/14,95.77
05/13/14,94.51
04/13/14,92.02
03/13/14,92.94
02/13/14,95.31
01/13/14,94.76
12/12/14,87.86
11/12/14,86.53
10/12/14,89.49
09/12/14,94.51
08/12/14,94.13
07/12/14,87.9
06/12/14,82.3
05/12/14,94.66
04/12/14,103.32
03/12/14,106.16
02/12/14,102.2
01/12/14,100.27
12/11/14,98.56
11/11/14,97.16
10/11/14,86.32
09/11/14,85.52
08/11/14,86.33
07/11/14,97.3
06/11/14,96.26
05/11/14,100.9
04/11/14,109.53
03/11/14,102.86
02/11/14,88.58
01/11/14,89.17
12/10/14,89.15
11/10/14,84.25
10/10/14,81.89
09/10/14,75.24
08/10/14,76.6
07/10/14,76.32
06/10/14,75.34
05/10/14,73.74
04/10/14,84.29
03/10/14,81.2
02/10/14,76.39
01/10/14,78.33
12/09/14,74.47
11/09/14,77.99
10/09/14,75.72
09/09/14,69.41
08/09/14,71.05
07/09/14,64.15
06/09/14,69.64
05/09/14,59.03
04/09/14,49.65
03/09/14,47.94
02/09/14,39.09
01/09/14,41.71
12/08/14,41.12
11/08/14,57.31
10/08/14,76.61
09/08/14,104.11
08/08/14,116.67
07/08/14,133.37
06/08/14,133.88
05/08/14,125.4
04/08/14,112.58
03/08/14,105.45
02/08/14,95.39
01/08/14,92.97
12/07/14,91.69
11/07/14,94.77
10/07/14,85.8
09/07/14,79.92
08/07/14,72.36
07/07/14,74.12
06/07/14,67.49
05/07/14,63.46
04/07/14,63.98
03/07/14,60.44
02/07/14,59.28
01/07/14,54.51
12/06/14,61.96
11/06/14,59.08
10/06/14,58.89
09/06/14,63.8
08/06/14,73.04
07/06/14,74.41
06/06/14,70.95
05/06/14,70.84
04/06/14,69.44
03/06/14,62.69
02/06/14,61.63
01/06/14,65.49
12/05/14,59.41
11/05/14,58.32
10/05/14,62.26
09/05/14,65.59
08/05/14,64.99
07/05/14,59
06/05/14,56.35
05/05/14,49.83
04/05/14,52.98
03/05/14,54.19
02/05/14,48.15
01/05/14,46.84
12/04/14,43.15
11/04/14,48.47
10/04/14,53.28
09/04/14,45.94
08/04/14,44.9
07/04/14,40.78
06/04/14,38.03
05/04/14,40.28
04/04/14,36.75
03/04/14,36.74
02/04/14,34.69
01/04/14,34.31
12/03/14,32.13
11/03/14,31.11
10/03/14,30.34
09/03/14,28.31
08/03/14,31.57
