Date,Value
2014-09-30,1216.5
2014-08-31,1285.8
2014-07-31,1285.3
2014-06-30,1315.0
2014-05-31,1250.5
2014-04-30,1288.5
2014-03-31,1291.8
2014-02-28,1326.5
2014-01-31,1251.0
2013-12-31,1204.5
2013-11-30,1253.0
2013-10-31,1324.0
2013-09-30,1326.5
2013-08-31,1394.8
2013-07-31,1314.5
2013-06-30,1192.0
2013-05-31,1394.5
2013-04-30,1469.0
2013-03-31,1598.3
2013-02-28,1588.5
2013-01-31,1664.8
2012-12-31,1657.5
2012-11-30,1726.0
2012-10-31,1719.0
2012-09-30,1776.0
2012-08-31,1648.5
2012-07-31,1622.0
2012-06-30,1598.5
2012-05-31,1558.0
2012-04-30,1651.3
2012-03-31,1662.5
2012-02-29,1770.0
2012-01-31,1744.0
2011-12-31,1531.0
2011-11-30,1746.0
2011-10-31,1722.0
2011-09-30,1620.0
2011-08-31,1813.5
2011-07-31,1628.5
2011-06-30,1505.5
2011-05-31,1536.5
2011-04-30,1535.5
2011-03-31,1439.0
2011-02-28,1411.0
2011-01-31,1327.0
2010-12-31,1405.5
2010-11-30,1383.5
2010-10-31,1346.8
2010-09-30,1307.0
2010-08-31,1246.0
2010-07-31,1169.0
2010-06-30,1244.0
2010-05-31,1207.5
2010-04-30,1179.3
2010-03-31,1115.5
2010-02-28,1108.3
2010-01-31,1078.5
2009-12-31,1087.5
2009-11-30,1175.8
2009-10-31,1040.0
2009-09-30,991.8
2009-08-31,955.5
2009-07-31,955.0
2009-06-30,935.5
2009-05-31,959.8
2009-04-30,907.5
2009-03-31,928.0
2009-02-28,985.8
2009-01-31,910.3
2008-12-31,880.3
2008-11-30,822.5
2008-10-31,730.5
2008-09-30,905.0
2008-08-31,824.0
2008-07-31,923.5
2008-06-30,930.3
2008-05-31,927.5
2008-04-30,890.5
2008-03-31,933.5
2008-02-29,937.8
2008-01-31,921.8
2007-12-31,833.8
2007-11-30,830.0
2007-10-31,788.5
2007-09-30,730.0
2007-08-31,660.9
2007-07-31,661.5
2007-06-30,650.8
2007-05-31,655.3
2007-04-30,677.0
2007-03-31,663.0
2007-02-28,685.8
2007-01-31,644.8
2006-12-31,620.5
2006-11-30,638.8
2006-10-31,608.5
2006-09-30,584.8
2006-08-31,621.3
2006-07-31,632.5
2006-06-30,583.5
2006-05-31,642.3
2006-04-30,622.5
2006-03-31,565.0
2006-02-28,553.3
2006-01-31,565.0
2005-12-31,500.0
2005-11-30,496.0
2005-10-31,470.8
2005-09-30,461.7
2005-08-31,436.8
2005-07-31,425.4
2005-06-30,439.3
2005-05-31,418.3
2005-04-30,432.9
2005-03-31,425.2
2005-02-28,435.5
2005-01-31,422.2
2004-12-31,441.1
2004-11-30,451.3
2004-10-31,429.2
2004-09-30,409.2
2004-08-31,405.1
2004-07-31,390.8
2004-06-30,404.3
2004-05-31,393.3
2004-04-30,397.0
2004-03-31,421.3
2004-02-29,399.5
2004-01-31,408.2
2003-12-31,412.0
2003-11-30,391.9
2003-10-31,386.0
2003-09-30,382.0
2003-08-31,358.8
2003-07-31,365.6
2003-06-30,346.0
2003-05-31,370.5
2003-04-30,332.6
2003-03-31,334.9
2003-02-28,355.2
2003-01-31,368.5
2002-12-31,347.2
2002-11-30,317.5
2002-10-31,314.5
2002-09-30,323.7
2002-08-31,306.0
2002-07-31,303.0
2002-06-30,326.4
2002-05-31,320.1
2002-04-30,309.7
2002-03-31,297.7
2002-02-28,292.0
2002-01-31,279.1
2001-12-31,276.5
2001-11-30,272.6
2001-10-31,278.6
2001-09-30,288.2
2001-08-31,272.8
2001-07-31,266.3
2001-06-30,272.9
2001-05-31,276.3
2001-04-30,263.2
2001-03-31,262.2
2001-02-28,263.2
2001-01-31,262.9
2000-12-31,273.1
2000-11-30,268.2
2000-10-31,264.8
2000-09-30,272.9
2000-08-31,273.7
2000-07-31,276.8
2000-06-30,284.1
2000-05-31,271.3
2000-04-30,279.9
2000-03-31,284.2
2000-02-29,292.5
2000-01-31,283.3
1999-12-31,287.3
1999-11-30,292.3
1999-10-31,302.0
1999-09-30,254.7
1999-08-31,255.4
1999-07-31,262.6
1999-06-30,266.9
1999-05-31,286.6
1999-04-30,280.6
1999-03-31,286.7
1999-02-28,286.9
1999-01-31,287.8
1998-12-31,293.3
1998-11-30,292.7
1998-10-31,297.6
1998-09-30,279.0
1998-08-31,286.2
1998-07-31,296.8
1998-06-30,288.8
1998-05-31,306.9
1998-04-30,301.0
1998-03-31,298.4
1998-02-28,301.5
1998-01-31,290.2
1997-12-31,294.4
1997-11-30,313.8
1997-10-31,337.2
1997-09-30,324.5
1997-08-31,324.1
1997-07-31,333.7
1997-06-30,343.9
1997-05-31,339.3
1997-04-30,350.0
1997-03-31,362.2
1997-02-28,344.3
1997-01-31,369.3
1996-12-31,370.8
1996-11-30,377.6
1996-10-31,378.7
1996-09-30,386.6
1996-08-31,386.3
1996-07-31,381.6
1996-06-30,390.7
1996-05-31,392.3
1996-04-30,394.2
1996-03-31,398.4
1996-02-29,409.1
1996-01-31,387.0
1995-12-31,386.2
1995-11-30,382.0
1995-10-31,383.3
1995-09-30,381.5
1995-08-31,382.9
1995-07-31,384.5
1995-06-30,383.5
1995-05-31,387.2
1995-04-30,392.3
1995-03-31,375.7
1995-02-28,376.3
1995-01-31,383.3
1994-12-31,380.1
1994-11-30,384.5
1994-10-31,393.2
