Date,Gold_Value
10/31/2014,1164.3
10/30/2014,1202.0
10/29/2014,1223.5
10/28/2014,1229.3
10/27/2014,1228.8
10/24/2014,1232.8
10/23/2014,1232.8
10/22/2014,1243.8
10/21/2014,1250.3
10/20/2014,1244.5
10/17/2014,1234.3
10/16/2014,1237.8
10/15/2014,1237.5
10/14/2014,1234.8
10/13/2014,1229.0
10/10/2014,1219.0
10/09/2014,1226.8
10/08/2014,1217.0
10/07/2014,1210.5
10/06/2014,1195.8
10/03/2014,1195.0
10/02/2014,1211.8
10/01/2014,1216.5
9/30/2014,1216.5
9/29/2014,1219.5
9/26/2014,1213.8
9/25/2014,1213.8
9/24/2014,1217.3
9/23/2014,1222
9/22/2014,1213.5
9/19/2014,1219.8
9/18/2014,1220.5
9/17/2014,1236
9/16/2014,1232.3
9/15/2014,1234.3
9/12/2014,1231.5
9/11/2014,1241.3
9/10/2014,1251
9/9/2014,1255.8
9/8/2014,1259
9/5/2014,1266
9/4/2014,1271.5
9/3/2014,1265.5
9/2/2014,1267
9/1/2014,1286.5
8/29/2014,1285.8
8/28/2014,1292
8/27/2014,1282.8
8/26/2014,1286
8/25/2014,1277.3
8/22/2014,1277.3
8/21/2014,1275.3
8/20/2014,1295
8/19/2014,1296.5
8/18/2014,1296.8
8/15/2014,1296
8/14/2014,1313.5
8/13/2014,1312
8/12/2014,1315.8
8/11/2014,1307.3
8/8/2014,1309.8
8/7/2014,1305.3
8/6/2014,1306.5
8/5/2014,1284.8
8/4/2014,1290.5
8/1/2014,1291.3
7/31/2014,1285.3
7/30/2014,1294.5
7/29/2014,1299.3
7/28/2014,1304.5
7/25/2014,1294.8
7/24/2014,1292.8
7/23/2014,1308
7/22/2014,1310.3
7/21/2014,1311.5
7/18/2014,1307.3
7/17/2014,1302.5
7/16/2014,1301
7/15/2014,1310
7/14/2014,1306
7/11/2014,1335
7/10/2014,1340.3
7/9/2014,1322.8
7/8/2014,1313
7/7/2014,1313
7/4/2014,1319.3
7/3/2014,1317.5
7/2/2014,1326.5
7/1/2014,1327.5
6/30/2014,1315
6/27/2014,1317.5
6/26/2014,1311.8
6/25/2014,1316.8
6/24/2014,1318.5
6/23/2014,1313.5
6/20/2014,1312.5
6/19/2014,1293
6/18/2014,1269.8
6/17/2014,1267.5
6/16/2014,1276.3
6/13/2014,1273
6/12/2014,1265.8
6/11/2014,1262
6/10/2014,1259.5
6/9/2014,1253.5
6/6/2014,1247.5
6/5/2014,1252.5
6/4/2014,1245.3
6/3/2014,1242.8
6/2/2014,1247.3
5/30/2014,1250.5
5/29/2014,1255
5/28/2014,1263.5
5/27/2014,1275.5
5/26/2014,1291.5
5/23/2014,1291.5
5/22/2014,1298.5
5/21/2014,1287.3
5/20/2014,1295.5
5/19/2014,1302
5/16/2014,1291.5
5/15/2014,1299
5/14/2014,1305.3
5/13/2014,1296.5
5/12/2014,1298.8
5/9/2014,1291.3
5/8/2014,1287
5/7/2014,1296
5/6/2014,1306.3
5/5/2014,1281.3
5/2/2014,1281.3
5/1/2014,1278.5
