Date,Gold_Value
10/31/2014,1164.3
9/30/2014,1216.5
8/31/2014,1285.8
7/31/2014,1285.3
6/30/2014,1315
5/31/2014,1250.5
4/30/2014,1288.5
3/31/2014,1291.8
2/28/2014,1326.5
1/31/2014,1251
12/31/2013,1204.5
11/30/2013,1253
10/31/2013,1324
9/30/2013,1326.5
8/31/2013,1394.8
7/31/2013,1314.5
6/30/2013,1192
5/31/2013,1394.5
4/30/2013,1469
3/31/2013,1598.3
2/28/2013,1588.5
1/31/2013,1664.8
12/31/2012,1657.5
11/30/2012,1726
10/31/2012,1719
9/30/2012,1776
8/31/2012,1648.5
7/31/2012,1622
6/30/2012,1598.5
5/31/2012,1558
4/30/2012,1651.3
3/31/2012,1662.5
2/29/2012,1770
1/31/2012,1744
12/31/2011,1531
11/30/2011,1746
10/31/2011,1722
9/30/2011,1620
8/31/2011,1813.5
7/31/2011,1628.5
6/30/2011,1505.5
5/31/2011,1536.5
4/30/2011,1535.5
3/31/2011,1439
2/28/2011,1411
1/31/2011,1327
12/31/2010,1405.5
11/30/2010,1383.5
10/31/2010,1346.8
9/30/2010,1307
8/31/2010,1246
7/31/2010,1169
6/30/2010,1244
5/31/2010,1207.5
4/30/2010,1179.3
3/31/2010,1115.5
2/28/2010,1108.3
1/31/2010,1078.5
12/31/2009,1087.5
11/30/2009,1175.8
10/31/2009,1040
9/30/2009,991.8
8/31/2009,955.5
7/31/2009,955
6/30/2009,935.5
5/31/2009,959.8
4/30/2009,907.5
3/31/2009,928
2/28/2009,985.8
1/31/2009,910.3
12/31/2008,880.3
11/30/2008,822.5
10/31/2008,730.5
9/30/2008,905
8/31/2008,824
7/31/2008,923.5
6/30/2008,930.3
5/31/2008,927.5
4/30/2008,890.5
3/31/2008,933.5
2/29/2008,937.8
1/31/2008,921.8
12/31/2007,833.8
11/30/2007,830
10/31/2007,788.5
9/30/2007,730
8/31/2007,660.9
7/31/2007,661.5
6/30/2007,650.8
5/31/2007,655.3
4/30/2007,677
3/31/2007,663
2/28/2007,685.8
1/31/2007,644.8
12/31/2006,620.5
11/30/2006,638.8
10/31/2006,608.5
9/30/2006,584.8
8/31/2006,621.3
7/31/2006,632.5
6/30/2006,583.5
5/31/2006,642.3
4/30/2006,622.5
3/31/2006,565
2/28/2006,553.3
1/31/2006,565
12/31/2005,500
11/30/2005,496
10/31/2005,470.8
9/30/2005,461.7
8/31/2005,436.8
7/31/2005,425.4
6/30/2005,439.3
5/31/2005,418.3
4/30/2005,432.9
3/31/2005,425.2
2/28/2005,435.5
1/31/2005,422.2
12/31/2004,441.1
11/30/2004,451.3
