Date,Value
2014-09-30,97.34
2014-08-31,101.92
2014-07-31,106.98
2014-06-30,111.87
2014-05-31,109.68
2014-04-30,107.88
2014-03-31,107.41
2014-02-28,108.81
2014-01-31,107.57
2013-12-31,110.63
2013-11-30,108.08
2013-10-31,109.48
2013-09-30,111.62
2013-08-31,110.96
2013-07-31,107.72
2013-06-30,103.11
2013-05-31,103.03
2013-04-30,102.88
2013-03-31,109.24
2013-02-28,116.45
2013-01-31,112.93
2012-12-31,109.64
2012-11-30,109.71
2012-10-31,111.97
2012-09-30,113.38
2012-08-31,113.34
2012-07-31,103.14
2012-06-30,95.59
2012-05-31,110.52
2012-04-30,120.59
2012-03-31,124.93
2012-02-29,119.7
2012-01-31,110.99
2011-12-31,107.97
2011-11-30,110.5
2011-10-31,109.47
2011-09-30,110.88
2011-08-31,110.08
2011-07-31,116.46
2011-06-30,113.76
2011-05-31,114.46
2011-04-30,123.15
2011-03-31,114.44
2011-02-28,103.96
2011-01-31,96.29
2010-12-31,91.8
2010-11-30,85.67
2010-10-31,82.92
2010-09-30,77.79
2010-08-31,76.69
2010-07-31,74.74
2010-06-30,74.84
2010-05-31,76.25
2010-04-30,84.93
2010-03-31,79.27
2010-02-28,74.31
2010-01-31,76.37
2009-12-31,74.67
2009-11-30,77.04
2009-10-31,73.19
2009-09-30,67.69
2009-08-31,72.5
2009-07-31,64.92
2009-06-30,68.59
2009-05-31,57.94
2009-04-30,50.85
2009-03-31,46.84
2009-02-28,43.24
2009-01-31,44.86
2008-12-31,41.58
2008-11-30,53.24
2008-10-31,72.84
2008-09-30,99.06
2008-08-31,113.85
2008-07-31,133.9
2008-06-30,133.05
2008-05-31,123.94
2008-04-30,110.44
2008-03-31,103.28
2008-02-29,94.82
2008-01-31,91.92
2007-12-31,91.45
2007-11-30,92.53
2007-10-31,83.04
2007-09-30,77.13
2007-08-31,70.8
2007-07-31,77.2
2007-06-30,71.32
2007-05-31,67.48
2007-04-30,67.4
2007-03-31,62.14
2007-02-28,57.76
2007-01-31,54.3
2006-12-31,62.31
2006-11-30,58.48
2006-10-31,58.38
2006-09-30,62.77
2006-08-31,73.61
2006-07-31,73.9
2006-06-30,68.86
2006-05-31,70.19
2006-04-30,70.44
2006-03-31,62.25
2006-02-28,59.92
2006-01-31,63.57
2005-12-31,56.75
2005-11-30,55.53
2005-10-31,58.52
2005-09-30,62.98
2005-08-31,64.09
2005-07-31,57.58
2005-06-30,54.31
2005-05-31,48.67
2005-04-30,51.86
2005-03-31,53.08
2005-02-28,45.56
2005-01-31,44.28
2004-12-31,39.65
2004-11-30,43.05
2004-10-31,49.77
2004-09-30,43.38
2004-08-31,43.03
2004-07-31,38.37
2004-06-30,35.19
2004-05-31,37.92
2004-04-30,33.36
2004-03-31,33.8
2004-02-29,30.87
2004-01-31,31.18
2003-12-31,29.88
2003-11-30,28.77
2003-10-31,29.59
2003-09-30,27.1
2003-08-31,29.83
2003-07-31,28.4
2003-06-30,27.55
2003-05-31,25.81
2003-04-30,25.02
2003-03-31,30.34
2003-02-28,32.65
2003-01-31,31.29
2002-12-31,28.52
2002-11-30,24.5
2002-10-31,27.55
2002-09-30,28.34
2002-08-31,26.63
2002-07-31,25.77
2002-06-30,24.13
2002-05-31,25.43
2002-04-30,25.65
2002-03-31,23.69
2002-02-28,20.29
2002-01-31,19.48
2001-12-31,18.6
2001-11-30,18.94
2001-10-31,20.48
2001-09-30,25.54
2001-08-31,25.67
2001-07-31,24.54
2001-06-30,27.72
2001-05-31,28.45
2001-04-30,25.55
2001-03-31,24.4
2001-02-28,27.41
2001-01-31,25.64
2000-12-31,25.28
2000-11-30,32.52
2000-10-31,30.93
2000-09-30,32.62
2000-08-31,29.89
2000-07-31,28.51
2000-06-30,29.68
2000-05-31,27.4
2000-04-30,22.54
2000-03-31,27.47
2000-02-29,27.63
2000-01-31,25.22
1999-12-31,25.48
1999-11-30,24.55
1999-10-31,22.12
1999-09-30,22.11
1999-08-31,20.17
1999-07-31,18.71
1999-06-30,15.6
1999-05-31,15.22
1999-04-30,15.16
1999-03-31,12.12
1999-02-28,10.2
1999-01-31,10.95
1998-12-31,9.8
1998-11-30,10.92
1998-10-31,12.56
1998-09-30,13.36
1998-08-31,11.88
1998-07-31,12.04
1998-06-30,12.06
1998-05-31,14.39
1998-04-30,13.39
1998-03-31,13.08
1998-02-28,14.06
1998-01-31,15.09
1997-12-31,17.1
1997-11-30,19.0
1997-10-31,20.05
1997-09-30,18.45
1997-08-31,18.69
1997-07-31,18.43
1997-06-30,17.55
1997-05-31,19.14
1997-04-30,17.47
1997-03-31,19.21
1997-02-28,20.83
1997-01-31,23.47
1996-12-31,23.52
1996-11-30,22.28
1996-10-31,23.68
1996-09-30,22.06
1996-08-31,19.96
1996-07-31,19.61
1996-06-30,18.27
1996-05-31,19.15
1996-04-30,21.01
1996-03-31,19.99
1996-02-29,17.97
1996-01-31,17.94
1995-12-31,17.96
1995-11-30,16.88
1995-10-31,16.12
1995-09-30,16.66
1995-08-31,16.07
1995-07-31,15.86
1995-06-30,17.35
1995-05-31,18.32
1995-04-30,18.74
1995-03-31,17.02
1995-02-28,17.14
1995-01-31,16.55
1994-12-31,15.88
1994-11-30,17.3
1994-10-31,16.43
1994-09-30,15.85
1994-08-31,16.82
1994-07-31,17.63
1994-06-30,16.74
1994-05-31,16.26
1994-04-30,15.15
1994-03-31,13.88
1994-02-28,13.75
1994-01-31,14.22
1993-12-31,13.56
1993-11-30,15.08
1993-10-31,16.56
1993-09-30,15.99
1993-08-31,16.71
1993-07-31,16.76
1993-06-30,17.59
1993-05-31,18.51
1993-04-30,18.63
1993-03-31,18.75
1993-02-28,18.48
1993-01-31,17.35
1992-12-31,18.15
1992-11-30,19.15
1992-10-31,20.26
1992-09-30,20.31
1992-08-31,19.77
1992-07-31,20.34
1992-06-30,21.28
1992-05-31,20.03
1992-04-30,19.06
1992-03-31,17.59
1992-02-29,18.48
1992-01-31,18.55
1991-12-31,18.28
1991-11-30,21.0
1991-10-31,22.25
1991-09-30,20.48
1991-08-31,19.73
1991-07-31,19.42
1991-06-30,18.08
