Date,Oil_Value
10/31/2014,80.53
9/30/2014,91.17
8/31/2014,97.86
7/31/2014,98.23
6/30/2014,106.07
5/31/2014,103.4
4/30/2014,100.07
3/31/2014,101.57
2/28/2014,102.88
1/31/2014,97.55
12/31/2013,98.17
11/30/2013,92.55
10/31/2013,96.29
9/30/2013,102.36
8/31/2013,107.98
7/31/2013,105.1
6/30/2013,96.36
5/31/2013,91.93
4/30/2013,93.22
3/31/2013,97.24
2/28/2013,92.03
1/31/2013,97.65
12/31/2012,91.83
11/30/2012,88.54
10/31/2012,86.23
9/30/2012,92.18
8/31/2012,96.47
7/31/2012,88.08
6/30/2012,85.04
5/31/2012,86.52
4/30/2012,104.89
3/31/2012,103.03
2/29/2012,107.08
1/31/2012,98.46
12/31/2011,98.83
11/30/2011,100.36
10/31/2011,93.19
9/30/2011,78.93
8/31/2011,88.81
7/31/2011,95.68
6/30/2011,95.3
5/31/2011,102.7
4/30/2011,113.39
3/31/2011,106.19
2/28/2011,97.1
1/31/2011,90.99
12/31/2010,91.38
11/30/2010,84.12
10/31/2010,81.45
9/30/2010,79.95
8/31/2010,71.93
7/31/2010,78.85
6/30/2010,75.59
5/31/2010,74
4/30/2010,86.07
3/31/2010,83.45
2/28/2010,79.72
1/31/2010,72.85
12/31/2009,79.39
11/30/2009,77.19
10/31/2009,77.04
9/30/2009,70.46
8/31/2009,69.97
7/31/2009,69.26
6/30/2009,69.82
5/31/2009,66.31
4/30/2009,50.35
3/31/2009,49.64
2/28/2009,44.15
1/31/2009,41.73
12/31/2008,44.6
11/30/2008,55.21
10/31/2008,68.1
9/30/2008,100.7
8/31/2008,115.55
7/31/2008,124.17
6/30/2008,139.96
5/31/2008,127.35
4/30/2008,113.7
3/31/2008,101.54
2/29/2008,101.78
1/31/2008,91.67
12/31/2007,95.95
11/30/2007,88.6
10/31/2007,94.16
9/30/2007,81.64
8/31/2007,73.98
7/31/2007,78.2
6/30/2007,70.47
5/31/2007,64.02
4/30/2007,65.78
3/31/2007,65.94
2/28/2007,61.78
1/31/2007,58.17
12/31/2006,60.85
11/30/2006,62.97
10/31/2006,58.72
9/30/2006,62.9
8/31/2006,70.38
7/31/2006,74.56
6/30/2006,73.94
5/31/2006,71.42
4/30/2006,71.8
3/31/2006,66.25
2/28/2006,61.37
1/31/2006,67.86
12/31/2005,61.06
11/30/2005,57.33
10/31/2005,59.8
9/30/2005,66.21
8/31/2005,68.63
7/31/2005,60.71
6/30/2005,56.63
5/31/2005,52.08
4/30/2005,49.2
3/31/2005,55.31
2/28/2005,51.75
1/31/2005,48.25
12/31/2004,43.36
11/30/2004,49.16
