Date,Value
09/30/14,1216.5
08/31/14,1285.8
07/31/14,1285.3
06/30/14,1315
05/31/14,1250.5
04/30/14,1288.5
03/31/14,1291.8
02/28/14,1326.5
01/31/14,1251
12/31/13,1204.5
11/30/13,1253
10/31/13,1324
09/30/13,1326.5
08/31/13,1394.8
07/31/13,1314.5
06/30/13,1192
05/31/13,1394.5
04/30/13,1469
03/31/13,1598.3
02/28/13,1588.5
01/31/13,1664.8
12/31/12,1657.5
11/30/12,1726
10/31/12,1719
09/30/12,1776
08/31/12,1648.5
07/31/12,1622
06/30/12,1598.5
05/31/12,1558
04/30/12,1651.3
03/31/12,1662.5
02/29/12,1770
01/31/12,1744
12/31/11,1531
11/30/11,1746
10/31/11,1722
09/30/11,1620
08/31/11,1813.5
07/31/11,1628.5
06/30/11,1505.5
05/31/11,1536.5
04/30/11,1535.5
03/31/11,1439
02/28/11,1411
01/31/11,1327
12/31/10,1405.5
11/30/10,1383.5
10/31/10,1346.8
09/30/10,1307
08/31/10,1246
07/31/10,1169
06/30/10,1244
05/31/10,1207.5
04/30/10,1179.3
03/31/10,1115.5
02/28/10,1108.3
01/31/10,1078.5
12/31/09,1087.5
11/30/09,1175.8
10/31/09,1040
09/30/09,991.8
08/31/09,955.5
07/31/09,955
06/30/09,935.5
05/31/09,959.8
04/30/09,907.5
03/31/09,928
02/28/09,985.8
01/31/09,910.3
12/31/08,880.3
11/30/08,822.5
10/31/08,730.5
09/30/08,905
08/31/08,824
07/31/08,923.5
06/30/08,930.3
05/31/08,927.5
04/30/08,890.5
03/31/08,933.5
02/29/08,937.8
01/31/08,921.8
12/31/07,833.8
11/30/07,830
10/31/07,788.5
09/30/07,730
08/31/07,660.9
07/31/07,661.5
06/30/07,650.8
05/31/07,655.3
04/30/07,677
03/31/07,663
02/28/07,685.8
01/31/07,644.8
12/31/06,620.5
11/30/06,638.8
10/31/06,608.5
09/30/06,584.8
08/31/06,621.3
07/31/06,632.5
06/30/06,583.5
05/31/06,642.3
04/30/06,622.5
03/31/06,565
02/28/06,553.3
01/31/06,565
12/31/05,500
11/30/05,496
10/31/05,470.8
09/30/05,461.7
08/31/05,436.8
07/31/05,425.4
06/30/05,439.3
05/31/05,418.3
04/30/05,432.9
03/31/05,425.2
02/28/05,435.5
01/31/05,422.2
12/31/04,441.1
11/30/04,451.3
10/31/04,429.2
09/30/04,409.2
08/31/04,405.1
07/31/04,390.8
06/30/04,404.3
05/31/04,393.3
04/30/04,397
03/31/04,421.3
02/29/04,399.5
01/31/04,408.2
12/31/03,412
11/30/03,391.9
10/31/03,386
09/30/03,382
08/31/03,358.8
07/31/03,365.6
06/30/03,346
05/31/03,370.5
04/30/03,332.6
03/31/03,334.9
02/28/03,355.2
01/31/03,368.5
12/31/02,347.2
11/30/02,317.5
10/31/02,314.5
09/30/02,323.7
08/31/02,306
07/31/02,303
06/30/02,326.4
05/31/02,320.1
04/30/02,309.7
03/31/02,297.7
02/28/02,292
01/31/02,279.1
12/31/01,276.5
11/30/01,272.6
10/31/01,278.6
09/30/01,288.2
08/31/01,272.8
07/31/01,266.3
06/30/01,272.9
05/31/01,276.3
04/30/01,263.2
03/31/01,262.2
02/28/01,263.2
01/31/01,262.9
12/31/00,273.1
11/30/00,268.2
10/31/00,264.8
09/30/00,272.9
08/31/00,273.7
07/31/00,276.8
06/30/00,284.1
05/31/00,271.3
04/30/00,279.9
03/31/00,284.2
02/29/00,292.5
01/31/00,283.3
12/31/99,287.3
11/30/99,292.3
10/31/99,302
09/30/99,254.7
08/31/99,255.4
07/31/99,262.6
06/30/99,266.9
05/31/99,286.6
04/30/99,280.6
03/31/99,286.7
02/28/99,286.9
01/31/99,287.8
12/31/98,293.3
11/30/98,292.7
10/31/98,297.6
09/30/98,279
08/31/98,286.2
07/31/98,296.8
06/30/98,288.8
05/31/98,306.9
04/30/98,301
03/31/98,298.4
02/28/98,301.5
01/31/98,290.2
12/31/97,294.4
11/30/97,313.8
10/31/97,337.2
09/30/97,324.5
08/31/97,324.1
07/31/97,333.7
06/30/97,343.9
05/31/97,339.3
04/30/97,350
03/31/97,362.2
02/28/97,344.3
01/31/97,369.3
12/31/96,370.8
11/30/96,377.6
10/31/96,378.7
09/30/96,386.6
08/31/96,386.3
07/31/96,381.6
06/30/96,390.7
05/31/96,392.3
