Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates,,,,
Metal/Currency,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,6 Month,,,,
Priced In,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,Gold,,,,
Price Type,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,% pa,,,,
Summary,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Average,Average,Average,Average,Average,Average,,,,,
1/1/1975,,,,,,,,,,,,,,,,,,,,,,,
2/1/1975,,,130.98,132.3,,,,,130.98,132.3,,,,,130.98,132.3,,,,,,,
3/1/1975,,,130.98,132.3,,,,,130.98,132.3,,,,,130.98,132.3,,,,,,,
4/1/1975,,,,,,,,,,,,,,,,,,,,,,,
5/1/1975,,,,,,,,,,,,,,,,,,,,,,,
6/1/1975,,,129.96,131.27,,,,,129.96,131.27,,,,,129.96,131.27,,,,,,,
7/1/1975,,,129.26,130.57,,,,,129.26,130.57,,,,,129.26,130.57,,,,,,,
8/1/1975,,,126.33,127.61,,,,,126.33,127.61,,,,,126.33,127.61,,,,,,,
9/1/1975,,,134.38,135.74,,,,,134.38,135.74,,,,,134.38,135.74,,,,,,,
10/1/1975,,,133.56,134.91,,,,,133.56,134.91,,,,,133.56,134.91,,,,,,,
11/1/1975,,,,,,,,,,,,,,,,,,,,,,,
12/1/1975,,,,,,,,,,,,,,,,,,,,,,,
13/01/75,,,132.25,133.59,,,,,132.25,133.59,,,,,132.25,133.59,,,,,,,
14/01/75,,,134.45,135.81,,,,,134.45,135.81,,,,,134.45,135.81,,,,,,,
15/01/75,,,132.34,133.68,,,,,132.34,133.68,,,,,132.34,133.68,,,,,,,
16/01/75,,,132.98,134.32,,,,,132.98,134.32,,,,,132.98,134.32,,,,,,,
17/01/75,,,131.18,132.5,,,,,131.18,132.5,,,,,131.18,132.5,,,,,,,
18/01/75,,,,,,,,,,,,,,,,,,,,,,,
19/01/75,,,,,,,,,,,,,,,,,,,,,,,
20/01/75,,,129.55,130.86,,,,,129.55,130.86,,,,,129.55,130.86,,,,,,,
21/01/75,,,130.23,131.55,,,,,130.23,131.55,,,,,130.23,131.55,,,,,,,
22/01/75,,,130.68,132,,,,,130.68,132,,,,,130.68,132,,,,,,,
23/01/75,,,130.21,131.53,,,,,130.21,131.53,,,,,130.21,131.53,,,,,,,
24/01/75,,,128.95,130.25,,,,,128.95,130.25,,,,,128.95,130.25,,,,,,,
25/01/75,,,,,,,,,,,,,,,,,,,,,,,
26/01/75,,,,,,,,,,,,,,,,,,,,,,,
27/01/75,,,,,,,,,,,,,,,,,,,,,,,
28/01/75,,,131.61,132.94,,,,,131.61,132.94,,,,,131.61,132.94,,,,,,,
29/01/75,,,130.34,131.66,,,,,130.34,131.66,,,,,130.34,131.66,,,,,,,
30/01/75,,,131.75,133.08,,,,,131.75,133.08,,,,,131.75,133.08,,,,,,,
31/01/75,,,131.23,132.56,,,,,131.23,132.56,,,,,131.23,132.56,,,,,,,
1/2/1975,,,,,,,,,,,,,,,,,,,,,,,
2/2/1975,,,,,,,,,,,,,,,,,,,,,,,
3/2/1975,,,130.04,131.35,,,,,130.04,131.35,,,,,130.04,131.35,,,,,,,
4/2/1975,,,130.56,131.88,,,,,130.56,131.88,,,,,130.56,131.88,,,,,,,
5/2/1975,,,129.17,130.47,,,,,129.17,130.47,,,,,129.17,130.47,,,,,,,
6/2/1975,,,129.69,131,,,,,129.69,131,,,,,129.69,131,,,,,,,
7/2/1975,,,128.28,129.58,,,,,128.28,129.58,,,,,128.28,129.58,,,,,,,
8/2/1975,,,,,,,,,,,,,,,,,,,,,,,
9/2/1975,,,,,,,,,,,,,,,,,,,,,,,
10/2/1975,,,128.9,130.2,,,,,128.9,130.2,,,,,128.9,130.2,,,,,,,
11/2/1975,,,127.92,129.21,,,,,127.92,129.21,,,,,127.92,129.21,,,,,,,
12/2/1975,,,128.26,129.56,,,,,128.26,129.56,,,,,128.26,129.56,,,,,,,
13/02/75,,,128.54,129.84,,,,,128.54,129.84,,,,,128.54,129.84,,,,,,,
14/02/75,,,131.11,132.43,,,,,131.11,132.43,,,,,131.11,132.43,,,,,,,
15/02/75,,,,,,,,,,,,,,,,,,,,,,,
16/02/75,,,,,,,,,,,,,,,,,,,,,,,
17/02/75,,,135.12,136.48,,,,,135.12,136.48,,,,,135.12,136.48,,,,,,,
18/02/75,,,133.18,134.53,,,,,133.18,134.53,,,,,133.18,134.53,,,,,,,
19/02/75,,,132.84,134.18,,,,,132.84,134.18,,,,,132.84,134.18,,,,,,,
20/02/75,,,135.03,136.39,,,,,135.03,136.39,,,,,135.03,136.39,,,,,,,
21/02/75,,,134.44,135.8,,,,,134.44,135.8,,,,,134.44,135.8,,,,,,,
22/02/75,,,,,,,,,,,,,,,,,,,,,,,
23/02/75,,,,,,,,,,,,,,,,,,,,,,,
24/02/75,,,134.9,136.26,,,,,134.9,136.26,,,,,134.9,136.26,,,,,,,
25/02/75,,,134.31,135.67,,,,,134.31,135.67,,,,,134.31,135.67,,,,,,,
26/02/75,,,133.93,135.28,,,,,133.93,135.28,,,,,133.93,135.28,,,,,,,
27/02/75,,,132.74,134.08,,,,,132.74,134.08,,,,,132.74,134.08,,,,,,,
28/02/75,,,132.16,133.49,,,,,132.16,133.49,,,,,132.16,133.49,,,,,,,
1/3/1975,,,,,,,,,,,,,,,,,,,,,,,
2/3/1975,,,,,,,,,,,,,,,,,,,,,,,
3/3/1975,,,131.82,133.15,,,,,131.82,133.15,,,,,131.82,133.15,,,,,,,
4/3/1975,,,131.66,132.99,,,,,131.66,132.99,,,,,131.66,132.99,,,,,,,
5/3/1975,,,130.19,131.51,,,,,130.19,131.51,,,,,130.19,131.51,,,,,,,
6/3/1975,,,129.34,130.65,,,,,129.34,130.65,,,,,129.34,130.65,,,,,,,
7/3/1975,,,130.99,132.31,,,,,130.99,132.31,,,,,130.99,132.31,,,,,,,
8/3/1975,,,,,,,,,,,,,,,,,,,,,,,
9/3/1975,,,,,,,,,,,,,,,,,,,,,,,
10/3/1975,,,129.93,131.24,,,,,129.93,131.24,,,,,129.93,131.24,,,,,,,
11/3/1975,,,128.45,129.75,,,,,128.45,129.75,,,,,128.45,129.75,,,,,,,
12/3/1975,,,130.06,131.37,,,,,130.06,131.37,,,,,130.06,131.37,,,,,,,
13/03/75,,,129.44,130.75,,,,,129.44,130.75,,,,,129.44,130.75,,,,,,,
14/03/75,,,130.4,131.72,,,,,130.4,131.72,,,,,130.4,131.72,,,,,,,
15/03/75,,,,,,,,,,,,,,,,,,,,,,,
16/03/75,,,,,,,,,,,,,,,,,,,,,,,
17/03/75,,,129.74,131.05,,,,,129.74,131.05,,,,,129.74,131.05,,,,,,,
18/03/75,,,129.29,130.6,,,,,129.29,130.6,,,,,129.29,130.6,,,,,,,
19/03/75,,,129.74,131.05,,,,,129.74,131.05,,,,,129.74,131.05,,,,,,,
20/03/75,,,129.86,131.17,,,,,129.86,131.17,,,,,129.86,131.17,,,,,,,
21/03/75,,,128.95,130.25,,,,,128.95,130.25,,,,,128.95,130.25,,,,,,,
22/03/75,,,,,,,,,,,,,,,,,,,,,,,
23/03/75,,,,,,,,,,,,,,,,,,,,,,,
24/03/75,,,128.32,129.62,,,,,128.32,129.62,,,,,128.32,129.62,,,,,,,
25/03/75,,,129.14,130.44,,,,,129.14,130.44,,,,,129.14,130.44,,,,,,,
26/03/75,,,129.23,130.54,,,,,129.23,130.54,,,,,129.23,130.54,,,,,,,
27/03/75,,,130.12,131.43,,,,,130.12,131.43,,,,,130.12,131.43,,,,,,,
28/03/75,,,,,,,,,,,,,,,,,,,,,,,
29/03/75,,,,,,,,,,,,,,,,,,,,,,,
30/03/75,,,,,,,,,,,,,,,,,,,,,,,
31/03/75,,,,,,,,,,,,,,,,,,,,,,,
1/4/1975,,,130.24,131.56,,,,,130.24,131.56,,,,,130.24,131.56,,,,,,,
2/4/1975,,,129.85,131.16,,,,,129.85,131.16,,,,,129.85,131.16,,,,,,,
3/4/1975,,,129.95,131.26,,,,,129.95,131.26,,,,,129.95,131.26,,,,,,,
4/4/1975,,,129,130.3,,,,,129,130.3,,,,,129,130.3,,,,,,,
5/4/1975,,,,,,,,,,,,,,,,,,,,,,,
6/4/1975,,,,,,,,,,,,,,,,,,,,,,,
7/4/1975,,,127.88,129.17,,,,,127.88,129.17,,,,,127.88,129.17,,,,,,,
8/4/1975,,,127.18,128.46,,,,,127.18,128.46,,,,,127.18,128.46,,,,,,,
