Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,Stock,Stock,CPI,CPIAUCSL_PC1,FEDFUNDS,Real US Short Term Interest Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metal/Currency,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,AUD,AUD,AUD,AUD,USD,USD,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,AUD,AUD,AUD,AUD,USD,USD,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,AUD,AUD,AUD,AUD,USD,USD,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Silver,Platinum,Palladium,Gold,Gold,Silver,Platinum,Platinum,Palladium,Palladium,AUD,Federal Funds Rate,On Call Unofficial,Gold,Gold,Silver,Platinum,Platinum,Palladium,Palladium,AUD,Federal Funds Rate,On Call Unofficial,Gold,Gold,Silver,Platinum,Platinum,Palladium,Palladium,AUD,Federal Funds Rate,On Call Unofficial,S&P/ASX 200,S&P/ASX 200,All Groups Australia,Consumer Price Index for All Urban Consumers: All Items,Effective Federal Funds Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priced In,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,JPY,JPY,JPY,JPY,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,JPY,JPY,JPY,JPY,JPY,JPY,JPY,JPY,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,JPY,JPY,JPY,JPY,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,JPY,JPY,JPY,JPY,JPY,JPY,JPY,JPY,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,JPY,JPY,JPY,JPY,AUD,AUD,AUD,AUD,AUD,AUD,AUD,AUD,JPY,JPY,JPY,JPY,JPY,JPY,JPY,JPY,USD,USD,USD,USD,USD,USD,USD,USD,USD,AUD,USD,USD,USD,USD,USD,USD,USD,USD,USD,AUD,USD,USD,USD,USD,USD,USD,USD,USD,USD,AUD,Accumulation Index,,Index,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price Type,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,Bid,Bid,Bid,Bid,Ask,Ask,Ask,Ask,AM Fix,PM Fix,Fix,AM Fix,PM Fix,AM Fix,PM Fix,Fix,% pa,% pa,AM Fix,PM Fix,Fix,AM Fix,PM Fix,AM Fix,PM Fix,Fix,% pa,% pa,AM Fix,PM Fix,Fix,AM Fix,PM Fix,AM Fix,PM Fix,Fix,% pa,% pa,http://www.abs.gov.au/ausstats/abs@.nsf/Products/1350.0~Jan+2011~Chapter~Finance+Markets?OpenDocument,http://www.abs.gov.au/ausstats/abs@.nsf/Products/1350.0~Jan+2011~Chapter~Finance+Markets?OpenDocument,http://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/6401.0Sep%202010?OpenDocument,http://research.stlouisfed.org/fred2/series/CPIAUCSL/,http://research.stlouisfed.org/fred2/series/FEDFUNDS/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,EOM,EOM,EOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35.20 ,, 2.23 ,,,,,,,,35.138,,1.96,,,,,,,,35.18,,2.09,,,,,,,,,,,3.6,4.60,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35.20 ,, 2.11 ,,,,,,,,35.191,,1.919,,,,,,,,35.2,,2,,,,,,,,,,,3.6,4.71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35.20 ,, 2.49 ,,,,,,,,35.196,,2.119,,,,,,,,35.2,,2.25,,,,,,,,,,16.3,3.9,5.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39.10 , 39.10 , 2.40 ,,,,,,,,36.7,36.95,2.104,,,,,,,,37.88,37.86,2.26,,,,,,,,,,,3.9,5.76,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42.60 , 42.40 , 2.55 ,,,,,,,,39.1,39.1,2.245,,,,,,,,40.69,40.74,2.41,,,,,,,,,,,4.2,6.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42.10 , 41.90 , 2.58 ,,,,,,,,40.2,40.7,2.421,,,,,,,,41.11,41.14,2.48,,,,,,,,,,16.4,4.2,6.07,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
