Date,1,2,3,4,5,6,7,8,9,10,11,12,Actual Value
1/1/2015,1225.2,1175.1,1172,,,,,,,,,,1182.8
1/12/2014,1190.1,1175.2,1171.6,,,,,,,,,,1182.8
1/11/2014,1197.1,1171.1,1211.1,,,,,,,,,,1164.3
1/10/2014,1224.3,1210.5,1286.5,,,,,,,,,,1216.5
1/9/2014,1214.1,1285.8,1281.7,,,,,,,,,,1285.8
1/8/2014,1281.9,1281.3,1322,,,,,,,,,,1285.3
1/7/2014,1298.3,1321.8,1245.8,,,,,,,,,,1315
1/6/2014,1316.1,1245.6,1295.9,,,,,,,,,,1250.5
1/5/2014,1259.3,1295.6,1283.7,,,,,,,,,,1288.5
1/4/2014,1298.9,1283.4,1321.6,,,,,,,,,,1291.8
1/3/2014,1294.7,1321.4,1239.8,,,,,,,,,,1326.5
1/2/2014,1328.2,1240.1,1202.3,,,,,,,,,,1251
1/1/2014,1262.2,1201.9,1250.5,,,,,,,,,,1204.5
1/12/2013,1216.1,1250.6,1323.7,,,,,,,,,,1253
1/11/2013,1241.4,1323.6,1326.8,,,,,,,,,,1324
1/10/2013,1345.2,1326.5,1395.8,,,,,,,,,,1326.5
1/9/2013,1323.6,1396.1,1312.4,,,,,,,,,,1394.8
1/8/2013,1419,1312.4,1223.7,,,,,,,,,,1314.5
1/7/2013,1328.4,1223.8,1392.8,,,,,,,,,,1192
1/6/2013,1229.6,1392.6,1472.1,,,,,,,,,,1394.5
1/5/2013,1391.3,1472.2,1595.2,,,,,,,,,,1469
1/4/2013,1453.6,1594.8,1578.1,,,,,,,,,,1598.3
1/3/2013,1595.8,1577.7,1661.3,,,,,,,,,,1588.5
1/2/2013,1615.2,1660.6,1675.8,,,,,,,,,,1664.8
1/1/2013,1660.7,1674.8,1711.6,,,,,,,,,,1657.5
1/12/2012,1662.6,1710.9,1719.1,,,,,,,,,,1726
1/11/2012,1716.5,1717.5,1772.5,,,,,,,,,,1719
1/10/2012,1707.7,1771.1,1685.3,,,,,,,,,,1776
1/9/2012,1750.6,1684.6,1611.4,,,,,,,,,,1648.5
1/8/2012,1659.8,1610.5,1604.2,,,,,,,,,,1622
1/7/2012,1617.9,1603.5,1563.3,,,,,,,,,,1598.5
1/6/2012,1577.5,1562.6,1664.2,,,,,,,,,,1558
1/5/2012,1548.6,1663.4,1670.5,,,,,,,,,,1651.3
1/4/2012,1659.6,1669.3,1711.3,,,,,,,,,,1662.5
1/3/2012,1657.9,1709.9,1739.1,,,,,,,,,,1770
1/2/2012,1773.6,1737.8,1566.8,,,,,,,,,,1744
1/1/2012,1731.8,1565.8,1747.9,,,,,,,,,,1531
1/12/2011,1562.9,1745.5,1725.2,,,,,,,,,,1746
1/11/2011,1710.8,1724.2,1621.8,,,,,,,,,,1722
1/10/2011,1746.7,1620.4,1829.3,,,,,,,,,,1620
1/9/2011,1616.3,1828.5,1629.1,,,,,,,,,,1813.5
1/8/2011,1788.4,1628.3,1502.8,,,,,,,,,,1628.5
1/7/2011,1615,1502.3,1536.3,,,,,,,,,,1505.5
1/6/2011,1499.7,1535.9,1556.4,,,,,,,,,,1536.5
1/5/2011,1522.8,1556,1439.3,,,,,,,,,,1535.5
1/4/2011,1516.7,1438.9,1409.9,,,,,,,,,,1439
1/3/2011,1416,1409.3,1334.1,,,,,,,,,,1411
1/2/2011,1415.3,1333.8,1421.4,,,,,,,,,,1327
1/1/2011,1318.4,1421.1,1385.5,,,,,,,,,,1405.5
1/12/2010,1413.1,1385,1357.6,,,,,,,,,,1383.5
1/11/2010,1362.3,1357.1,1308.8,,,,,,,,,,1346.8
1/10/2010,1322.2,1307.8,1249,,,,,,,,,,1307
1/9/2010,1306.6,1248.3,1181.5,,,,,,,,,,1246
1/8/2010,1236,1181.7,1245.9,,,,,,,,,,1169
1/7/2010,1160.4,1245.5,1213.7,,,,,,,,,,1244
1/6/2010,1238.2,1212.2,1180.7,,,,,,,,,,1207.5
1/5/2010,1213.3,1180.1,1113.9,,,,,,,,,,1179.3
1/4/2010,1171.3,1113.3,1118.9,,,,,,,,,,1115.5
1/3/2010,1110.3,1118.3,1083.3,,,,,,,,,,1108.3
1/2/2010,1096.5,1083,1096.2,,,,,,,,,,1078.5
1/1/2010,1084.4,1095.2,1181.8,,,,,,,,,,1087.5
1/12/2009,1097,1181.1,1040.4,,,,,,,,,,1175.8
1/11/2009,1186.9,1039.7,1008.7,,,,,,,,,,1054
1/10/2009,1029.9,1008,952.2,,,,,,,,,,991.8
1/9/2009,992.5,951.7,954.2,,,,,,,,,,955.5
1/8/2009,945.5,953.7,927.4,,,,,,,,,,955
