Date,1,2,3,4,5,6,7,8,9,10,11,12,Actual Value
1/12/2014,75.58,80.54,90.27,94.37,96.21,102.18,98.05,94.93,95.33,95.17,89.92,92.72,75.74
1/11/2014,82.81,91.16,95.02,96.73,102.98,99,95.67,96.16,96.03,90.54,93.34,91.23,80.53
1/10/2014,91.52,95.96,97.32,103.85,100,96.5,97.04,96.92,91.21,94,91.65,92.75,91.17
1/9/2014,96.07,98.17,104.73,101.03,97.39,97.99,97.91,92,94.76,92.08,93.34,94.26,97.86
1/8/2014,104.42,105.37,101.98,98.28,98.95,98.93,92.9,95.6,92.47,93.91,94.9,96.1,98.23
1/7/2014,107.26,102.71,99.11,99.9,99.96,93.87,96.45,92.83,94.49,95.62,96.95,95.09,106.07
1/6/2014,102.44,99.74,100.82,100.95,94.85,97.28,93.12,95.08,96.44,97.94,95.83,90.74,103.4
1/5/2014,102.13,101.58,101.89,95.8,97.99,93.29,95.61,97.27,98.94,96.5,91.17,89.4,100.07
1/4/2014,99.43,102.59,96.71,98.44,93.32,96.1,98.14,100.04,97.24,91.65,89.69,90.52,101.57
1/3/2014,102.92,97.49,98.55,93.24,96.47,99.13,101.34,98.17,92.27,90.04,90.87,94.46,102.88
1/2/2014,94.99,98.42,93.01,96.66,100.16,102.71,99.14,92.93,90.41,91.24,94.9,91.91,97.55
1/1/2014,98.77,92.72,96.65,101.15,104.17,100.32,93.64,90.83,91.65,95.37,92.21,96.95,98.17
1/12/2013,96.26,96.38,101.9,105.71,101.65,94.38,91.28,92.11,95.89,92.52,97.45,93.37,92.55
1/11/2013,97.8,102.33,107.08,102.94,95.1,91.74,92.55,96.4,92.79,97.89,93.48,91.84,96.29
1/10/2013,104.67,107.65,104.22,95.81,92.12,93,96.88,93.03,98.31,93.6,91.81,89.48,102.36
1/9/2013,104.96,105.03,96.44,92.3,93.41,97.3,93.2,98.68,93.72,91.79,89.46,93.78,107.98
1/8/2013,106.91,96.56,92.21,93.67,97.57,93.23,98.94,93.76,91.73,89.39,93.91,97.57,105.1
1/7/2013,95.4,91.97,93.68,97.64,93.11,98.99,93.7,91.63,89.27,94.04,97.83,90.48,96.36
1/6/2013,96.16,93.46,97.49,92.84,98.77,93.49,91.43,89.04,94.12,98.03,90.47,88.63,91.93
1/5/2013,88.76,97.23,92.46,98.41,93.16,91.12,88.72,94.11,98.18,90.45,88.45,88.44,93.22
1/4/2013,92.96,92.05,97.96,92.73,90.68,88.31,93.98,98.22,90.4,88.23,88.43,105.39,97.24
1/3/2013,94.46,97.49,92.27,90.13,87.83,93.76,98.12,90.28,87.95,88.4,105.69,105.2,92.03
1/2/2013,96.24,91.82,89.49,87.28,93.42,97.86,90.04,87.56,88.29,105.89,105.32,107.43,97.65
1/1/2013,89.51,88.91,86.73,93,97.49,89.67,87.13,88.13,105.97,105.33,107.68,100.19,91.83
1/12/2012,86.67,86.24,92.56,97.07,89.2,86.67,87.91,105.93,105.23,107.86,100.28,98.11,88.54
1/11/2012,88.73,92.19,96.76,88.72,86.21,87.68,105.86,105.05,107.97,100.24,98.33,98.4,86.23
1/10/2012,91.87,96.47,88.34,85.76,87.45,105.79,104.86,108.09,100.18,98.58,98.74,92,92.18
1/9/2012,96.68,88.06,85.37,87.17,105.71,104.66,108.21,100.12,98.87,99.12,92.1,81.35,96.47
1/8/2012,91.44,84.96,86.85,105.55,104.4,108.3,100.04,99.15,99.49,92.26,81.09,91.37,88.08
1/7/2012,81.8,86.53,105.26,104.03,108.25,99.9,99.38,99.87,92.43,80.84,91.21,99.82,85.04
1/6/2012,91.66,104.87,103.54,107.95,99.64,99.48,100.21,92.58,80.56,91,99.46,99.91,86.52
1/5/2012,103.05,103.02,107.52,99.27,99.41,100.45,92.71,80.29,90.78,99.09,99.54,105.07,104.89
1/4/2012,105.61,107.07,98.85,99.21,100.56,92.83,80.02,90.57,98.72,99.16,104.99,113.92,103.03
1/3/2012,105.84,98.48,99,100.55,92.92,79.8,90.35,98.34,98.78,104.91,114.16,107.79,107.08
1/2/2012,98.46,98.83,100.46,92.99,79.6,90.13,97.94,98.38,104.82,114.38,107.99,101.52,98.46
1/1/2012,97.22,100.36,93.08,79.46,89.88,97.52,97.96,104.71,114.58,108.18,101.57,99.56,98.83
1/12/2011,97.41,93.19,79.33,89.57,97.08,97.53,104.57,114.73,108.33,101.47,99.32,94.52,100.36
1/11/2011,85.3,79.2,89.16,96.6,97.04,104.36,114.78,108.35,101.31,99.01,94.48,86.77,93.19
1/10/2011,86.89,88.81,96.13,96.5,104.09,114.82,108.3,101.09,98.71,94.42,86.59,85.35,78.93
1/9/2011,84.12,95.7,95.96,103.73,114.83,108.18,100.85,98.4,94.34,86.41,85.11,85.26,88.81
1/8/2011,98.14,95.42,103.27,114.71,107.99,100.54,98.05,94.23,86.23,84.86,84.97,79.73,95.68
1/7/2011,93.4,102.7,114.43,107.71,100.11,97.53,94.06,86.05,84.61,84.69,79.39,83.59,95.3
1/6/2011,99.49,113.93,107.24,99.44,96.78,93.78,85.85,84.31,84.37,78.99,83.22,79.36,102.7
1/5/2011,108.15,106.72,98.64,95.82,93.41,85.63,83.99,84.05,78.57,82.83,79.06,80.15,113.39
1/4/2011,102.33,96.97,94.28,92.91,85.38,83.61,83.69,78.14,82.43,78.76,79.83,92.55,106.19
1/3/2011,93.57,92.19,92.22,85.08,83.21,83.21,77.68,82,78.46,79.48,92.35,85.8,97.1
1/2/2011,88.86,91.38,84.65,82.73,82.58,77.05,81.55,78.16,79.1,92.14,85.71,82.56,90.99
1/1/2011,88.81,84.11,82.15,81.81,76.19,81.06,77.85,78.69,91.91,85.6,82.35,77.9,91.38
1/12/2010,81.51,81.43,80.95,75.1,80.51,77.49,78.24,91.67,85.51,82.16,77.53,84.13,84.12
1/11/2010,81.77,79.97,73.54,79.95,77.05,77.58,91.33,85.34,81.85,77.03,83.69,84.91,81.45
1/10/2010,73.52,71.92,79.39,76.6,76.88,90.93,85.19,81.56,76.53,83.31,84.37,81.46,79.95
1/9/2010,73.46,78.95,76.16,76.12,90.41,85.03,81.29,76.05,82.92,83.86,81.1,74.96,71.93
1/8/2010,77.44,75.63,75.16,89.68,84.84,81.01,75.58,82.53,83.36,80.77,74.64,75.4,78.85
1/7/2010,77.21,73.97,88.36,84.57,80.71,75.08,82.1,82.85,80.46,74.33,75.09,77.47,75.59
1/6/2010,68.01,86.15,84.18,80.37,74.53,81.59,82.24,80.13,73.9,74.7,77.14,74.81,74
1/5/2010,83.45,83.76,80.01,73.95,81.11,81.52,79.72,73.35,74.21,76.62,74.47,70.89,86.07
1/4/2010,81.25,79.66,73.35,80.63,80.74,79.26,72.79,73.71,76.06,74.14,70.59,60.38,83.45
1/3/2010,79.81,72.89,80.02,79.84,78.79,72.22,73.18,75.44,73.81,70.28,59.65,59.93,79.72
1/2/2010,77.62,79.36,78.66,78.27,71.71,72.59,74.73,73.48,69.97,58.9,59.24,53.65,72.85
1/1/2010,73.36,77.28,77.64,71.31,72,73.95,73.13,69.62,58.13,58.51,53.09,55.36,79.39
1/12/2009,76.72,77,70.94,71.38,73.2,72.71,69.2,57.33,57.72,52.52,54.8,58.73,77.19
1/11/2009,79.09,70.61,70.66,72.4,72.2,68.68,56.41,56.79,51.89,54.16,57.93,64.61,77.04
1/10/2009,71.55,69.96,71.15,71.6,68.2,55.43,55.85,51.24,53.52,57.13,63.78,73.8,70.46
