Date,Open,High,Low,Settle,Volume,Open Interest
1991-12-31,19.57,19.68,18.9,19.13,28891.0,9261.0
1991-11-30,21.55,21.72,21.45,21.48,23692.0,67178.0
1991-10-31,23.01,23.17,22.91,23.15,13414.0,54600.0
1991-09-30,21.98,22.05,21.94,21.98,4707.0,31398.0
1991-08-31,21.75,21.85,21.69,21.85,2400.0,23748.0
1991-07-31,21.32,21.33,21.25,21.3,724.0,19904.0
1991-06-30,20.34,20.5,20.28,20.38,962.0,17459.0
1991-05-31,21.55,21.59,21.39,21.39,399.0,14837.0
1991-04-30,20.08,20.09,20.06,20.09,235.0,10409.0
1991-03-31,19.05,19.33,19.05,19.33,97.0,7318.0
1991-02-28,18.45,18.65,18.36,18.38,754.0,7443.0
1991-01-31,18.6,18.74,18.6,18.72,228.0,7543.0
1990-12-31,22.85,22.99,22.45,22.99,660.0,5681.0
1990-11-30,23.25,23.25,22.93,22.93,869.0,6266.0
1990-10-31,24.4,25.25,24.4,25.25,210.0,6295.0
1990-09-30,27.6,27.71,27.0,27.71,96.0,5292.0
1990-08-31,23.3,24.0,23.2,23.31,322.0,3076.0
1990-07-31,21.73,21.73,21.73,21.73,200.0,1203.0
