Date,Open,High,Low,Settle,Volume,Open Interest
1997-01-31,25.08,25.25,24.5,24.8,29516.0,9663.0
1996-12-31,25.4,25.96,25.33,25.92,21477.0,100654.0
1996-11-30,23.25,23.4,23.05,23.34,14559.0,48610.0
1996-10-31,23.63,23.75,22.5,22.73,10020.0,35330.0
1996-09-30,22.67,22.72,22.5,22.6,2063.0,28402.0
1996-08-31,20.35,20.41,20.3,20.41,527.0,22987.0
1996-07-31,18.76,18.88,18.76,18.81,760.0,19564.0
1996-06-30,18.5,18.55,18.35,18.37,2346.0,19399.0
1996-05-31,17.72,17.77,17.72,17.77,199.0,16914.0
1996-04-30,18.38,18.38,18.23,18.23,384.0,17376.0
1996-03-31,17.95,18.01,17.95,18.01,41.0,9241.0
1996-02-29,17.02,17.07,17.02,17.07,93.0,7468.0
1996-01-31,16.82,16.9,16.82,16.9,261.0,6966.0
1995-12-31,17.4,17.5,17.37,17.5,4.0,5154.0
1995-11-30,17.02,17.02,17.02,17.02,930.0,3311.0
1995-10-31,16.96,16.96,16.96,16.96,100.0,890.0
1995-09-30,17.0,17.0,17.0,17.0,0.0,687.0
1995-08-31,17.33,17.37,17.33,17.37,110.0,450.0
