Date,Open,High,Low,Settle,Volume,Open Interest
1998-02-28,16.2,16.39,16.02,16.15,30400.0,15802.0
1998-01-31,17.7,17.75,16.9,17.21,63739.0,94791.0
1997-12-31,17.8,18.03,17.75,17.83,7300.0,51339.0
1997-11-30,19.7,19.8,19.3,19.47,12103.0,31552.0
1997-10-31,21.13,21.27,21.03,21.03,2213.0,20953.0
1997-09-30,20.89,21.06,20.85,20.87,2941.0,12582.0
1997-08-31,19.87,19.87,19.87,19.87,253.0,10048.0
1997-07-31,20.14,20.14,20.14,20.14,678.0,6618.0
1997-06-30,19.9,20.02,19.82,20.02,68.0,5012.0
1997-05-31,20.6,20.7,20.6,20.7,435.0,4446.0
1997-04-30,20.03,20.05,19.97,19.97,19.0,4245.0
1997-03-31,20.4,20.4,20.26,20.26,80.0,3206.0
1997-02-28,19.81,19.81,19.48,19.48,630.0,3277.0
1997-01-31,20.3,20.3,20.24,20.24,85.0,2250.0
1996-12-31,20.24,20.24,20.24,20.24,0.0,1962.0
1996-11-30,19.59,19.59,19.59,19.59,0.0,1779.0
1996-10-31,19.4,19.4,19.4,19.4,0.0,1741.0
1996-09-30,19.06,19.06,19.06,19.06,0.0,1650.0
1996-08-31,18.0,18.0,18.0,18.0,0.0,1587.0
1996-07-31,17.68,17.68,17.68,17.68,0.0,1571.0
1996-06-30,17.62,17.62,17.62,17.62,0.0,1323.0
1996-05-31,17.39,17.39,17.39,17.39,0.0,912.0
1996-04-30,17.96,17.96,17.96,17.96,0.0,772.0
1996-03-31,17.93,17.93,17.93,17.93,0.0,637.0
1996-02-29,17.1,17.1,17.1,17.1,0.0,588.0
1996-01-31,17.18,17.18,17.18,17.18,0.0,437.0
1995-12-31,17.32,17.32,17.32,17.32,0.0,412.0
1995-11-30,17.16,17.16,17.16,17.16,0.0,400.0
1995-10-31,17.19,17.19,17.19,17.19,0.0,400.0
1995-09-30,17.29,17.29,17.29,17.29,0.0,400.0
