Date,Open,High,Low,Settle,Volume,Open Interest
1998-03-31,14.37,14.55,14.07,14.32,34547.0,14467.0
1998-02-28,15.5,15.58,15.21,15.44,58528.0,106838.0
1998-01-31,17.88,17.9,17.1,17.37,23990.0,50873.0
1997-12-31,17.99,18.2,17.98,18.03,3313.0,28547.0
1997-11-30,19.73,19.83,19.47,19.55,5267.0,19000.0
1997-10-31,21.0,21.12,20.93,20.93,1118.0,15280.0
1997-09-30,20.88,21.0,20.76,20.8,1572.0,10751.0
1997-08-31,19.9,19.9,19.87,19.87,228.0,7450.0
1997-07-31,20.0,20.14,20.0,20.14,894.0,5611.0
1997-06-30,19.86,20.02,19.86,20.02,130.0,4755.0
1997-05-31,20.55,20.65,20.55,20.65,39.0,4195.0
1997-04-30,20.03,20.03,19.95,19.95,1.0,4169.0
1997-03-31,20.26,20.26,20.26,20.26,0.0,3711.0
1997-02-28,19.49,19.49,19.49,19.49,10.0,3486.0
1997-01-31,20.07,20.07,20.07,20.07,60.0,3447.0
1996-12-31,20.08,20.08,20.08,20.08,610.0,3895.0
1996-11-30,19.45,19.45,19.45,19.45,0.0,1735.0
1996-10-31,19.25,19.25,19.25,19.25,0.0,1730.0
1996-09-30,18.94,18.94,18.94,18.94,500.0,754.0
1996-08-31,17.94,17.94,17.94,17.94,0.0,581.0
1996-07-31,17.67,17.67,17.67,17.67,0.0,507.0
1996-06-30,17.62,17.62,17.62,17.62,0.0,407.0
1996-05-31,17.4,17.4,17.4,17.4,0.0,386.0
1996-04-30,17.97,17.97,17.97,17.97,0.0,336.0
1996-03-31,17.97,17.97,17.97,17.97,0.0,236.0
1996-02-29,17.13,17.13,17.13,17.13,0.0,216.0
1996-01-31,17.21,17.21,17.21,17.21,0.0,211.0
1995-12-31,17.33,17.33,17.33,17.33,0.0,211.0
1995-11-30,17.18,17.18,17.18,17.18,0.0,100.0
