Date,Open,High,Low,Settle,Volume,Open Interest
1997-04-30,20.55,20.55,19.35,19.6,30217.0,18600.0
1997-03-31,20.8,20.88,20.35,20.41,32061.0,90430.0
1997-02-28,20.45,20.53,20.0,20.04,23434.0,53238.0
1997-01-31,23.65,23.72,23.19,23.19,5872.0,24733.0
1996-12-31,23.41,23.89,23.38,23.89,653.0,18480.0
1996-11-30,22.03,22.11,21.9,22.11,1383.0,14749.0
1996-10-31,22.29,22.3,21.62,21.63,1760.0,11757.0
1996-09-30,21.22,21.29,21.22,21.29,534.0,8702.0
1996-08-31,19.45,19.45,19.45,19.45,52.0,6718.0
1996-07-31,18.34,18.34,18.34,18.34,90.0,6028.0
1996-06-30,18.1,18.1,18.01,18.01,1008.0,5630.0
1996-05-31,17.47,17.47,17.47,17.47,130.0,4753.0
1996-04-30,18.0,18.03,18.0,18.03,5.0,2721.0
1996-03-31,17.8,17.8,17.8,17.8,250.0,1381.0
1996-02-29,16.96,16.97,16.96,16.97,146.0,1152.0
1996-01-31,16.89,16.89,16.89,16.89,0.0,1032.0
1995-12-31,17.37,17.37,17.37,17.37,0.0,224.0
1995-11-30,16.96,16.96,16.96,16.96,0.0,194.0
1995-10-31,16.95,16.95,16.95,16.95,0.0,145.0
1995-09-30,17.04,17.04,17.04,17.04,0.0,95.0
