Date,Open,High,Low,Settle,Volume,Open Interest
2001-05-31,30.05,30.05,29.58,29.74,39293.0,17409.0
2001-04-30,28.6,28.99,28.12,28.46,69992.0,102471.0
2001-03-31,26.7,26.82,26.21,26.57,37706.0,71998.0
2001-02-28,27.9,28.1,27.3,27.36,15665.0,38080.0
2001-01-31,27.25,27.25,26.68,26.99,8879.0,26997.0
2000-12-31,24.6,25.14,24.6,25.12,2080.0,30352.0
2000-11-30,30.1,30.1,29.5,29.5,4323.0,28179.0
2000-10-31,29.0,29.0,28.53,28.89,3182.0,28008.0
2000-09-30,29.15,29.3,29.05,29.26,1678.0,29256.0
2000-08-31,28.9,29.0,28.58,28.58,1505.0,21081.0
2000-07-31,26.1,26.1,25.55,25.64,2447.0,19099.0
2000-06-30,26.2,26.4,26.2,26.23,455.0,16675.0
2000-05-31,25.18,25.18,24.1,24.21,623.0,19635.0
2000-04-30,22.6,22.63,22.6,22.63,75.0,21596.0
2000-03-31,22.74,22.87,22.74,22.87,80.0,19176.0
2000-02-29,21.65,21.67,21.6,21.61,3314.0,18136.0
2000-01-31,20.72,20.78,20.72,20.73,270.0,15438.0
1999-12-31,18.96,18.96,18.96,18.96,102.0,8634.0
1999-11-30,17.88,17.88,17.88,17.88,500.0,7718.0
1999-10-31,18.58,18.58,18.58,18.58,1250.0,5073.0
1999-09-30,18.9,18.9,18.65,18.65,5.0,5318.0
1999-08-31,18.07,18.13,18.05,18.08,511.0,4833.0
1999-07-31,17.67,17.67,17.67,17.67,200.0,4413.0
1999-06-30,17.84,17.84,17.84,17.84,305.0,3977.0
1999-05-31,16.4,16.4,16.4,16.4,0.0,2898.0
1999-04-30,16.73,16.73,16.73,16.73,0.0,2745.0
1999-03-31,15.96,15.96,15.96,15.96,25.0,3286.0
1999-02-28,14.56,14.56,14.44,14.44,25.0,3534.0
1999-01-31,15.5,15.5,15.5,15.5,0.0,3328.0
1998-12-31,15.86,15.86,15.86,15.86,0.0,2835.0
1998-11-30,16.79,16.79,16.79,16.79,0.0,2005.0
1998-10-31,17.8,17.8,17.8,17.8,0.0,2402.0
1998-09-30,17.96,17.96,17.96,17.96,0.0,2412.0
1998-08-31,17.5,17.5,17.5,17.5,0.0,1876.0
1998-07-31,17.43,17.43,17.43,17.43,0.0,901.0
1998-06-30,17.7,17.7,17.7,17.7,0.0,426.0
1998-05-31,18.04,18.04,18.04,18.04,0.0,0.0
