Date,Open,High,Low,Settle,Volume,Open Interest
2011-06-30,93.49,94.74,92.5,93.4,136837.0,31241.0
2011-05-31,100.69,103.39,99.6,102.7,212254.0,376620.0
2011-04-30,113.31,114.66,112.74,114.43,70560.0,206018.0
2011-03-31,105.35,107.78,105.35,107.71,49823.0,115290.0
2011-02-28,101.95,102.54,99.94,100.11,31021.0,74869.0
2011-01-31,95.75,97.93,95.12,97.53,45560.0,59084.0
2010-12-31,92.5,94.44,92.31,94.06,11081.0,43697.0
2010-11-30,87.41,87.62,85.92,86.05,4785.0,36622.0
2010-10-31,84.68,84.68,84.54,84.61,3460.0,35626.0
2010-09-30,84.27,84.71,84.12,84.69,2492.0,30214.0
2010-08-31,80.09,80.09,79.13,79.39,2129.0,25757.0
2010-07-31,83.41,83.7,83.41,83.59,1133.0,25709.0
2010-06-30,79.6,79.63,79.6,79.63,2256.0,23203.0
2010-05-31,79.63,80.72,79.63,80.69,419.0,6395.0
2010-04-30,0.0,93.01,93.01,93.01,627.0,5445.0
2010-03-31,0.0,86.1,86.1,86.1,1.0,4271.0
2010-02-28,0.0,83.33,83.33,83.33,23.0,4001.0
2010-01-31,0.0,79.67,79.67,79.67,415.0,2764.0
2009-12-31,0.0,85.96,85.96,85.96,2.0,2378.0
2009-11-30,0.0,87.5,87.5,87.5,1.0,2253.0
2009-10-31,83.7,83.7,83.7,83.7,105.0,2245.0
2009-09-30,0.0,77.27,77.27,77.27,1.0,2305.0
2009-08-31,0.0,77.82,77.82,77.82,0.0,1840.0
2009-07-31,0.0,79.62,79.62,79.62,0.0,1859.0
2009-06-30,0.0,78.25,78.25,78.25,0.0,1860.0
2009-05-31,74.31,74.31,74.31,74.31,0.0,1825.0
2009-04-30,0.0,66.98,66.98,66.98,0.0,1820.0
2009-03-31,0.0,67.5,67.5,67.5,17.0,2051.0
2009-02-28,0.0,60.88,60.88,60.88,0.0,2034.0
2009-01-31,62.22,62.22,62.22,62.22,0.0,2030.0
2008-12-31,0.0,68.7,68.7,68.7,0.0,1939.0
2008-11-30,0.0,76.69,76.69,76.69,0.0,1939.0
2008-10-31,83.41,83.41,83.41,83.41,600.0,1589.0
2008-09-30,0.0,105.32,105.32,105.32,0.0,527.0
2008-08-31,0.0,117.01,117.01,117.01,0.0,527.0
2008-07-31,120.95,120.95,120.95,120.95,0.0,528.0
2008-06-30,136.65,136.65,136.65,136.65,0.0,428.0
2008-05-31,123.76,123.76,123.76,123.76,0.0,369.0
2008-04-30,104.01,104.01,104.01,104.01,0.0,369.0
2008-03-31,93.72,93.72,93.72,93.72,0.0,69.0
2008-02-29,97.0,97.0,97.0,97.0,0.0,88.0
2008-01-31,88.15,88.15,88.15,88.15,0.0,88.0
2007-12-31,85.4,85.4,85.4,85.4,10.0,78.0
2007-11-30,82.95,82.95,82.95,82.95,0.0,68.0
2007-10-31,80.67,80.67,80.67,80.67,0.0,50.0
2007-09-30,71.43,71.43,71.43,71.43,0.0,50.0
2007-08-31,68.12,68.12,68.12,68.12,0.0,50.0
2007-07-31,70.7,70.7,70.7,70.7,0.0,50.0
2007-06-30,71.31,71.31,71.31,71.31,0.0,0.0
2007-05-31,69.34,69.34,69.34,69.34,0.0,0.0
2007-04-30,67.34,67.34,67.34,67.34,0.0,0.0
2007-03-31,68.11,68.11,68.11,68.11,0.0,0.0
