Date,Open,High,Low,Settle,Volume,Open Interest
1988-07-31,15.1,15.82,15.0,15.66,16367.0,9769.0
1988-06-30,15.38,15.49,15.08,15.16,33579.0,62555.0
1988-05-31,17.65,17.77,17.62,17.71,14771.0,59880.0
1988-04-30,17.62,17.92,17.5,17.89,6716.0,21800.0
1988-03-31,16.76,16.86,16.73,16.84,1442.0,15098.0
1988-02-29,15.65,15.87,15.65,15.75,536.0,6592.0
1988-01-31,16.54,16.54,16.4,16.46,140.0,4377.0
1987-12-31,16.25,16.3,16.21,16.21,107.0,3994.0
1987-11-30,18.15,18.15,18.1,18.1,30.0,2403.0
1987-10-31,19.09,19.2,19.09,19.19,7.0,1791.0
1987-09-30,19.07,19.07,19.07,19.07,0.0,1792.0
1987-08-31,19.26,19.26,19.26,19.26,0.0,50.0
