Date,Open,High,Low,Settle,Volume,Open Interest
2008-08-31,115.11,117.03,112.61,114.98,149293.0,29492.0
2008-07-31,126.9,127.89,122.71,124.08,309078.0,299099.0
2008-06-30,141.29,144.22,139.79,140.58,81864.0,144461.0
2008-05-31,126.63,128.3,124.97,127.42,55678.0,104956.0
2008-04-30,113.45,114.53,111.25,111.32,14852.0,71320.0
2008-03-31,102.32,104.2,98.59,99.64,7112.0,51238.0
2008-02-29,100.55,100.59,99.95,100.14,4726.0,48825.0
2008-01-31,88.83,90.69,88.83,90.69,2908.0,41637.0
2007-12-31,92.85,92.85,92.07,92.4,2458.0,40900.0
2007-11-30,86.44,86.44,85.6,85.79,370.0,34440.0
2007-10-31,85.1,86.93,85.1,86.93,3688.0,29963.0
2007-09-30,76.5,76.5,75.85,75.85,324.0,36397.0
2007-08-31,69.6,70.1,69.6,70.05,115.0,44358.0
2007-07-31,72.9,72.9,72.9,72.9,1532.0,42742.0
2007-06-30,72.5,72.5,72.5,72.5,15923.0,37467.0
2007-05-31,69.75,69.75,69.75,69.75,115.0,18354.0
2007-04-30,71.6,71.6,71.6,71.6,625.0,17150.0
2007-03-31,70.0,70.0,70.0,70.0,400.0,14037.0
2007-02-28,68.11,68.11,68.11,68.11,765.0,14920.0
2007-01-31,63.52,63.52,63.52,63.52,500.0,11783.0
2006-12-31,67.59,67.59,67.59,67.59,25.0,12244.0
2006-11-30,70.04,70.04,70.04,70.04,595.0,12224.0
2006-10-31,67.65,67.65,67.65,67.65,0.0,13349.0
2006-09-30,68.78,68.78,68.78,68.78,1000.0,15466.0
2006-08-31,74.44,74.44,74.44,74.44,2800.0,13746.0
2006-07-31,76.41,76.41,76.41,76.41,400.0,8701.0
2006-06-30,73.52,73.52,73.52,73.52,20.0,4871.0
2006-05-31,71.56,71.56,71.56,71.56,1000.0,3125.0
2006-04-30,72.42,72.42,72.42,72.42,600.0,1550.0
2006-03-31,68.46,68.46,68.46,68.46,0.0,0.0
2006-02-28,67.19,67.19,67.19,67.19,0.0,0.0
