Date,Open,High,Low,Settle,Volume,Open Interest
1985-09-30,28.34,28.8,28.32,28.72,6967.0,5167.0
1985-08-31,27.88,28.08,27.87,28.08,2605.0,19803.0
1985-07-31,26.76,26.8,26.4,26.46,8008.0,13276.0
1985-06-30,26.15,26.2,25.98,26.0,1533.0,9386.0
1985-05-31,27.0,27.01,26.77,26.91,357.0,2885.0
1985-04-30,26.7,26.75,26.7,26.75,28.0,322.0
1985-03-31,27.15,27.37,27.15,27.37,1.0,156.0
1985-02-28,25.41,25.41,25.41,25.41,0.0,103.0
1985-01-31,24.92,25.35,24.85,25.35,3.0,37.0
1984-12-31,25.91,25.91,25.91,25.91,0.0,31.0
1984-11-30,26.72,26.72,26.72,26.72,0.0,13.0
1984-10-31,27.66,27.66,27.66,27.66,0.0,10.0
