Date,Open,High,Low,Settle,Volume,Open Interest
2002-10-31,28.1,28.3,27.75,27.92,44472.0,9433.0
2002-09-30,30.52,30.9,30.4,30.45,68291.0,171721.0
2002-08-31,28.73,28.9,28.65,28.8,21576.0,53652.0
2002-07-31,26.63,26.85,26.2,26.23,8144.0,24411.0
2002-06-30,25.9,26.3,25.9,26.23,1726.0,16906.0
2002-05-31,24.55,25.02,24.55,24.9,2942.0,15412.0
2002-04-30,25.9,25.9,25.83,25.88,690.0,11969.0
2002-03-31,25.16,25.46,24.85,25.46,1644.0,11259.0
2002-02-28,21.53,21.79,21.53,21.79,272.0,9894.0
2002-01-31,20.33,20.47,20.33,20.47,528.0,8906.0
2001-12-31,20.69,20.69,20.69,20.69,0.0,8152.0
2001-11-30,20.42,20.61,20.42,20.61,64.0,8097.0
2001-10-31,21.37,21.37,21.37,21.37,0.0,7044.0
2001-09-30,23.04,23.04,23.04,23.04,70.0,5514.0
2001-08-31,24.42,24.42,24.42,24.42,200.0,5059.0
2001-07-31,23.59,23.59,23.59,23.59,250.0,3942.0
2001-06-30,24.23,24.23,24.23,24.23,0.0,3327.0
2001-05-31,24.94,24.94,24.94,24.94,200.0,3246.0
2001-04-30,24.78,24.78,24.78,24.78,0.0,2794.0
2001-03-31,23.78,23.78,23.78,23.78,0.0,2606.0
2001-02-28,23.08,23.08,23.08,23.08,0.0,986.0
2001-01-31,22.82,22.82,22.82,22.82,0.0,778.0
2000-12-31,22.46,22.46,22.46,22.46,0.0,375.0
2000-11-30,24.14,24.14,24.14,24.14,0.0,325.0
2000-10-31,23.52,23.52,23.52,23.52,2.0,338.0
2000-09-30,25.14,25.14,25.14,25.14,143.0,254.0
2000-08-31,24.49,24.49,24.49,24.49,0.0,65.0
2000-07-31,22.8,22.8,22.8,22.8,0.0,52.0
2000-06-30,22.05,22.05,22.05,22.05,0.0,14.0
2000-05-31,20.28,20.28,20.28,20.28,0.0,0.0
1997-09-30,20.18,20.18,20.18,20.18,0.0,0.0
