Date,Open,High,Low,Settle,Volume,Open Interest
1994-11-30,17.7,17.75,17.4,17.47,30032.0,15604.0
1994-10-31,18.16,18.31,17.98,18.19,36735.0,92531.0
1994-09-30,18.18,18.49,18.16,18.45,29808.0,75434.0
1994-08-31,17.58,17.93,17.54,17.58,12432.0,47969.0
1994-07-31,19.2,19.42,19.19,19.34,14664.0,47055.0
1994-06-30,17.92,18.4,17.9,18.32,4332.0,33684.0
1994-05-31,17.38,17.6,17.31,17.59,2284.0,29467.0
1994-04-30,16.38,16.68,16.38,16.63,2948.0,28095.0
1994-03-31,15.3,15.74,15.3,15.74,1337.0,24341.0
1994-02-28,16.12,16.19,15.96,15.96,1681.0,20542.0
1994-01-31,16.33,16.48,16.2,16.2,574.0,20664.0
1993-12-31,16.67,16.67,16.54,16.54,1125.0,19825.0
1993-11-30,17.5,17.55,17.2,17.34,1086.0,18377.0
1993-10-31,18.7,18.7,18.45,18.45,219.0,16174.0
1993-09-30,19.57,19.59,19.44,19.44,1827.0,16793.0
1993-08-31,19.43,19.46,19.31,19.42,316.0,16701.0
1993-07-31,19.13,19.13,19.09,19.09,616.0,16160.0
1993-06-30,20.0,20.0,19.99,19.99,59.0,14274.0
1993-05-31,20.29,20.29,20.29,20.29,210.0,18751.0
1993-04-30,20.77,20.77,20.68,20.69,1880.0,17621.0
1993-03-31,20.43,20.54,20.43,20.54,805.0,16941.0
1993-02-28,20.7,20.7,20.63,20.63,13.0,13131.0
1993-01-31,20.43,20.43,20.43,20.43,300.0,13301.0
1992-12-31,19.73,19.73,19.73,19.73,0.0,11709.0
1992-11-30,19.48,19.48,19.48,19.48,710.0,9836.0
1992-10-31,20.0,20.04,20.0,20.04,6.0,9311.0
1992-09-30,20.36,20.36,20.36,20.36,150.0,7910.0
1992-08-31,20.03,20.03,20.03,20.03,329.0,8401.0
1992-07-31,20.23,20.23,20.23,20.23,350.0,8215.0
1992-06-30,20.63,20.63,20.47,20.47,697.0,5255.0
1992-05-31,21.01,21.08,21.01,21.08,225.0,6713.0
1992-04-30,20.1,20.22,20.1,20.22,520.0,7078.0
1992-03-31,19.8,19.88,19.8,19.88,561.0,5181.0
1992-02-29,19.63,19.63,19.63,19.63,20.0,4983.0
1992-01-31,19.92,19.92,19.92,19.92,0.0,3435.0
1991-12-31,20.41,20.41,20.41,20.41,0.0,3531.0
1991-11-30,20.92,20.92,20.92,20.92,0.0,539.0
