Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2006-02-28,556.0,560.0,554.0,,,558.8,152.0,121.0
2006-01-31,569.5,572.7,565.0,,,570.8,6749.0,6088.0
2005-12-31,516.0,519.5,515.5,,,518.9,28159.0,234381.0
2005-11-30,498.5,500.7,497.3,,,498.7,48514.0,257586.0
2005-10-31,478.2,478.2,470.1,,,470.7,2563.0,21474.0
2005-09-30,480.0,480.8,474.7,,,475.9,598.0,12995.0
2005-08-31,440.5,442.0,440.5,,,441.2,846.0,8007.0
2005-07-31,439.0,439.0,439.0,,,439.0,137.0,4584.0
2005-06-30,445.9,445.9,445.9,,,445.9,25.0,4735.0
2005-05-31,425.6,427.5,424.7,,,427.1,6.0,4852.0
2005-04-30,447.2,447.2,447.2,,,447.2,0.0,4174.0
2005-03-31,442.7,442.7,442.7,,,442.7,13.0,3649.0
2005-02-28,451.5,451.5,451.2,,,451.2,107.0,3017.0
2005-01-31,437.7,437.7,436.5,,,436.6,102.0,1381.0
2004-12-31,453.1,453.1,453.1,,,453.1,0.0,676.0
2004-11-30,467.7,467.7,467.7,,,467.7,0.0,844.0
2004-10-31,442.7,442.7,442.7,,,442.7,0.0,844.0
2004-09-30,433.4,433.4,433.4,,,433.4,0.0,844.0
2004-08-31,425.2,425.2,425.2,,,425.2,0.0,843.0
2004-07-31,407.4,407.4,407.4,,,407.4,0.0,853.0
2004-06-30,409.6,409.6,409.6,,,409.6,0.0,843.0
2004-05-31,410.4,410.4,410.4,,,410.4,0.0,338.0
2004-04-30,402.8,402.8,402.8,,,402.8,0.0,413.0
2004-03-31,440.3,440.3,440.3,,,440.3,0.0,0.0
