Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1991-04-30,354.0,354.0,353.3,,,353.9,39.0,21.0
1991-03-31,355.7,357.7,355.5,,,357.1,4252.0,7795.0
1991-02-28,365.7,370.3,364.5,,,369.0,33038.0,43868.0
1991-01-31,371.3,372.0,368.3,,,368.5,27153.0,38186.0
1990-12-31,399.0,400.0,398.0,,,399.7,1422.0,17647.0
1990-11-30,391.7,393.2,387.3,,,388.9,1554.0,17070.0
1990-10-31,391.0,391.0,387.6,,,388.7,79.0,13961.0
1990-09-30,421.5,422.7,415.5,,,416.8,490.0,13746.0
1990-08-31,399.1,401.0,397.2,,,397.5,37.0,13068.0
1990-07-31,387.5,387.5,387.5,,,387.5,37.0,11700.0
1990-06-30,377.4,377.4,377.4,,,377.4,329.0,9948.0
1990-05-31,387.6,387.6,387.6,,,387.6,348.0,10620.0
1990-04-30,395.0,396.3,395.0,,,396.3,63.0,9607.0
1990-03-31,400.7,400.7,398.5,,,398.5,3.0,9182.0
1990-02-28,441.1,441.1,441.1,,,441.1,43.0,6849.0
1990-01-31,453.2,453.2,450.2,,,450.2,480.0,5009.0
1989-12-31,439.4,439.4,439.4,,,439.4,0.0,3318.0
1989-11-30,446.0,454.5,446.0,,,452.7,195.0,4318.0
1989-10-31,412.2,412.2,412.2,,,412.2,776.0,4728.0
1989-09-30,406.9,406.9,406.9,,,406.9,720.0,3494.0
1989-08-31,397.8,397.8,397.8,,,397.8,0.0,2752.0
1989-07-31,407.5,410.7,407.5,,,410.7,10.0,1713.0
1989-06-30,418.6,418.6,418.6,,,418.6,0.0,1535.0
1989-05-31,408.8,408.8,408.8,,,408.8,0.0,0.0
