Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2003-06-30,344.0,345.5,343.4,,,343.9,67.0,31.0
2003-05-31,365.5,366.8,360.5,,,364.5,4747.0,8182.0
2003-04-30,338.0,340.4,337.1,,,339.4,42099.0,101204.0
2003-03-31,335.5,337.5,335.5,,,336.9,23156.0,104381.0
2003-02-28,347.3,352.2,347.3,,,351.1,2139.0,29258.0
2003-01-31,371.1,372.0,369.0,,,370.0,2618.0,39499.0
2002-12-31,345.4,350.0,343.4,,,349.8,2148.0,23082.0
2002-11-30,320.8,321.2,319.2,,,319.2,2617.0,12416.0
2002-10-31,319.5,320.4,319.0,,,320.4,10.0,7131.0
2002-09-30,327.6,327.8,326.5,,,327.3,374.0,6348.0
2002-08-31,315.8,315.8,315.8,,,315.8,0.0,6072.0
2002-07-31,308.8,308.8,306.2,,,307.3,312.0,5853.0
2002-06-30,323.7,323.7,318.5,,,318.5,24.0,5455.0
2002-05-31,332.8,332.8,332.8,,,332.8,0.0,3693.0
2002-04-30,316.0,316.0,315.1,,,315.1,17.0,3050.0
2002-03-31,310.1,310.1,310.1,,,310.1,30.0,2775.0
2002-02-28,302.0,302.0,302.0,,,302.0,2.0,2712.0
2002-01-31,288.1,288.1,288.1,,,288.1,0.0,2475.0
2001-12-31,284.6,284.6,284.6,,,284.6,0.0,1633.0
2001-11-30,280.4,280.4,280.4,,,280.4,253.0,1631.0
2001-10-31,285.0,285.0,285.0,,,285.0,0.0,1448.0
2001-09-30,299.2,299.2,299.2,,,299.2,0.0,1461.0
2001-08-31,285.6,285.6,285.6,,,285.6,200.0,1461.0
2001-07-31,279.3,279.3,279.3,,,279.3,0.0,1147.0
2001-06-30,284.7,284.7,284.7,,,284.7,0.0,1146.0
2001-05-31,280.1,280.1,280.1,,,280.1,0.0,1168.0
2001-04-30,280.0,280.0,280.0,,,280.0,0.0,1143.0
2001-03-31,276.0,276.0,276.0,,,276.0,1.0,1132.0
2001-02-28,287.8,287.8,287.8,,,287.8,0.0,1032.0
2001-01-31,290.7,290.7,290.7,,,290.7,0.0,1003.0
2000-12-31,300.9,300.9,300.9,,,300.9,0.0,1006.0
2000-11-30,305.0,305.0,305.0,,,305.0,0.0,969.0
2000-10-31,300.7,300.7,300.7,,,300.7,0.0,969.0
2000-09-30,313.4,313.4,313.4,,,313.4,0.0,946.0
2000-08-31,319.1,319.1,319.1,,,319.1,0.0,946.0
2000-07-31,321.8,321.8,321.8,,,321.8,0.0,986.0
2000-06-30,337.3,337.3,337.3,,,337.3,0.0,986.0
2000-05-31,323.0,323.0,323.0,,,323.0,0.0,1037.0
2000-04-30,322.0,322.0,322.0,,,322.0,0.0,1132.0
2000-03-31,327.5,327.5,327.5,,,327.5,0.0,1035.0
2000-02-29,342.6,342.6,342.6,,,342.6,0.0,1035.0
2000-01-31,334.4,334.4,334.4,,,334.4,0.0,1015.0
1999-12-31,331.9,331.9,331.9,,,331.9,0.0,962.0
1999-11-30,336.8,336.8,336.8,,,336.8,0.0,654.0
1999-10-31,336.7,336.7,336.7,,,336.7,0.0,657.0
1999-09-30,331.3,331.3,331.3,,,331.3,0.0,657.0
1999-08-31,296.3,296.3,296.3,,,296.3,0.0,618.0
1999-07-31,301.6,301.6,301.6,,,301.6,0.0,595.0
1999-06-30,310.9,310.9,310.9,,,310.9,0.0,646.0
1999-05-31,319.0,319.0,319.0,,,319.0,0.0,646.0
1999-04-30,334.7,334.7,334.7,,,334.7,0.0,647.0
1999-03-31,326.6,326.6,326.6,,,326.6,0.0,647.0
1999-02-28,334.5,334.5,334.5,,,334.5,0.0,643.0
1999-01-31,328.7,328.7,328.7,,,328.7,0.0,643.0
1998-12-31,331.1,331.1,331.1,,,331.1,0.0,643.0
1998-11-30,336.9,336.9,336.9,,,336.9,0.0,642.0
1998-10-31,331.2,331.2,331.2,,,331.2,0.0,200.0
1998-09-30,339.0,339.0,339.0,,,339.0,0.0,180.0
1998-08-31,324.8,324.8,324.8,,,324.8,0.0,180.0
1998-07-31,337.9,337.9,337.9,,,337.9,0.0,0.0
1998-06-30,348.8,348.8,348.8,,,348.8,0.0,0.0
