Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2007-08-31,666.3,666.3,666.3,,,666.3,4.0,0.0
2007-07-31,665.0,668.3,662.6,,,666.9,5769.0,3851.0
2007-06-30,651.0,655.0,648.8,,,650.9,46882.0,185920.0
2007-05-31,658.7,667.5,658.6,,,666.7,68753.0,202462.0
2007-04-30,692.5,692.5,686.9,,,689.9,1706.0,21632.0
2007-03-31,673.3,678.8,673.3,,,675.2,602.0,12088.0
2007-02-28,682.5,686.3,677.0,,,685.0,205.0,8032.0
2007-01-31,665.3,670.5,661.0,,,670.5,96.0,6337.0
2006-12-31,653.7,656.5,653.7,,,656.5,9.0,3796.0
2006-11-30,671.5,671.5,671.5,,,671.5,108.0,3759.0
2006-10-31,630.5,631.2,629.6,,,630.2,49.0,1883.0
2006-09-30,626.9,626.9,626.9,,,626.9,0.0,1667.0
2006-08-31,658.4,658.4,658.4,,,658.4,0.0,1553.0
2006-07-31,671.9,671.9,671.9,,,671.9,0.0,1301.0
2006-06-30,653.7,653.7,653.7,,,653.7,0.0,368.0
2006-05-31,687.5,687.5,687.5,,,687.5,0.0,385.0
2006-04-30,699.1,699.1,699.1,,,699.1,0.0,181.0
2006-03-31,625.1,625.1,625.1,,,625.1,0.0,160.0
2006-02-28,603.9,603.9,603.9,,,603.9,0.0,180.0
2006-01-31,615.6,615.6,615.6,,,615.6,5.0,200.0
2005-12-31,558.6,558.6,558.6,,,558.6,0.0,106.0
2005-11-30,537.3,537.3,537.3,,,537.3,5.0,53.0
2005-10-31,506.1,506.1,506.1,,,506.1,0.0,0.0
2005-09-30,508.8,508.8,508.8,,,508.8,0.0,0.0
