Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
1999-10-31,292.7,292.7,292.7,,,292.7,2.0,109.0
1999-09-30,301.0,303.0,297.0,,,297.9,209.0,612.0
1999-08-31,255.9,257.4,255.5,,,256.7,1246.0,8711.0
1999-07-31,258.3,258.7,256.8,,,257.6,857.0,7613.0
1999-06-30,264.0,265.5,263.3,,,265.1,331.0,6069.0
1999-05-31,274.0,274.1,272.5,,,274.0,98.0,4655.0
1999-04-30,291.8,292.4,291.0,,,291.6,609.0,4694.0
1999-03-31,286.2,286.2,285.5,,,285.9,3.0,3197.0
1999-02-28,292.6,293.9,292.6,,,293.9,53.0,2886.0
1999-01-31,292.7,293.8,292.7,,,293.7,2.0,2796.0
1998-12-31,296.3,296.4,296.3,,,296.4,1.0,2529.0
1998-11-30,301.9,302.2,301.9,,,302.2,18.0,2459.0
1998-10-31,301.7,301.7,301.7,,,301.7,3.0,2228.0
1998-09-30,307.0,307.0,307.0,,,307.0,0.0,812.0
1998-08-31,287.7,287.7,287.7,,,287.7,0.0,529.0
1998-07-31,301.5,302.0,299.8,,,299.8,7.0,207.0
1998-06-30,311.1,311.1,311.1,,,311.1,17.0,200.0
1998-05-31,308.3,308.3,308.3,,,308.3,0.0,200.0
1998-04-30,323.8,323.8,323.8,,,323.8,0.0,204.0
1998-03-31,318.6,318.6,318.6,,,318.6,0.0,204.0
1998-02-28,316.7,316.7,316.7,,,316.7,0.0,204.0
1998-01-31,320.7,320.7,320.7,,,320.7,0.0,0.0
1997-12-31,309.8,309.8,309.8,,,309.8,0.0,0.0
1997-11-30,319.5,319.5,319.5,,,319.5,0.0,0.0
