Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2003-12-31,415.0,415.8,413.0,,,414.8,391.0,267.0
2003-11-30,391.6,402.0,391.6,,,396.8,12662.0,12536.0
2003-10-31,384.9,389.8,382.2,,,384.6,47907.0,185164.0
2003-09-30,385.1,389.4,385.1,,,386.1,49624.0,200359.0
2003-08-31,374.0,379.0,374.0,,,376.8,39490.0,188930.0
2003-07-31,358.7,359.4,355.0,,,355.8,41083.0,139910.0
2003-06-30,346.8,349.5,345.5,,,347.6,2035.0,27712.0
2003-05-31,368.0,369.0,363.0,,,366.9,1283.0,26533.0
2003-04-30,340.0,342.2,339.0,,,341.5,1090.0,18908.0
2003-03-31,336.5,339.1,336.5,,,338.6,591.0,15319.0
2003-02-28,350.0,353.5,349.5,,,352.9,252.0,13928.0
2003-01-31,374.1,374.1,371.0,,,371.6,460.0,12425.0
2002-12-31,347.1,351.0,344.2,,,351.0,313.0,13972.0
2002-11-30,321.0,322.5,321.0,,,321.1,1230.0,13367.0
2002-10-31,321.1,322.0,321.1,,,322.0,175.0,10150.0
2002-09-30,329.5,330.0,329.0,,,329.0,414.0,10109.0
2002-08-31,318.5,318.5,317.7,,,317.7,5.0,9484.0
2002-07-31,311.3,311.3,308.0,,,309.8,23.0,8782.0
2002-06-30,325.0,325.0,322.3,,,322.3,12.0,8140.0
2002-05-31,337.2,338.5,337.2,,,337.4,48.0,5606.0
2002-04-30,319.6,319.6,319.6,,,319.6,35.0,2793.0
2002-03-31,314.6,314.6,314.6,,,314.6,1.0,1894.0
2002-02-28,305.5,305.5,305.5,,,305.5,0.0,1829.0
2002-01-31,291.7,291.7,291.7,,,291.7,0.0,1867.0
2001-12-31,287.5,288.9,287.5,,,288.9,3.0,2071.0
2001-11-30,283.9,283.9,283.9,,,283.9,0.0,1648.0
2001-10-31,287.6,287.6,287.6,,,287.6,6.0,1398.0
2001-09-30,302.8,302.8,302.8,,,302.8,0.0,1347.0
2001-08-31,289.9,289.9,289.9,,,289.9,0.0,1333.0
2001-07-31,284.1,284.1,284.1,,,284.1,0.0,1108.0
2001-06-30,289.9,289.9,289.9,,,289.9,0.0,1126.0
2001-05-31,285.5,285.5,285.5,,,285.5,0.0,1110.0
2001-04-30,285.1,285.1,285.1,,,285.1,0.0,1613.0
2001-03-31,280.7,280.7,280.7,,,280.7,2.0,1610.0
2001-02-28,292.8,292.8,292.8,,,292.8,0.0,1601.0
2001-01-31,296.2,296.2,296.2,,,296.2,0.0,1668.0
2000-12-31,306.5,306.5,306.5,,,306.5,2.0,1640.0
2000-11-30,311.9,311.9,311.9,,,311.9,5.0,1599.0
2000-10-31,307.5,307.5,307.5,,,307.5,7.0,1549.0
2000-09-30,320.6,320.6,320.6,,,320.6,0.0,1539.0
2000-08-31,326.4,326.4,326.4,,,326.4,0.0,2084.0
2000-07-31,329.6,329.6,329.6,,,329.6,0.0,2015.0
2000-06-30,345.2,345.2,345.2,,,345.2,0.0,2015.0
2000-05-31,331.5,331.5,331.5,,,331.5,0.0,2015.0
2000-04-30,329.9,329.9,329.9,,,329.9,0.0,1805.0
2000-03-31,335.3,335.3,335.3,,,335.3,0.0,1708.0
2000-02-29,350.2,350.2,350.2,,,350.2,100.0,1616.0
2000-01-31,342.2,342.2,342.2,,,342.2,50.0,1494.0
1999-12-31,338.4,338.4,338.4,,,338.4,0.0,1444.0
1999-11-30,343.4,343.4,343.4,,,343.4,0.0,1442.0
1999-10-31,342.6,342.6,342.6,,,342.6,0.0,1353.0
1999-09-30,337.7,337.7,337.7,,,337.7,0.0,1554.0
1999-08-31,303.4,303.4,303.4,,,303.4,0.0,1692.0
1999-07-31,308.5,308.5,308.5,,,308.5,0.0,1560.0
1999-06-30,317.9,317.9,317.9,,,317.9,0.0,1945.0
1999-05-31,325.5,325.5,325.5,,,325.5,0.0,1655.0
1999-04-30,340.0,340.8,340.0,,,340.8,3.0,401.0
1999-03-31,332.3,332.3,332.3,,,332.3,0.0,400.0
1999-02-28,340.2,340.2,340.2,,,340.2,0.0,350.0
1999-01-31,333.7,333.7,333.7,,,333.7,0.0,0.0
1998-12-31,335.9,335.9,335.9,,,335.9,0.0,0.0
