Date,Open,High,Low,Settle,Volume,Open Interest
2007-12-31,90.97,92.88,88.88,90.49,161950.0,27986.0
2007-11-30,91.19,91.52,88.45,88.71,409509.0,369045.0
2007-10-31,88.92,93.79,88.2,93.27,93263.0,175440.0
2007-09-30,80.58,81.33,79.38,79.58,82372.0,87700.0
2007-08-31,71.45,72.0,71.35,71.83,27911.0,64580.0
2007-07-31,74.1,75.51,74.1,75.17,7970.0,61369.0
2007-06-30,70.57,71.75,70.57,71.63,5800.0,58993.0
2007-05-31,67.4,67.85,67.3,67.85,4144.0,55575.0
2007-04-30,70.43,70.43,70.43,70.43,2313.0,49548.0
2007-03-31,69.41,69.81,69.3,69.81,5667.0,35615.0
2007-02-28,67.16,67.16,67.16,67.16,185.0,20588.0
2007-01-31,61.78,62.91,60.75,62.91,687.0,21442.0
2006-12-31,67.01,67.01,67.01,67.01,892.0,24146.0
2006-11-30,69.54,69.54,69.54,69.54,295.0,19942.0
2006-10-31,66.99,66.99,66.99,66.99,950.0,13951.0
2006-09-30,69.05,69.05,69.05,69.05,725.0,15882.0
2006-08-31,75.39,75.39,75.39,75.39,120.0,23205.0
2006-07-31,77.83,77.83,77.83,77.83,100.0,12243.0
2006-06-30,75.21,75.21,75.21,75.21,20.0,3243.0
2006-05-31,73.17,73.17,73.17,73.17,150.0,2746.0
2006-04-30,73.99,73.99,73.99,73.99,25.0,2593.0
2006-03-31,69.29,69.29,69.29,69.29,78.0,2496.0
2006-02-28,67.6,67.6,67.6,67.6,68.0,2642.0
2006-01-31,69.65,69.72,69.65,69.72,52.0,2172.0
2005-12-31,63.44,63.44,63.44,63.44,600.0,2160.0
2005-11-30,58.75,58.75,58.75,58.75,20.0,1720.0
2005-10-31,59.09,59.09,59.09,59.09,500.0,1455.0
2005-09-30,63.83,63.83,63.83,63.83,68.0,1450.0
2005-08-31,65.11,65.11,65.11,65.11,280.0,280.0
