Date,Open,High,Low,Settle,Volume,Open Interest
2013-01-31,95.25,96.4,94.98,96.24,37956.0,26801.0
2012-12-31,90.41,91.99,90.0,91.82,131208.0,277570.0
2012-11-30,88.3,89.59,88.09,89.49,69584.0,163756.0
2012-10-31,86.8,88.21,86.72,87.28,37196.0,85217.0
2012-09-30,93.46,93.77,92.63,93.42,9783.0,70104.0
2012-08-31,96.49,98.11,96.49,97.86,11941.0,40324.0
2012-07-31,91.83,92.03,89.36,90.04,8853.0,32587.0
2012-06-30,82.49,87.81,81.97,87.56,7722.0,26719.0
2012-05-31,88.49,88.8,88.27,88.29,4502.0,26260.0
2012-04-30,105.76,105.76,105.76,105.89,2371.0,25867.0
2012-03-31,106.0,106.0,105.32,105.32,3511.0,22558.0
2012-02-29,107.42,107.42,106.25,107.43,1480.0,19127.0
2012-01-31,0.0,0.0,0.0,100.07,883.0,16636.0
2011-12-31,0.0,0.0,0.0,97.48,792.0,13555.0
2011-11-30,97.7,97.7,96.97,97.13,778.0,11105.0
2011-10-31,0.0,0.0,0.0,91.63,108.0,10488.0
2011-09-30,82.57,82.57,82.57,82.57,298.0,9012.0
2011-08-31,0.0,89.38,89.38,89.38,360.0,8970.0
2011-07-31,0.0,101.41,101.41,101.41,820.0,8987.0
2011-06-30,0.0,100.87,100.87,100.87,80.0,5904.0
2011-05-31,0.0,104.26,104.26,104.26,1.0,4785.0
2011-04-30,110.04,110.81,110.03,110.81,37.0,4197.0
2011-03-31,0.0,104.54,104.54,104.54,1.0,3064.0
2011-02-28,0.0,99.75,99.75,99.75,0.0,2079.0
2011-01-31,0.0,99.54,99.54,99.54,101.0,1968.0
2010-12-31,0.0,93.4,93.4,93.4,0.0,1968.0
2010-11-30,0.0,87.7,87.69,87.69,0.0,2167.0
2010-10-31,0.0,87.1,87.1,87.1,10.0,1761.0
2010-09-30,0.0,87.93,87.93,87.93,0.0,877.0
2010-08-31,0.0,83.64,83.64,83.64,0.0,870.0
2010-07-31,0.0,85.7,85.7,85.7,0.0,870.0
2010-06-30,81.57,81.85,81.57,81.85,0.0,778.0
2010-05-31,0.0,83.65,83.65,83.65,0.0,743.0
2010-04-30,0.0,94.14,94.14,94.14,0.0,754.0
2010-03-31,0.0,87.08,87.08,87.08,0.0,754.0
2010-02-28,0.0,85.35,85.35,85.35,0.0,754.0
2010-01-31,0.0,83.12,83.12,83.12,51.0,733.0
2009-12-31,0.0,88.77,88.77,88.77,0.0,733.0
2009-11-30,0.0,90.7,90.7,90.7,0.0,733.0
2009-10-31,0.0,86.53,86.53,86.53,0.0,733.0
2009-09-30,0.0,80.3,80.3,80.3,0.0,623.0
2009-08-31,0.0,80.66,80.66,80.66,0.0,407.0
2009-07-31,0.0,82.7,82.7,82.7,0.0,407.0
2009-06-30,0.0,81.05,81.05,81.05,0.0,407.0
2009-05-31,76.91,76.91,76.91,76.91,0.0,404.0
2009-04-30,0.0,69.76,69.76,69.76,0.0,404.0
2009-03-31,0.0,71.4,71.4,71.4,0.0,404.0
2009-02-28,0.0,65.8,65.8,65.8,0.0,404.0
2009-01-31,65.73,65.73,65.73,65.73,0.0,404.0
2008-12-31,0.0,71.93,71.93,71.93,0.0,610.0
2008-11-30,0.0,82.16,82.16,82.16,0.0,610.0
2008-10-31,87.9,87.9,87.9,87.9,500.0,610.0
2008-09-30,0.0,105.95,105.95,105.95,0.0,115.0
2008-08-31,0.0,116.94,116.94,116.94,0.0,115.0
2008-07-31,118.98,118.98,118.98,118.98,0.0,115.0
2008-06-30,135.96,135.96,135.96,135.96,0.0,115.0
2008-05-31,124.53,124.53,124.53,124.53,0.0,115.0
2008-04-30,103.93,103.93,103.93,103.93,0.0,115.0
2008-03-31,93.62,93.62,93.62,93.62,34.0,79.0
2008-02-29,97.3,97.3,97.3,97.3,0.0,90.0
2008-01-31,88.91,88.91,88.91,88.91,0.0,70.0
2007-12-31,85.44,85.44,85.44,85.44,16.0,36.0
2007-11-30,83.46,83.46,83.46,83.46,0.0,0.0
