Date,Open,High,Low,Settle,Volume,Open Interest
2012-02-29,104.65,106.07,104.26,105.84,32979.0,19374.0
2012-01-31,98.88,101.29,97.86,98.48,387121.0,290772.0
2011-12-31,100.01,100.33,98.78,99.0,55800.0,165982.0
2011-11-30,99.46,101.86,99.15,100.55,45858.0,105919.0
2011-10-31,92.89,93.18,91.15,92.92,20133.0,70524.0
2011-09-30,83.27,83.59,79.2,79.8,12418.0,43784.0
2011-08-31,90.47,91.0,89.39,90.35,5868.0,41583.0
2011-07-31,99.69,99.69,97.95,98.34,6012.0,36519.0
2011-06-30,97.82,98.83,97.77,98.78,5056.0,32354.0
2011-05-31,103.43,105.3,103.43,104.91,3253.0,27880.0
2011-04-30,112.78,114.16,112.78,114.16,2593.0,30315.0
2011-03-31,107.34,107.8,107.22,107.79,3198.0,23886.0
2011-02-28,103.13,103.13,101.41,101.41,2633.0,21438.0
2011-01-31,98.0,99.78,98.0,99.78,2567.0,13846.0
2010-12-31,0.0,94.19,94.19,94.19,368.0,10625.0
2010-11-30,0.0,87.22,87.21,87.21,100.0,10460.0
2010-10-31,86.22,86.22,86.2,86.2,300.0,9625.0
2010-09-30,0.0,86.62,86.62,86.62,70.0,8433.0
2010-08-31,0.0,81.69,81.69,81.69,5.0,8309.0
2010-07-31,0.0,84.66,84.66,84.66,12.0,6064.0
2010-06-30,0.0,80.6,80.6,80.6,140.0,4877.0
2010-05-31,0.0,82.06,82.06,82.06,0.0,4335.0
2010-04-30,0.0,93.82,93.82,93.82,425.0,3118.0
2010-03-31,0.0,86.64,86.64,86.64,0.0,2974.0
2010-02-28,0.0,84.36,84.36,84.36,200.0,2510.0
2010-01-31,0.0,81.41,81.41,81.41,400.0,1912.0
2009-12-31,0.0,87.36,87.36,87.36,0.0,2061.0
2009-11-30,0.0,89.1,89.1,89.1,0.0,2118.0
2009-10-31,0.0,85.0,85.0,85.0,0.0,2123.0
2009-09-30,0.0,78.56,78.56,78.56,0.0,1478.0
2009-08-31,0.0,79.01,79.01,79.01,0.0,1448.0
2009-07-31,0.0,80.91,80.91,80.91,0.0,1630.0
2009-06-30,0.0,79.7,79.7,79.7,0.0,1869.0
2009-05-31,75.72,75.72,75.72,75.72,0.0,1866.0
2009-04-30,0.0,68.53,68.53,68.53,0.0,1866.0
2009-03-31,0.0,69.5,69.5,69.5,0.0,1866.0
2009-02-28,0.0,63.26,63.26,63.26,0.0,1865.0
2009-01-31,63.84,63.84,63.84,63.84,0.0,1865.0
2008-12-31,0.0,70.4,70.4,70.4,0.0,1877.0
2008-11-30,0.0,79.42,79.42,79.42,0.0,1877.0
2008-10-31,85.77,85.77,85.77,85.77,1072.0,1477.0
2008-09-30,0.0,105.58,105.58,105.58,0.0,395.0
2008-08-31,0.0,116.96,116.96,116.96,0.0,295.0
2008-07-31,119.94,119.94,119.94,119.94,50.0,195.0
2008-06-30,136.19,136.19,136.19,136.19,0.0,148.0
2008-05-31,124.02,124.02,124.02,124.02,0.0,139.0
2008-04-30,103.95,103.95,103.95,103.95,0.0,47.0
2008-03-31,93.57,93.57,93.57,93.57,20.0,49.0
2008-02-29,97.06,97.06,97.06,97.06,0.0,62.0
2008-01-31,88.44,88.44,88.44,88.44,0.0,62.0
2007-12-31,85.36,85.36,85.36,85.36,10.0,52.0
2007-11-30,83.11,83.11,83.11,83.11,0.0,22.0
2007-10-31,80.55,80.55,80.55,80.55,0.0,0.0
2007-09-30,71.26,71.26,71.26,71.26,0.0,4.0
2007-08-31,68.06,68.06,68.06,68.06,0.0,4.0
2007-07-31,70.58,70.58,70.58,70.58,0.0,0.0
2007-06-30,71.02,71.02,71.02,71.02,0.0,0.0
2007-05-31,69.04,69.04,69.04,69.04,0.0,0.0
2007-04-30,66.87,66.87,66.87,66.87,0.0,0.0
2007-03-31,67.89,67.89,67.89,67.89,0.0,0.0
2007-02-28,61.94,61.94,61.94,61.94,0.0,0.0
2007-01-31,61.94,61.94,61.94,61.94,0.0,0.0
