Date,Open,High,Low,Settle,Volume,Open Interest
2013-03-31,92.09,93.3,92.09,92.96,27758.0,15395.0
2013-02-28,92.89,93.18,91.57,92.05,229683.0,274365.0
2013-01-31,98.4,98.47,97.31,97.96,94607.0,110960.0
2012-12-31,91.53,92.82,91.01,92.73,16873.0,64787.0
2012-11-30,89.34,90.78,89.34,90.68,19823.0,63462.0
2012-10-31,88.06,89.16,88.04,88.31,11283.0,40912.0
2012-09-30,93.39,94.1,93.26,93.98,3329.0,30890.0
2012-08-31,96.95,98.55,96.95,98.22,7135.0,24626.0
2012-07-31,91.98,92.38,90.24,90.4,5989.0,17571.0
2012-06-30,85.09,88.15,85.09,88.23,5698.0,17340.0
2012-05-31,89.54,89.54,88.49,88.43,2204.0,18126.0
2012-04-30,104.95,105.38,104.95,105.39,1051.0,16833.0
2012-03-31,0.0,105.41,0.0,104.94,499.0,15025.0
2012-02-29,105.85,105.85,105.85,106.64,655.0,9790.0
2012-01-31,0.0,0.0,0.0,99.73,224.0,8586.0
2011-12-31,0.0,0.0,0.0,96.86,149.0,6008.0
2011-11-30,0.0,96.65,0.0,96.22,90.0,5666.0
2011-10-31,0.0,0.0,0.0,91.34,69.0,4241.0
2011-08-31,0.0,89.75,89.75,89.75,16.0,3766.0
2011-07-31,0.0,101.6,101.6,101.6,106.0,3436.0
2011-06-30,0.0,100.91,100.91,100.91,100.0,2579.0
2011-05-31,0.0,103.87,103.87,103.87,262.0,2414.0
2011-04-30,0.0,110.17,110.17,110.17,0.0,1560.0
2011-03-31,0.0,104.02,104.02,104.02,0.0,1308.0
2011-02-28,0.0,99.54,99.54,99.54,0.0,1308.0
2011-01-31,0.0,99.32,99.32,99.32,0.0,1263.0
2010-12-31,0.0,93.15,93.15,93.15,0.0,1363.0
2010-11-30,0.0,87.67,87.66,87.66,0.0,1363.0
2010-10-31,0.0,87.12,87.12,87.12,0.0,863.0
2010-09-30,0.0,88.05,88.05,88.05,0.0,863.0
2010-08-31,0.0,83.82,83.82,83.82,0.0,863.0
2010-07-31,0.0,85.79,85.79,85.79,0.0,863.0
2010-06-30,81.76,81.95,81.76,81.95,0.0,858.0
2010-05-31,0.0,83.83,83.83,83.83,0.0,713.0
2010-04-30,0.0,94.14,94.14,94.14,0.0,703.0
2010-03-31,0.0,87.1,87.1,87.1,0.0,453.0
2010-02-28,0.0,85.45,85.45,85.45,0.0,453.0
2010-01-31,0.0,83.38,83.38,83.38,1.0,453.0
2009-12-31,0.0,88.99,88.99,88.99,0.0,453.0
2009-11-30,0.0,90.98,90.98,90.98,0.0,454.0
2009-10-31,86.8,86.8,86.8,86.8,0.0,454.0
2009-09-30,0.0,80.62,80.62,80.62,0.0,348.0
2009-08-31,0.0,80.96,80.96,80.96,0.0,348.0
2009-07-31,0.0,83.06,83.06,83.06,0.0,348.0
2009-06-30,0.0,81.33,81.33,81.33,0.0,348.0
2009-05-31,77.15,77.15,77.15,77.15,0.0,345.0
2009-04-30,0.0,70.0,70.0,70.0,0.0,345.0
2009-03-31,0.0,71.74,71.74,71.74,0.0,345.0
2009-02-28,0.0,66.22,66.22,66.22,0.0,345.0
2009-01-31,66.03,66.03,66.03,66.03,0.0,345.0
2008-12-31,0.0,72.17,72.17,72.17,0.0,551.0
2008-11-30,0.0,82.53,82.53,82.53,0.0,551.0
2008-10-31,88.2,88.2,88.2,88.2,500.0,552.0
2008-09-30,0.0,105.99,105.99,105.99,0.0,60.0
2008-08-31,0.0,116.94,116.94,116.94,0.0,60.0
2008-07-31,118.86,118.86,118.86,118.86,0.0,60.0
2008-06-30,135.99,135.99,135.99,135.99,0.0,60.0
2008-05-31,124.62,124.62,124.62,124.62,0.0,60.0
2008-04-30,103.95,103.95,103.95,103.95,0.0,60.0
2008-03-31,93.64,93.64,93.64,93.64,34.0,79.0
2008-02-29,97.36,97.36,97.36,97.36,0.0,90.0
2008-01-31,88.99,88.99,88.99,88.99,0.0,70.0
2007-12-31,85.48,85.48,85.48,85.48,16.0,36.0
2007-11-30,83.54,83.54,83.54,83.54,0.0,0.0
