Date,Open,High,Low,Settle,Volume,Open Interest
2009-04-30,45.26,47.2,43.83,46.51,89895.0,20752.0
2009-03-31,48.64,50.0,47.77,49.66,222171.0,285029.0
2009-02-28,46.59,47.27,44.95,46.89,111377.0,161087.0
2009-01-31,48.51,50.3,48.31,48.52,34571.0,73118.0
2008-12-31,46.23,52.6,45.12,51.96,10962.0,37029.0
2008-11-30,58.3,59.89,56.75,59.29,8348.0,28617.0
2008-10-31,68.04,71.6,67.1,71.18,7270.0,22789.0
2008-09-30,100.6,101.7,100.6,101.7,1111.0,15773.0
2008-08-31,0.0,117.38,117.38,117.38,1527.0,15887.0
2008-07-31,125.25,125.25,125.25,125.25,742.0,15489.0
2008-06-30,140.6,141.3,140.18,141.3,146.0,14551.0
2008-05-31,126.0,126.0,125.89,125.89,305.0,14218.0
2008-04-30,107.63,107.63,107.63,107.63,427.0,16823.0
2008-03-31,99.6,99.6,96.54,96.54,6.0,17882.0
2008-02-29,98.53,98.53,98.53,98.53,11.0,12938.0
2008-01-31,89.27,89.27,89.27,89.27,361.0,13658.0
2007-12-31,88.87,88.87,88.87,88.87,50.0,13679.0
2007-11-30,83.76,83.76,83.76,83.76,0.0,14401.0
2007-10-31,83.5,83.5,83.5,83.5,200.0,5700.0
2007-09-30,73.95,73.95,73.95,73.95,0.0,5460.0
2007-08-31,69.32,69.32,69.32,69.32,0.0,5215.0
2007-07-31,72.19,72.19,72.19,72.19,100.0,5014.0
2007-06-30,72.53,72.53,72.53,72.53,20.0,5016.0
2007-05-31,69.97,69.97,69.97,69.97,100.0,1940.0
2007-04-30,71.38,71.38,71.38,71.38,285.0,1540.0
2007-03-31,69.3,69.3,69.3,69.3,60.0,888.0
2007-02-28,68.25,68.25,68.25,68.25,0.0,778.0
2007-01-31,63.47,63.47,63.47,63.47,0.0,778.0
2006-12-31,67.29,67.29,67.29,67.29,0.0,778.0
2006-11-30,69.66,69.66,69.66,69.66,0.0,778.0
2006-10-31,67.24,67.24,67.24,67.24,700.0,778.0
2006-09-30,67.82,67.82,67.82,67.82,11.0,78.0
2006-08-31,73.05,73.05,73.05,73.05,0.0,85.0
2006-07-31,75.1,75.1,75.1,75.1,0.0,85.0
2006-06-30,72.24,72.24,72.24,72.24,0.0,80.0
2006-05-31,70.37,70.37,70.37,70.37,75.0,79.0
2006-04-30,71.32,71.32,71.32,71.32,1.0,1.0
2006-03-31,67.35,67.8,67.35,67.8,1.0,1.0
2006-02-28,66.66,66.66,66.66,66.66,0.0,0.0
