Date,Open,High,Low,Settle,Volume,Open Interest
2008-05-31,127.49,129.6,126.67,129.07,213089.0,35631.0
2008-04-30,115.36,116.7,113.3,113.46,303543.0,367163.0
2008-03-31,104.3,106.14,99.78,101.09,111840.0,170979.0
2008-02-29,101.7,102.18,100.55,100.97,55243.0,123490.0
2008-01-31,90.75,91.78,89.21,91.31,22936.0,88621.0
2007-12-31,94.17,94.71,93.11,94.03,14860.0,77742.0
2007-11-30,88.18,88.7,86.47,86.71,23238.0,71856.0
2007-10-31,85.5,88.83,85.0,88.83,12107.0,58701.0
2007-09-30,77.5,78.35,76.85,76.95,11966.0,54066.0
2007-08-31,70.5,70.5,70.14,70.43,5265.0,50073.0
2007-07-31,73.08,73.8,73.04,73.69,8972.0,50640.0
2007-06-30,72.15,72.45,71.84,72.33,4191.0,48891.0
2007-05-31,68.8,68.8,68.53,68.53,2411.0,47125.0
2007-04-30,71.86,72.06,71.39,71.39,762.0,49367.0
2007-03-31,70.09,70.09,70.09,70.09,4836.0,42902.0
2007-02-28,67.9,67.9,67.9,67.9,5192.0,29733.0
2007-01-31,61.9,63.5,61.9,63.5,2906.0,29811.0
2006-12-31,67.57,67.57,67.57,67.57,208.0,26050.0
2006-11-30,69.75,70.01,69.75,70.01,1631.0,26216.0
2006-10-31,66.85,67.53,66.85,67.53,1866.0,23405.0
2006-09-30,69.01,69.01,69.01,69.01,1075.0,20611.0
2006-08-31,74.93,74.93,74.93,74.93,5225.0,20604.0
2006-07-31,77.2,77.2,76.95,76.95,461.0,21463.0
2006-06-30,74.11,74.11,74.11,74.11,356.0,18704.0
2006-05-31,72.12,72.12,72.12,72.12,1700.0,16743.0
2006-04-30,73.0,73.0,72.95,72.95,800.0,15204.0
2006-03-31,68.76,68.76,68.76,68.76,825.0,9821.0
2006-02-28,67.37,67.37,67.37,67.37,800.0,9060.0
2006-01-31,69.05,69.05,69.05,69.05,100.0,9951.0
2005-12-31,62.81,62.81,62.81,62.81,510.0,9686.0
2005-11-30,58.04,58.04,58.04,58.04,100.0,8648.0
2005-10-31,58.55,58.55,58.55,58.55,50.0,8328.0
2005-09-30,63.22,63.22,63.22,63.22,200.0,5508.0
2005-08-31,64.43,64.43,64.43,64.43,77.0,5981.0
2005-07-31,60.42,60.7,60.27,60.7,405.0,1924.0
2005-06-30,57.09,57.09,57.09,57.09,25.0,379.0
2005-05-31,50.36,50.36,50.36,50.36,0.0,0.0
