Date,Open,High,Low,Settle,Volume,Open Interest
2012-06-30,84.04,84.34,80.91,81.8,37369.0,24700.0
2012-05-31,87.55,88.28,85.86,86.53,345433.0,293791.0
2012-04-30,105.28,105.54,104.29,105.26,52890.0,168965.0
2012-03-31,104.2,105.07,103.8,104.03,33193.0,116726.0
2012-02-29,107.82,108.61,106.01,108.25,19436.0,85563.0
2012-01-31,101.27,102.31,99.35,99.9,17845.0,48091.0
2011-12-31,100.25,100.25,99.21,99.38,5995.0,38844.0
2011-11-30,99.67,100.86,98.42,99.87,10172.0,33994.0
2011-10-31,91.66,92.71,91.11,92.43,3367.0,33485.0
2011-09-30,84.22,84.22,80.79,80.84,2595.0,35243.0
2011-08-31,92.04,92.04,91.15,91.21,1256.0,34100.0
2011-07-31,99.9,99.9,99.79,99.82,1496.0,30279.0
2011-06-30,99.74,100.17,99.48,100.17,4018.0,31628.0
2011-05-31,0.0,105.1,105.1,105.1,1054.0,23850.0
2011-04-30,0.0,112.95,112.95,112.95,696.0,17677.0
2011-03-31,0.0,106.55,106.55,106.55,881.0,13590.0
2011-02-28,0.0,100.6,100.6,100.6,116.0,10832.0
2011-01-31,0.0,99.83,99.83,99.83,185.0,8722.0
2010-12-31,0.0,93.87,93.87,93.87,53.0,5189.0
2010-11-30,0.0,87.52,87.51,87.51,362.0,5315.0
2010-10-31,86.64,86.64,86.62,86.62,254.0,4456.0
2010-09-30,0.0,87.24,87.24,87.24,0.0,2977.0
2010-08-31,0.0,82.54,82.54,82.54,24.0,2927.0
2010-07-31,0.0,85.06,85.06,85.06,0.0,2627.0
2010-06-30,0.0,81.05,81.05,81.05,200.0,1827.0
2010-05-31,0.0,82.57,82.57,82.57,200.0,1323.0
2010-04-30,0.0,93.91,93.91,93.91,0.0,1469.0
2010-03-31,0.0,86.81,86.81,86.81,0.0,1469.0
2010-02-28,0.0,84.74,84.74,84.74,0.0,1333.0
2010-01-31,0.0,82.05,82.05,82.05,0.0,1333.0
2009-12-31,0.0,87.9,87.9,87.9,0.0,1327.0
2009-11-30,0.0,89.7,89.7,89.7,0.0,1322.0
2009-10-31,0.0,85.53,85.53,85.53,0.0,1327.0
2009-09-30,0.0,79.18,79.18,79.18,0.0,1157.0
2009-08-31,0.0,79.61,79.61,79.61,0.0,1127.0
2009-07-31,0.0,81.59,81.59,81.59,0.0,1127.0
2009-06-30,0.0,80.22,80.22,80.22,0.0,1224.0
2009-05-31,76.17,76.17,76.17,76.17,0.0,1221.0
2009-04-30,0.0,69.01,69.01,69.01,0.0,1221.0
2009-03-31,0.0,70.25,70.25,70.25,0.0,1071.0
2009-02-28,0.0,64.31,64.31,64.31,0.0,1071.0
2009-01-31,64.58,64.58,64.58,64.58,0.0,1071.0
2008-12-31,0.0,70.97,70.97,70.97,0.0,1071.0
2008-11-30,0.0,80.59,80.59,80.59,0.0,1076.0
2008-10-31,86.64,86.64,86.64,86.64,1000.0,1076.0
2008-09-30,0.0,105.73,105.73,105.73,0.0,86.0
2008-08-31,0.0,116.95,116.95,116.95,0.0,91.0
2008-07-31,119.54,119.54,119.54,119.54,50.0,141.0
2008-06-30,136.06,136.06,136.06,136.06,0.0,91.0
2008-05-31,124.21,124.21,124.21,124.21,0.0,82.0
2008-04-30,103.93,103.93,103.93,103.93,0.0,55.0
2008-03-31,93.56,93.56,93.56,93.56,20.0,52.0
2008-02-29,97.14,97.14,97.14,97.14,0.0,65.0
2008-01-31,88.6,88.6,88.6,88.6,0.0,65.0
2007-12-31,85.37,85.37,85.37,85.37,10.0,55.0
2007-11-30,83.23,83.23,83.23,83.23,0.0,25.0
2007-10-31,80.53,80.53,80.53,80.53,0.0,5.0
2007-09-30,71.22,71.22,71.22,71.22,0.0,9.0
2007-08-31,68.04,68.04,68.04,68.04,0.0,9.0
2007-07-31,70.56,70.56,70.56,70.56,0.0,5.0
2007-06-30,70.93,70.93,70.93,70.93,0.0,0.0
2007-05-31,68.96,68.96,68.96,68.96,0.0,0.0
2007-04-30,66.71,66.71,66.71,66.71,0.0,0.0
2007-03-31,67.81,67.81,67.81,67.81,0.0,0.0
