Date,Open,High,Low,Settle,Volume,Open Interest
2006-07-31,73.0,73.5,72.05,73.08,101694.0,18943.0
2006-06-30,73.51,74.15,73.35,73.93,100754.0,229377.0
2006-05-31,72.66,72.96,71.0,72.29,82887.0,122175.0
2006-04-30,73.2,74.7,72.95,74.25,17778.0,53906.0
2006-03-31,69.29,69.29,68.1,69.09,7603.0,34481.0
2006-02-28,64.57,65.42,64.37,65.42,3977.0,21983.0
2006-01-31,70.44,70.5,69.95,70.24,1064.0,15178.0
2005-12-31,62.49,63.47,62.49,63.47,577.0,11186.0
2005-11-30,58.61,59.8,58.61,59.8,834.0,10077.0
2005-10-31,60.9,61.27,60.9,61.27,101.0,8990.0
2005-09-30,66.25,66.94,66.25,66.94,42.0,7413.0
2005-08-31,68.94,68.94,68.94,68.94,416.0,5169.0
2005-07-31,62.5,63.11,62.44,63.11,631.0,4284.0
2005-06-30,58.84,58.84,58.84,58.84,270.0,3669.0
2005-05-31,52.65,52.65,52.65,52.65,85.0,3328.0
2005-04-30,52.32,52.32,52.32,52.32,150.0,3100.0
2005-03-31,54.83,54.83,54.83,54.83,0.0,2162.0
2005-02-28,47.36,47.36,47.36,47.36,0.0,2105.0
2005-01-31,44.26,44.26,44.26,44.26,0.0,1921.0
2004-12-31,40.36,40.36,40.36,40.36,0.0,1171.0
2004-11-30,43.63,43.63,43.63,43.63,0.0,1021.0
2004-10-31,44.31,44.31,44.31,44.31,0.0,930.0
2004-09-30,39.68,39.68,39.68,39.68,0.0,713.0
2004-08-31,36.27,36.27,36.27,36.27,0.0,470.0
2004-07-31,36.92,36.92,36.92,36.92,0.0,173.0
2004-06-30,33.14,33.14,33.14,33.14,0.0,173.0
2004-05-31,32.5,32.5,32.5,32.5,0.0,3.0
2004-04-30,30.04,30.04,30.04,30.04,0.0,3.0
2004-03-31,29.36,29.36,29.36,29.36,3.0,3.0
2004-02-29,28.14,28.14,28.14,28.14,0.0,0.0
