Date,Open,High,Low,Settle,Volume,Open Interest
2009-08-31,72.15,72.88,71.65,72.54,126682.0,19934.0
2009-07-31,66.69,69.74,64.96,69.45,344216.0,313373.0
2009-06-30,72.37,74.25,69.82,70.84,54979.0,144298.0
2009-05-31,66.25,67.98,66.22,67.72,32704.0,75630.0
2009-04-30,54.8,54.99,53.57,54.45,16218.0,41940.0
2009-03-31,54.5,55.33,53.17,54.89,7312.0,32701.0
2009-02-28,50.66,50.99,49.05,50.57,10477.0,26527.0
2009-01-31,53.75,54.07,52.81,52.85,3118.0,23450.0
2008-12-31,50.85,56.3,50.85,56.3,474.0,19985.0
2008-11-30,62.8,62.94,62.65,62.94,4213.0,21267.0
2008-10-31,69.25,73.6,69.25,73.28,2257.0,16466.0
2008-09-30,0.0,102.81,102.81,102.81,166.0,14466.0
2008-08-31,0.0,117.52,117.52,117.52,20.0,12918.0
2008-07-31,124.5,124.5,124.5,124.5,819.0,12548.0
2008-06-30,140.42,140.42,140.42,140.42,18.0,10851.0
2008-05-31,125.15,125.15,125.15,125.15,194.0,9764.0
2008-04-30,106.41,106.41,106.41,106.41,0.0,9018.0
2008-03-31,96.0,96.0,95.54,95.54,4.0,8940.0
2008-02-29,98.12,98.12,97.99,97.99,404.0,6611.0
2008-01-31,88.71,88.71,88.71,88.71,10.0,5926.0
2007-12-31,87.47,87.47,87.47,87.47,25.0,6317.0
2007-11-30,83.27,83.27,83.27,83.27,0.0,6293.0
2007-10-31,82.42,82.42,82.42,82.42,0.0,6058.0
2007-09-30,73.31,73.31,73.31,73.31,0.0,4922.0
2007-08-31,68.97,68.97,68.97,68.97,0.0,5002.0
2007-07-31,71.76,71.76,71.76,71.76,500.0,4996.0
2007-06-30,72.46,72.46,72.34,72.34,1.0,4946.0
2007-05-31,69.4,69.78,69.4,69.78,105.0,3950.0
2007-04-30,70.96,70.96,70.96,70.96,250.0,3525.0
2007-03-31,68.69,68.69,68.69,68.69,0.0,1975.0
2007-02-28,68.25,68.25,68.25,68.25,0.0,1775.0
2007-01-31,63.44,63.44,63.44,63.44,0.0,701.0
2006-12-31,67.08,67.08,67.08,67.08,0.0,701.0
2006-11-30,69.41,69.41,69.41,69.41,0.0,651.0
2006-10-31,66.82,66.82,66.82,66.82,0.0,651.0
2006-09-30,67.24,67.24,67.24,67.24,11.0,451.0
2006-08-31,72.39,72.39,72.39,72.39,0.0,458.0
2006-07-31,74.42,74.42,74.42,74.42,50.0,458.0
2006-06-30,71.64,71.64,71.64,71.64,0.0,453.0
2006-05-31,69.85,69.85,69.85,69.85,250.0,453.0
2006-04-30,70.82,70.82,70.82,70.82,0.0,0.0
2006-03-31,67.44,67.44,67.44,67.44,0.0,0.0
2006-02-28,66.39,66.39,66.39,66.39,0.0,0.0
