Date,Open,High,Low,Settle,Volume,Open Interest
2010-09-30,74.57,74.6,72.81,73.52,132427.0,29123.0
2010-08-31,74.07,74.73,71.53,71.92,260666.0,310603.0
2010-07-31,78.73,79.5,77.3,79.39,84441.0,98018.0
2010-06-30,76.47,77.82,75.5,76.6,29255.0,58859.0
2010-05-31,77.22,78.29,75.87,76.88,17085.0,44746.0
2010-04-30,89.9,91.01,89.8,90.93,19307.0,37166.0
2010-03-31,84.28,85.27,84.0,85.19,4352.0,22531.0
2010-02-28,80.1,81.68,80.1,81.56,3833.0,19376.0
2010-01-31,77.12,77.2,76.4,76.53,3544.0,20273.0
2009-12-31,84.12,84.12,83.31,83.31,846.0,15556.0
2009-11-30,82.91,84.56,82.88,84.37,3739.0,17157.0
2009-10-31,81.42,81.46,81.42,81.46,1758.0,13821.0
2009-09-30,0.0,75.29,75.29,75.29,1094.0,11906.0
2009-08-31,0.0,76.04,76.04,76.04,828.0,9303.0
2009-07-31,77.66,77.91,77.66,77.91,1496.0,7673.0
2009-06-30,0.0,76.01,76.01,76.01,290.0,4938.0
2009-05-31,72.4,72.4,72.19,72.19,38.0,3761.0
2009-04-30,0.0,63.72,63.72,63.72,236.0,3065.0
2009-03-31,0.0,63.91,63.91,63.91,128.0,3285.0
2009-02-28,0.0,57.36,57.36,57.36,18.0,1816.0
2009-01-31,59.39,59.39,59.39,59.39,40.0,2801.0
2008-12-31,0.0,65.26,65.26,65.26,92.0,2842.0
2008-11-30,0.0,72.33,72.33,72.33,42.0,2697.0
2008-10-31,79.91,79.91,79.91,79.91,2.0,2725.0
2008-09-30,0.0,104.99,104.99,104.99,0.0,1523.0
2008-08-31,0.0,117.2,117.2,117.2,0.0,1479.0
2008-07-31,122.32,122.32,122.32,122.32,0.0,1128.0
2008-06-30,137.91,137.91,137.91,137.91,0.0,1204.0
2008-05-31,123.82,123.82,123.82,123.82,0.0,1087.0
2008-04-30,104.53,104.53,104.53,104.53,0.0,1118.0
2008-03-31,93.96,93.96,93.96,93.96,0.0,1108.0
2008-02-29,97.1,97.1,97.1,97.1,0.0,913.0
2008-01-31,88.0,88.0,88.0,88.0,0.0,1095.0
2007-12-31,85.57,85.57,85.57,85.57,10.0,585.0
2007-11-30,82.83,82.83,82.83,82.83,0.0,570.0
2007-10-31,79.0,80.89,79.0,80.89,0.0,551.0
2007-09-30,71.88,71.88,71.88,71.88,240.0,510.0
2007-08-31,68.3,68.3,68.3,68.3,0.0,510.0
2007-07-31,70.92,70.92,70.92,70.92,0.0,250.0
2007-06-30,71.69,71.69,71.69,71.69,0.0,0.0
2007-05-31,69.86,69.86,69.86,69.86,0.0,0.0
2007-04-30,67.95,67.95,67.95,67.95,0.0,0.0
2007-03-31,68.49,68.49,68.49,68.49,0.0,0.0
2007-02-28,62.59,62.59,62.59,62.59,0.0,0.0
2007-01-31,62.2,62.2,62.2,62.2,0.0,0.0
2006-12-31,66.35,66.35,66.35,66.35,0.0,0.0
