Date,Open,High,Low,Settle,Volume,Open Interest
2014-10-31,82.76,84.05,82.29,82.81,23442.0,19875.0
2014-09-30,94.34,94.9,90.86,91.16,440735.0,275147.0
2014-08-31,93.88,95.07,93.78,95.02,103268.0,153828.0
2014-07-31,97.63,97.96,96.13,96.73,56043.0,79247.0
2014-06-30,103.14,103.25,102.38,102.98,23027.0,74520.0
2014-05-31,99.53,99.53,98.65,99.0,6896.0,55012.0
2014-04-30,96.4,96.4,95.4,95.67,8936.0,45221.0
2014-03-31,95.95,96.31,95.67,96.16,4242.0,39111.0
2014-02-28,95.63,96.08,95.53,96.03,3186.0,37629.0
2014-01-31,91.08,91.08,90.47,90.54,2290.0,34665.0
2013-12-31,93.5,93.5,93.14,93.34,959.0,33997.0
2013-11-30,91.0,91.83,91.0,91.23,1274.0,31858.0
2013-10-31,92.58,92.58,92.18,92.23,1688.0,30513.0
2013-09-30,0.0,0.0,92.35,93.06,1070.0,28320.0
2013-08-31,0.0,94.51,93.96,94.04,697.0,26623.0
2013-07-31,0.0,92.71,92.33,93.07,423.0,25182.0
2013-06-30,0.0,0.0,89.05,88.54,311.0,20256.0
2013-05-31,0.0,0.0,0.0,87.78,660.0,15590.0
2013-04-30,0.0,0.0,0.0,88.61,497.0,15957.0
2013-03-31,0.0,0.0,0.0,91.72,528.0,14881.0
2013-02-28,90.09,90.09,90.09,89.53,118.0,12920.0
2013-01-31,0.0,0.0,0.0,92.96,144.0,8691.0
2012-12-31,0.0,0.0,0.0,91.72,22.0,7187.0
2012-11-30,90.0,90.0,90.0,90.47,71.0,6666.0
2012-10-31,88.14,88.14,88.14,87.9,3.0,4892.0
2012-09-30,0.0,0.0,0.0,90.85,7.0,4122.0
2012-08-31,0.0,0.0,0.0,92.93,0.0,3618.0
2012-07-31,0.0,0.0,89.75,89.02,39.0,3650.0
2012-06-30,0.0,87.6,87.6,87.49,2.0,3057.0
2012-05-31,0.0,0.0,0.0,86.7,366.0,3072.0
2012-04-30,0.0,0.0,97.02,97.23,58.0,1257.0
2012-03-31,0.0,0.0,0.0,97.67,0.0,984.0
2012-02-29,0.0,0.0,0.0,97.9,200.0,757.0
2012-01-31,0.0,0.0,0.0,93.81,0.0,625.0
2011-12-31,0.0,0.0,0.0,92.14,0.0,525.0
2011-11-30,0.0,0.0,0.0,90.81,0.0,525.0
2011-10-31,0.0,0.0,0.0,89.93,0.0,437.0
2011-08-31,0.0,91.18,91.18,91.18,0.0,340.0
2011-07-31,0.0,102.17,102.17,102.17,200.0,339.0
2011-06-30,0.0,100.62,100.62,100.62,11.0,39.0
2011-05-31,0.0,101.73,101.73,101.73,0.0,39.0
2011-04-30,0.0,106.66,106.66,106.66,0.0,35.0
2011-03-31,0.0,101.53,101.53,101.53,0.0,31.0
2011-02-28,0.0,99.34,99.34,99.34,0.0,5.0
2011-01-31,0.0,98.38,98.38,98.38,0.0,5.0
2010-12-31,0.0,92.33,92.33,92.33,0.0,5.0
2010-11-30,0.0,87.82,87.81,87.81,0.0,5.0
2010-10-31,0.0,87.74,87.74,87.74,0.0,5.0
2010-09-30,0.0,89.44,89.44,89.44,0.0,5.0
2010-08-31,0.0,85.66,85.66,85.66,0.0,5.0
2010-07-31,0.0,87.24,87.24,87.24,0.0,5.0
2010-06-30,0.0,83.73,83.73,83.73,0.0,4.0
2010-05-31,0.0,86.01,86.01,86.01,0.0,4.0
2010-04-30,0.0,94.71,94.71,94.71,0.0,3.0
2010-03-31,0.0,87.79,87.79,87.79,0.0,3.0
2010-02-28,0.0,87.03,87.03,87.03,0.0,3.0
2010-01-31,0.0,86.31,86.31,86.31,0.0,3.0
2009-12-31,0.0,91.78,91.78,91.78,0.0,3.0
2009-11-30,0.0,94.05,94.05,94.05,0.0,3.0
2009-10-31,89.68,89.68,89.68,89.68,0.0,3.0
2009-09-30,0.0,83.88,83.88,83.88,0.0,0.0
2009-08-31,0.0,84.16,84.16,84.16,0.0,0.0
2009-07-31,0.0,86.62,86.62,86.62,0.0,0.0
2009-06-30,0.0,84.27,84.27,84.27,0.0,0.0
2009-05-31,79.6,79.6,79.6,79.6,0.0,0.0
2009-04-30,0.0,72.39,72.39,72.39,0.0,0.0
2009-03-31,0.0,75.09,75.09,75.09,0.0,0.0
2009-02-28,0.0,70.11,70.11,70.11,0.0,0.0
2009-01-31,68.75,68.75,68.75,68.75,0.0,0.0
2008-12-31,0.0,74.42,74.42,74.42,0.0,0.0
2008-11-30,0.0,85.42,85.42,85.42,0.0,0.0
