Date,Open,High,Low,Settle,Volume,Open Interest
2011-11-30,98.61,100.15,96.64,97.41,38551.0,38966.0
2011-10-31,93.53,93.8,91.36,93.19,228561.0,299137.0
2011-09-30,83.16,83.39,78.67,79.33,80555.0,209550.0
2011-08-31,89.52,90.22,88.38,89.57,54375.0,203041.0
2011-07-31,98.46,98.76,96.38,97.08,40640.0,207803.0
2011-06-30,97.21,97.7,95.99,97.53,50129.0,185617.0
2011-05-31,102.5,105.14,101.75,104.57,41018.0,185492.0
2011-04-30,113.68,114.95,113.2,114.73,38313.0,187636.0
2011-03-31,106.21,108.45,106.21,108.33,45786.0,178402.0
2011-02-28,102.6,103.51,101.03,101.47,60414.0,180363.0
2011-01-31,97.67,99.9,96.91,99.32,91043.0,175077.0
2010-12-31,92.94,94.9,92.1,94.52,14336.0,155396.0
2010-11-30,88.81,88.81,86.5,86.97,18812.0,140348.0
2010-10-31,86.4,86.54,85.22,85.86,22420.0,142156.0
2010-09-30,84.54,86.29,84.54,86.15,29787.0,122464.0
2010-08-31,82.33,82.94,80.62,81.04,14945.0,117115.0
2010-07-31,83.91,84.5,82.48,84.44,12424.0,100201.0
2010-06-30,81.18,81.58,79.64,80.4,11280.0,98014.0
2010-05-31,82.17,82.88,80.9,81.83,15601.0,97612.0
2010-04-30,92.79,93.86,92.47,93.82,23720.0,92791.0
2010-03-31,85.7,86.66,85.7,86.61,6276.0,79253.0
2010-02-28,83.31,84.19,82.87,84.1,4424.0,65324.0
2010-01-31,81.55,82.44,80.6,80.95,6213.0,58201.0
2009-12-31,87.95,88.02,87.0,87.05,3446.0,51969.0
2009-11-30,87.61,89.17,86.52,88.64,2128.0,48899.0
2009-10-31,86.3,86.42,84.49,84.58,4220.0,41330.0
2009-09-30,75.81,78.08,74.73,78.08,6004.0,40298.0
2009-08-31,79.32,79.37,77.82,78.55,3965.0,41063.0
2009-07-31,80.3,80.4,78.37,80.4,4191.0,46568.0
2009-06-30,80.4,81.27,78.5,79.19,2293.0,44588.0
2009-05-31,74.8,75.7,74.7,75.25,4015.0,35221.0
2009-04-30,67.53,68.14,67.53,68.07,3831.0,33282.0
2009-03-31,68.95,69.05,67.38,68.82,2727.0,32311.0
2009-02-28,61.72,62.85,61.7,62.39,2314.0,30637.0
2009-01-31,64.01,64.19,63.15,63.27,421.0,31019.0
2008-12-31,65.0,69.94,65.0,69.94,404.0,37322.0
2008-11-30,78.1,78.8,76.7,78.45,2048.0,26593.0
2008-10-31,82.02,84.96,81.56,84.96,10072.0,25247.0
2008-09-30,101.74,105.49,100.98,105.49,2258.0,25760.0
2008-08-31,117.08,117.08,117.01,117.01,1850.0,27592.0
2008-07-31,122.48,122.5,119.55,120.28,3842.0,26670.0
2008-06-30,137.85,137.85,135.82,136.33,5143.0,26896.0
2008-05-31,123.99,124.3,123.44,123.95,1808.0,30731.0
2008-04-30,106.51,106.51,103.98,103.98,2210.0,27411.0
2008-03-31,96.25,96.67,92.56,93.6,6595.0,25678.0
2008-02-29,97.02,97.02,97.02,97.02,448.0,26011.0
2008-01-31,86.65,88.59,86.65,88.32,872.0,24697.0
2007-12-31,85.7,85.7,85.36,85.36,1123.0,23551.0
2007-11-30,83.29,84.0,83.05,83.05,226.0,19855.0
2007-10-31,78.99,80.58,78.99,80.58,1333.0,18162.0
2007-09-30,72.25,72.25,71.32,71.32,847.0,17867.0
2007-08-31,67.79,68.09,67.79,68.09,186.0,17304.0
2007-07-31,70.54,70.85,70.54,70.85,1398.0,17651.0
2007-06-30,71.06,71.11,70.7,71.11,726.0,14828.0
2007-05-31,68.07,68.75,67.7,68.75,160.0,0.0
2007-04-30,67.91,68.87,67.91,68.87,140.0,0.0
2007-03-31,67.05,67.05,65.9,66.2,452.0,0.0
2007-02-28,66.45,67.0,66.45,66.92,22.0,0.0
2007-01-31,61.96,61.96,61.96,61.96,8.0,12832.0
2006-12-31,65.25,65.61,65.25,65.61,16.0,13212.0
