Date,CSI_Value
9/30/2014,86
9/29/2014,86
9/26/2014,86
9/25/2014,86
9/24/2014,86
9/23/2014,86
9/22/2014,86
9/19/2014,86
9/18/2014,86
9/17/2014,86
9/16/2014,86
9/15/2014,86
9/12/2014,86
9/11/2014,86
9/10/2014,86
9/9/2014,86
9/8/2014,86
9/5/2014,86
9/4/2014,86
9/3/2014,86
9/2/2014,86
9/1/2014,86
8/29/2014,93.4
8/28/2014,93.4
8/27/2014,93.4
8/26/2014,93.4
8/25/2014,93.4
8/22/2014,93.4
8/21/2014,93.4
8/20/2014,93.4
8/19/2014,93.4
8/18/2014,93.4
8/15/2014,93.4
8/14/2014,93.4
8/13/2014,93.4
8/12/2014,93.4
8/11/2014,93.4
8/8/2014,93.4
8/7/2014,93.4
8/6/2014,93.4
8/5/2014,93.4
8/4/2014,93.4
8/1/2014,93.4
7/31/2014,90.3
7/30/2014,90.3
7/29/2014,90.3
7/28/2014,90.3
7/25/2014,90.3
7/24/2014,90.3
7/23/2014,90.3
7/22/2014,90.3
7/21/2014,90.3
7/18/2014,90.3
7/17/2014,90.3
7/16/2014,90.3
7/15/2014,90.3
7/14/2014,90.3
7/11/2014,90.3
7/10/2014,90.3
7/9/2014,90.3
7/8/2014,90.3
7/7/2014,90.3
7/4/2014,90.3
7/3/2014,90.3
7/2/2014,90.3
7/1/2014,90.3
6/30/2014,86.4
6/27/2014,86.4
6/26/2014,86.4
6/25/2014,86.4
6/24/2014,86.4
6/23/2014,86.4
6/20/2014,86.4
6/19/2014,86.4
6/18/2014,86.4
6/17/2014,86.4
6/16/2014,86.4
6/13/2014,86.4
6/12/2014,86.4
6/11/2014,86.4
6/10/2014,86.4
6/9/2014,86.4
6/6/2014,86.4
6/5/2014,86.4
6/4/2014,86.4
6/3/2014,86.4
6/2/2014,86.4
5/30/2014,82.2
5/29/2014,82.2
5/28/2014,82.2
5/27/2014,82.2
5/26/2014,82.2
5/23/2014,82.2
5/22/2014,82.2
5/21/2014,82.2
5/20/2014,82.2
5/19/2014,82.2
5/16/2014,82.2
5/15/2014,82.2
5/14/2014,82.2
5/13/2014,82.2
5/12/2014,82.2
5/9/2014,82.2
5/8/2014,82.2
5/7/2014,82.2
5/6/2014,82.2
5/5/2014,82.2
5/2/2014,82.2
5/1/2014,82.2
4/30/2014,81.7
4/29/2014,81.7
4/28/2014,81.7
4/25/2014,81.7
4/24/2014,81.7
4/23/2014,81.7
4/22/2014,81.7
4/21/2014,81.7
4/18/2014,81.7
4/17/2014,81.7
4/16/2014,81.7
4/15/2014,81.7
4/14/2014,81.7
4/11/2014,81.7
4/10/2014,81.7
4/9/2014,81.7
4/8/2014,81.7
4/7/2014,81.7
4/4/2014,81.7
4/3/2014,81.7
4/2/2014,81.7
4/1/2014,81.7
3/31/2014,83.9
3/28/2014,83.9
3/27/2014,83.9
3/26/2014,83.9
3/25/2014,83.9
3/24/2014,83.9
3/21/2014,83.9
3/20/2014,83.9
3/19/2014,83.9
3/18/2014,83.9
3/17/2014,83.9
3/14/2014,83.9
3/13/2014,83.9
3/12/2014,83.9
3/11/2014,83.9
3/10/2014,83.9
3/7/2014,83.9
3/6/2014,83.9
3/5/2014,83.9
3/4/2014,83.9
3/3/2014,83.9
2/28/2014,78.3
2/27/2014,78.3
2/26/2014,78.3
2/25/2014,78.3
2/24/2014,78.3
2/21/2014,78.3
2/20/2014,78.3
2/19/2014,78.3
2/18/2014,78.3
2/17/2014,78.3
2/14/2014,78.3
2/13/2014,78.3
2/12/2014,78.3
2/11/2014,78.3
2/10/2014,78.3
2/7/2014,78.3
2/6/2014,78.3
2/5/2014,78.3
2/4/2014,78.3
2/3/2014,78.3
1/31/2014,79.4
1/30/2014,79.4
1/29/2014,79.4
1/28/2014,79.4
1/27/2014,79.4
1/24/2014,79.4
1/23/2014,79.4
1/22/2014,79.4
1/21/2014,79.4
1/20/2014,79.4
1/17/2014,79.4
1/16/2014,79.4
1/15/2014,79.4
1/14/2014,79.4
1/13/2014,79.4
1/10/2014,79.4
1/9/2014,79.4
1/8/2014,79.4
1/7/2014,79.4
1/6/2014,79.4
1/3/2014,79.4
1/2/2014,79.4
1/1/2014,79.4
12/31/2013,77.5
12/30/2013,77.5
12/27/2013,77.5
12/26/2013,77.5
12/25/2013,77.5
12/24/2013,77.5
12/23/2013,77.5
12/20/2013,77.5
12/19/2013,77.5
12/18/2013,77.5
12/17/2013,77.5
12/16/2013,77.5
12/13/2013,77.5
12/12/2013,77.5
12/11/2013,77.5
12/10/2013,77.5
12/9/2013,77.5
12/6/2013,77.5
12/5/2013,77.5
12/4/2013,77.5
12/3/2013,77.5
12/2/2013,77.5
11/29/2013,70.4
11/28/2013,70.4
11/27/2013,70.4
11/26/2013,70.4
11/25/2013,70.4
11/22/2013,70.4
11/21/2013,70.4
11/20/2013,70.4
11/19/2013,70.4
11/18/2013,70.4
11/15/2013,70.4
11/14/2013,70.4
11/13/2013,70.4
11/12/2013,70.4
11/11/2013,70.4
11/8/2013,70.4
11/7/2013,70.4
11/6/2013,70.4
11/5/2013,70.4
11/4/2013,70.4
11/1/2013,70.4
10/31/2013,72.4
10/30/2013,72.4
10/29/2013,72.4
10/28/2013,72.4
10/25/2013,72.4
10/24/2013,72.4
10/23/2013,72.4
10/22/2013,72.4
10/21/2013,72.4
10/18/2013,72.4
10/17/2013,72.4
10/16/2013,72.4
10/15/2013,72.4
10/14/2013,72.4
10/11/2013,72.4
10/10/2013,72.4
10/9/2013,72.4
10/8/2013,72.4
10/7/2013,72.4
10/4/2013,72.4
10/3/2013,72.4
10/2/2013,72.4
10/1/2013,72.4
9/30/2013,80.2
9/27/2013,80.2
9/26/2013,80.2
9/25/2013,80.2
9/24/2013,80.2
9/23/2013,80.2
9/20/2013,80.2
9/19/2013,80.2
9/18/2013,80.2
9/17/2013,80.2
9/16/2013,80.2
9/13/2013,80.2
9/12/2013,80.2
9/11/2013,80.2
9/10/2013,80.2
9/9/2013,80.2
9/6/2013,80.2
9/5/2013,80.2
9/4/2013,80.2
9/3/2013,80.2
9/2/2013,80.2
8/30/2013,81.8
8/29/2013,81.8
8/28/2013,81.8
8/27/2013,81.8
8/26/2013,81.8
8/23/2013,81.8
8/22/2013,81.8
8/21/2013,81.8
8/20/2013,81.8
8/19/2013,81.8
8/16/2013,81.8
8/15/2013,81.8
8/14/2013,81.8
