Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1994,82.60,79.90,86.70,92.10,88.90,92.50,91.30,90.40,89.50,89.10,100.40,103.40
1995,101.40,99.40,100.20,104.60,102.00,94.60,101.40,102.40,97.30,96.30,101.60,99.20
1996,88.40,98.00,98.40,104.80,103.50,100.10,107.00,112.00,111.80,107.30,109.50,114.20
1997,118.70,118.90,118.50,116.80,127.10,129.90,126.30,127.60,130.20,123.40,128.10,136.20
1998,128.30,137.40,133.80,137.20,136.30,138.20,137.20,133.10,126.40,119.30,126.40,126.70
1999,128.90,133.10,134.00,135.50,137.70,139.00,136.20,136.00,134.20,130.50,137.00,141.70
2000,144.70,140.80,137.10,137.70,144.70,139.20,143.00,140.80,142.50,135.80,132.60,128.60
2001,115.70,109.20,116.90,109.90,116.10,118.90,116.30,114.00,97.00,85.30,84.90,94.60
2002,97.80,95.00,110.70,108.50,110.30,106.30,97.40,94.50,93.70,79.60,84.90,80.70
2003,78.80,64.80,61.40,81.00,83.60,83.50,77.00,81.70,77.00,81.70,92.50,91.70
2004,96.40,88.50,88.50,93.00,93.10,102.80,105.70,98.70,96.70,92.90,92.60,102.70
2005,105.10,104.40,103.00,97.50,103.10,106.20,103.60,105.50,87.50,85.20,98.30,103.80
2006,106.80,102.70,107.50,109.80,104.70,105.70,107.00,100.20,105.90,105.10,105.30,110.00
2007,110.20,111.20,108.20,106.30,108.50,105.30,111.90,105.60,99.50,95.20,87.80,90.60
2008,87.90,76.40,65.90,62.30,57.20,50.40,51.90,58.50,61.40,38.80,44.90,38.60
2009,40.00,25.30,26.90,40.80,54.80,49.30,47.40,54.50,53.40,48.70,50.60,53.60
2010,56.50,46.40,52.30,57.70,62.70,54.30,51.00,53.20,48.60,49.90,57.80,63.40
2011,64.80,72.00,63.80,65.40,61.70,57.60,59.20,44.50,46.40,40.90,56.00,64.80
2012,61.50,71.60,69.50,68.70,64.40,62.70,65.40,61.30,70.30,73.10,71.50,64.60
2013,58.40,68.00,61.90,69.00,74.30,82.10,81.00,81.80,80.20,72.40,70.40,77.50
2014,79.40,78.30,83.90,81.70,82.20,86.40,90.30,93.40,86.00,NA,NA,NA
