Date,Gold_Value
9/30/2014,1216.5
9/29/2014,1219.5
9/26/2014,1213.8
9/25/2014,1213.8
9/24/2014,1217.3
9/23/2014,1222
9/22/2014,1213.5
9/19/2014,1219.8
9/18/2014,1220.5
9/17/2014,1236
9/16/2014,1232.3
9/15/2014,1234.3
9/12/2014,1231.5
9/11/2014,1241.3
9/10/2014,1251
9/09/2014,1255.8
9/08/2014,1259
9/05/2014,1266
9/04/2014,1271.5
9/03/2014,1265.5
9/02/2014,1267
9/01/2014,1286.5
8/29/2014,1285.8
8/28/2014,1292
8/27/2014,1282.8
8/26/2014,1286
8/25/2014,1277.3
8/22/2014,1277.3
8/21/2014,1275.3
8/20/2014,1295
8/19/2014,1296.5
8/18/2014,1296.8
8/15/2014,1296
8/14/2014,1313.5
8/13/2014,1312
8/12/2014,1315.8
8/11/2014,1307.3
8/08/2014,1309.8
8/07/2014,1305.3
8/06/2014,1306.5
8/05/2014,1284.8
8/04/2014,1290.5
8/01/2014,1291.3
7/31/2014,1285.3
7/30/2014,1294.5
7/29/2014,1299.3
7/28/2014,1304.5
7/25/2014,1294.8
7/24/2014,1292.8
7/23/2014,1308
7/22/2014,1310.3
7/21/2014,1311.5
7/18/2014,1307.3
7/17/2014,1302.5
7/16/2014,1301
7/15/2014,1310
7/14/2014,1306
7/11/2014,1335
7/10/2014,1340.3
7/09/2014,1322.8
7/08/2014,1313
7/07/2014,1313
7/04/2014,1319.3
7/03/2014,1317.5
7/02/2014,1326.5
7/01/2014,1327.5
6/30/2014,1315
6/27/2014,1317.5
6/26/2014,1311.8
6/25/2014,1316.8
6/24/2014,1318.5
6/23/2014,1313.5
6/20/2014,1312.5
6/19/2014,1293
6/18/2014,1269.8
6/17/2014,1267.5
6/16/2014,1276.3
6/13/2014,1273
6/12/2014,1265.8
6/11/2014,1262
6/10/2014,1259.5
6/09/2014,1253.5
6/06/2014,1247.5
6/05/2014,1252.5
6/04/2014,1245.3
6/03/2014,1242.8
6/02/2014,1247.3
5/30/2014,1250.5
5/29/2014,1255
5/28/2014,1263.5
5/27/2014,1275.5
5/26/2014,1291.5
5/23/2014,1291.5
5/22/2014,1298.5
5/21/2014,1287.3
5/20/2014,1295.5
5/19/2014,1302
5/16/2014,1291.5
5/15/2014,1299
5/14/2014,1305.3
5/13/2014,1296.5
5/12/2014,1298.8
5/09/2014,1291.3
5/08/2014,1287
5/07/2014,1296
5/06/2014,1306.3
5/05/2014,1281.3
5/02/2014,1281.3
5/01/2014,1278.5
4/30/2014,1288.5
4/29/2014,1297.8
4/28/2014,1299
4/25/2014,1301.3
4/24/2014,1291.5
4/23/2014,1285.3
4/22/2014,1286.8
4/21/2014,1299
4/18/2014,1299
4/17/2014,1299
4/16/2014,1301.5
4/15/2014,1298
4/14/2014,1325.8
4/11/2014,1318
4/10/2014,1320.5
4/09/2014,1301.8
4/08/2014,1309.5
4/07/2014,1299
4/04/2014,1297.3
4/03/2014,1284
4/02/2014,1292
4/01/2014,1283.8
3/31/2014,1291.8
3/28/2014,1294.8
3/27/2014,1296
3/26/2014,1304
3/25/2014,1313.5
3/24/2014,1310.8
3/21/2014,1336
3/20/2014,1327
3/19/2014,1338
3/18/2014,1355.8
3/17/2014,1378.5
3/14/2014,1385
3/13/2014,1368.8
3/12/2014,1366
3/11/2014,1346.3
3/10/2014,1344
3/07/2014,1335.3
3/06/2014,1345.3
3/05/2014,1337
3/04/2014,1334.8
3/03/2014,1349.5
2/28/2014,1326.5
2/27/2014,1332.3
2/26/2014,1331.8
2/25/2014,1339
2/24/2014,1334.8
2/21/2014,1323.3
2/20/2014,1316.3
2/19/2014,1320.5
2/18/2014,1320.8
2/17/2014,1327.5
2/14/2014,1320
2/13/2014,1296
2/12/2014,1289.5
2/11/2014,1282
2/10/2014,1277
2/07/2014,1259.3
2/06/2014,1256.5
2/05/2014,1254.5
2/04/2014,1250.3
2/03/2014,1262
1/31/2014,1251
1/30/2014,1242.5
1/29/2014,1264
1/28/2014,1251.3
1/27/2014,1260.5
1/24/2014,1267
1/23/2014,1263
1/22/2014,1241
1/21/2014,1238
1/20/2014,1255.8
1/17/2014,1250
1/16/2014,1241.5
1/15/2014,1236
1/14/2014,1251.5
1/13/2014,1248
1/10/2014,1244.3
1/09/2014,1226
1/08/2014,1221
1/07/2014,1227.5
1/06/2014,1246.3
1/03/2014,1234.5
1/02/2014,1225
1/01/2014,1204.5
12/31/2013,1204.5
12/30/2013,1204.5
12/27/2013,1214.5
12/26/2013,1199
12/25/2013,1199
12/24/2013,1199
12/23/2013,1199
12/20/2013,1195.3
12/19/2013,1196
12/18/2013,1230.5
12/17/2013,1231.8
12/16/2013,1234.8
12/13/2013,1232
12/12/2013,1225.3
12/11/2013,1260.8
12/10/2013,1266.3
12/09/2013,1237
12/06/2013,1233
12/05/2013,1222.5
12/04/2013,1227.5
12/03/2013,1217.3
12/02/2013,1229.5
11/29/2013,1253
11/28/2013,1245.5
11/27/2013,1245
11/26/2013,1247.5
11/25/2013,1243
11/22/2013,1246.3
11/21/2013,1240
11/20/2013,1257
11/19/2013,1275.8
11/18/2013,1283.5
11/15/2013,1287.3
11/14/2013,1286
11/13/2013,1272.5
11/12/2013,1281.3
11/11/2013,1282.5
11/08/2013,1285.5
11/07/2013,1307.3
11/06/2013,1319
11/05/2013,1307.3
11/04/2013,1320.5
11/01/2013,1306.8
10/31/2013,1324
10/30/2013,1354.8
10/29/2013,1349.3
10/28/2013,1361
10/25/2013,1347.8
10/24/2013,1344.8
10/23/2013,1331.3
10/22/2013,1333
10/21/2013,1317.5
10/18/2013,1316.5
10/17/2013,1319.3
10/16/2013,1273.5
10/15/2013,1270.5
10/14/2013,1285.5
10/11/2013,1265.5
10/10/2013,1298.5
10/09/2013,1304
10/08/2013,1329.5
10/07/2013,1323.5
10/04/2013,1309.8
10/03/2013,1316
10/02/2013,1306.3
10/01/2013,1290.8
9/30/2013,1326.5
9/27/2013,1341
9/26/2013,1333
9/25/2013,1322.8
9/24/2013,1314.3
9/23/2013,1323
9/20/2013,1349.3
9/19/2013,1365.5
9/18/2013,1301
9/17/2013,1312.3
9/16/2013,1324
9/13/2013,1318.5
9/12/2013,1328
9/11/2013,1363.8
9/10/2013,1358.3
9/09/2013,1390
9/06/2013,1387
9/05/2013,1385
9/04/2013,1390
9/03/2013,1399.5
9/02/2013,1392.3
8/30/2013,1394.8
8/29/2013,1407.8
8/28/2013,1419.5
8/27/2013,1419.3
8/26/2013,1377.5
8/23/2013,1377.5
8/22/2013,1375.5
8/21/2013,1363
8/20/2013,1372.5
8/19/2013,1365
8/16/2013,1369.3
8/15/2013,1329.8
8/14/2013,1326.5
8/13/2013,1328.5
8/12/2013,1341
8/09/2013,1309
8/08/2013,1298.3
8/07/2013,1282.5
8/06/2013,1280.5
8/05/2013,1304.8
8/02/2013,1309.3
8/01/2013,1315
7/31/2013,1314.5
7/30/2013,1324.2
7/29/2013,1329.8
7/26/2013,1331
7/25/2013,1326
7/24/2013,1335
7/23/2013,1333.5
7/22/2013,1327
7/19/2013,1295.8
7/18/2013,1283.3
7/17/2013,1297.3
7/16/2013,1291.5
7/15/2013,1284.8
7/12/2013,1279.8
7/11/2013,1285
7/10/2013,1256
7/09/2013,1255.5
7/08/2013,1235.3
7/05/2013,1212.8
7/04/2013,1251.8
7/03/2013,1250
7/02/2013,1252.5
7/01/2013,1242.8
6/28/2013,1192
6/27/2013,1232.8
6/26/2013,1236.3
6/25/2013,1279
6/24/2013,1286.8
6/21/2013,1295.3
6/20/2013,1292.5
6/19/2013,1372.8
6/18/2013,1366.8
6/17/2013,1384.8
6/14/2013,1391.3
6/13/2013,1385
6/12/2013,1382.8
6/11/2013,1374.3
6/10/2013,1383.3
6/07/2013,1386
6/06/2013,1400
6/05/2013,1404
6/04/2013,1399.5
6/03/2013,1402.5
5/31/2013,1394.5
