Date,INF_Value%
9/30/2014,0.08
9/29/2014,0.08
9/26/2014,0.08
9/25/2014,0.08
9/24/2014,0.08
9/23/2014,0.08
9/22/2014,0.08
9/19/2014,0.08
9/18/2014,0.08
9/17/2014,0.08
9/16/2014,0.08
9/15/2014,0.08
9/12/2014,0.08
9/11/2014,0.08
9/10/2014,0.08
9/9/2014,0.08
9/8/2014,0.08
9/5/2014,0.08
9/4/2014,0.08
9/3/2014,0.08
9/2/2014,0.08
9/1/2014,0.08
8/29/2014,-0.17
8/28/2014,-0.17
8/27/2014,-0.17
8/26/2014,-0.17
8/25/2014,-0.17
8/22/2014,-0.17
8/21/2014,-0.17
8/20/2014,-0.17
8/19/2014,-0.17
8/18/2014,-0.17
8/15/2014,-0.17
8/14/2014,-0.17
8/13/2014,-0.17
8/12/2014,-0.17
8/11/2014,-0.17
8/8/2014,-0.17
8/7/2014,-0.17
8/6/2014,-0.17
8/5/2014,-0.17
8/4/2014,-0.17
8/1/2014,-0.17
7/31/2014,-0.04
7/30/2014,-0.04
7/29/2014,-0.04
7/28/2014,-0.04
7/25/2014,-0.04
7/24/2014,-0.04
7/23/2014,-0.04
7/22/2014,-0.04
7/21/2014,-0.04
7/18/2014,-0.04
7/17/2014,-0.04
7/16/2014,-0.04
7/15/2014,-0.04
7/14/2014,-0.04
7/11/2014,-0.04
7/10/2014,-0.04
7/9/2014,-0.04
7/8/2014,-0.04
7/7/2014,-0.04
7/4/2014,-0.04
7/3/2014,-0.04
7/2/2014,-0.04
7/1/2014,-0.04
6/30/2014,0.19
6/27/2014,0.19
6/26/2014,0.19
6/25/2014,0.19
6/24/2014,0.19
6/23/2014,0.19
6/20/2014,0.19
6/19/2014,0.19
6/18/2014,0.19
6/17/2014,0.19
6/16/2014,0.19
6/13/2014,0.19
6/12/2014,0.19
6/11/2014,0.19
6/10/2014,0.19
6/9/2014,0.19
6/6/2014,0.19
6/5/2014,0.19
6/4/2014,0.19
6/3/2014,0.19
6/2/2014,0.19
5/30/2014,0.35
5/29/2014,0.35
5/28/2014,0.35
5/27/2014,0.35
5/26/2014,0.35
5/23/2014,0.35
5/22/2014,0.35
5/21/2014,0.35
5/20/2014,0.35
5/19/2014,0.35
5/16/2014,0.35
5/15/2014,0.35
5/14/2014,0.35
5/13/2014,0.35
5/12/2014,0.35
5/9/2014,0.35
5/8/2014,0.35
5/7/2014,0.35
5/6/2014,0.35
5/5/2014,0.35
5/2/2014,0.35
5/1/2014,0.35
4/30/2014,0.33
4/29/2014,0.33
4/28/2014,0.33
4/25/2014,0.33
4/24/2014,0.33
4/23/2014,0.33
4/22/2014,0.33
4/21/2014,0.33
4/18/2014,0.33
4/17/2014,0.33
4/16/2014,0.33
4/15/2014,0.33
4/14/2014,0.33
4/11/2014,0.33
4/10/2014,0.33
4/9/2014,0.33
4/8/2014,0.33
4/7/2014,0.33
4/4/2014,0.33
4/3/2014,0.33
4/2/2014,0.33
4/1/2014,0.33
3/31/2014,0.64
3/28/2014,0.64
3/27/2014,0.64
3/26/2014,0.64
3/25/2014,0.64
3/24/2014,0.64
3/21/2014,0.64
3/20/2014,0.64
3/19/2014,0.64
3/18/2014,0.64
3/17/2014,0.64
3/14/2014,0.64
3/13/2014,0.64
3/12/2014,0.64
3/11/2014,0.64
3/10/2014,0.64
3/7/2014,0.64
3/6/2014,0.64
3/5/2014,0.64
3/4/2014,0.64
3/3/2014,0.64
2/28/2014,0.37
2/27/2014,0.37
2/26/2014,0.37
2/25/2014,0.37
2/24/2014,0.37
2/21/2014,0.37
2/20/2014,0.37
2/19/2014,0.37
2/18/2014,0.37
2/17/2014,0.37
2/14/2014,0.37
2/13/2014,0.37
2/12/2014,0.37
2/11/2014,0.37
2/10/2014,0.37
2/7/2014,0.37
2/6/2014,0.37
2/5/2014,0.37
2/4/2014,0.37
2/3/2014,0.37
1/31/2014,0.37
1/30/2014,0.37
1/29/2014,0.37
1/28/2014,0.37
1/27/2014,0.37
1/24/2014,0.37
1/23/2014,0.37
1/22/2014,0.37
1/21/2014,0.37
1/20/2014,0.37
1/17/2014,0.37
1/16/2014,0.37
1/15/2014,0.37
1/14/2014,0.37
1/13/2014,0.37
1/10/2014,0.37
1/9/2014,0.37
1/8/2014,0.37
1/7/2014,0.37
1/6/2014,0.37
1/3/2014,0.37
1/2/2014,0.37
1/1/2014,0.37
12/31/2013,-0.01
12/30/2013,-0.01
12/27/2013,-0.01
12/26/2013,-0.01
12/25/2013,-0.01
12/24/2013,-0.01
12/23/2013,-0.01
12/20/2013,-0.01
12/19/2013,-0.01
12/18/2013,-0.01
12/17/2013,-0.01
12/16/2013,-0.01
12/13/2013,-0.01
12/12/2013,-0.01
12/11/2013,-0.01
12/10/2013,-0.01
12/9/2013,-0.01
12/6/2013,-0.01
12/5/2013,-0.01
12/4/2013,-0.01
12/3/2013,-0.01
12/2/2013,-0.01
11/29/2013,-0.2
11/28/2013,-0.2
11/27/2013,-0.2
11/26/2013,-0.2
11/25/2013,-0.2
11/22/2013,-0.2
11/21/2013,-0.2
11/20/2013,-0.2
11/19/2013,-0.2
11/18/2013,-0.2
11/15/2013,-0.2
11/14/2013,-0.2
11/13/2013,-0.2
11/12/2013,-0.2
11/11/2013,-0.2
11/8/2013,-0.2
11/7/2013,-0.2
11/6/2013,-0.2
11/5/2013,-0.2
11/4/2013,-0.2
11/1/2013,-0.2
10/31/2013,-0.26
10/30/2013,-0.26
10/29/2013,-0.26
10/28/2013,-0.26
10/25/2013,-0.26
10/24/2013,-0.26
10/23/2013,-0.26
10/22/2013,-0.26
