Date,Oil,Adjusted Close,,Date,
9/30/2014,91.17,1972.29,,9/30/2014,1
9/29/2014,94.53,1977.8,,9/29/2014,1
9/26/2014,95.55,1982.85,,9/26/2014,1
9/25/2014,93.59,1965.99,,9/25/2014,1
9/24/2014,93.6,1998.3,,9/24/2014,1
9/23/2014,91.55,1982.77,,9/23/2014,1
9/22/2014,91.46,1994.29,,9/22/2014,1
9/19/2014,92.43,2010.4,,9/19/2014,1
9/18/2014,93.07,2011.36,,9/18/2014,1
9/17/2014,94.33,2001.57,,9/17/2014,1
9/16/2014,94.91,1998.98,,9/16/2014,1
9/15/2014,92.86,1984.13,,9/15/2014,1
9/12/2014,92.18,1985.54,,9/12/2014,1
9/11/2014,92.89,1997.45,,9/11/2014,1
9/10/2014,91.71,1995.69,,9/10/2014,1
9/9/2014,92.73,1988.44,,9/9/2014,1
9/8/2014,92.64,2001.54,,9/8/2014,1
9/5/2014,93.32,2007.71,,9/5/2014,1
9/4/2014,94.51,1997.65,,9/4/2014,1
9/3/2014,95.5,2000.72,,9/3/2014,1
9/2/2014,92.92,2002.28,,9/2/2014,1
8/29/2014,97.86,2003.37,,8/29/2014,1
8/28/2014,96.44,1996.74,,8/28/2014,1
8/27/2014,95.82,2000.12,,8/27/2014,1
8/26/2014,95.78,2000.02,,8/26/2014,1
8/25/2014,95.39,1997.92,,8/25/2014,1
8/22/2014,93.61,1988.4,,8/22/2014,1
8/21/2014,93.97,1992.37,,8/21/2014,1
8/20/2014,96.4,1986.51,,8/20/2014,1
8/19/2014,94.35,1981.6,,8/19/2014,1
8/18/2014,96.44,1971.74,,8/18/2014,1
8/15/2014,97.3,1955.06,,8/15/2014,1
8/14/2014,95.54,1955.18,,8/14/2014,1
8/13/2014,97.57,1946.72,,8/13/2014,1
8/12/2014,97.36,1933.75,,8/12/2014,1
8/11/2014,98.09,1936.92,,8/11/2014,1
8/8/2014,97.61,1931.59,,8/8/2014,1
8/7/2014,97.34,1909.57,,8/7/2014,1
8/6/2014,96.93,1920.24,,8/6/2014,1
8/5/2014,97.34,1920.21,,8/5/2014,1
8/4/2014,98.26,1938.99,,8/4/2014,1
8/1/2014,97.86,1925.15,,8/1/2014,1
7/31/2014,98.23,1930.67,,7/31/2014,1
7/30/2014,104.29,1970.07,,7/30/2014,1
7/29/2014,104.91,1969.95,,7/29/2014,1
7/28/2014,105.68,1978.91,,7/28/2014,1
