Date,EURO/USD_Value
11/30/2014,1.24874
10/31/2014,1.26539
9/30/2014,1.26856
8/31/2014,1.3187
7/31/2014,1.34093
6/30/2014,1.36369
5/31/2014,1.36095
4/30/2014,1.38448
3/31/2014,1.37589
2/28/2014,1.36972
1/31/2014,1.36286
12/31/2013,1.37606
11/30/2013,1.35861
10/31/2013,1.37571
9/30/2013,1.35159
8/31/2013,1.33139
7/31/2013,1.32673
6/30/2013,1.30342
5/31/2013,1.29534
4/30/2013,1.30577
3/31/2013,1.28052
2/28/2013,1.30781
1/31/2013,1.34987
12/31/2012,1.32269
11/30/2012,1.2952
10/31/2012,1.29285
9/30/2012,1.28783
8/31/2012,1.25391
7/31/2012,1.22911
6/30/2012,1.24693
5/31/2012,1.24713
4/30/2012,1.32436
3/31/2012,1.33103
2/29/2012,1.34306
1/31/2012,1.31776
12/31/2011,1.29648
11/30/2011,1.33338
10/31/2011,1.41047
9/30/2011,1.35972
8/31/2011,1.44835
7/31/2011,1.43777
6/30/2011,1.43621
5/31/2011,1.42968
4/30/2011,1.47736
3/31/2011,1.40959
2/28/2011,1.37603
1/31/2011,1.3647
12/31/2010,1.32085
11/30/2010,1.32136
10/31/2010,1.38433
9/30/2010,1.35699
8/31/2010,1.27239
7/31/2010,1.304
6/30/2010,1.22543
5/31/2010,1.2282
4/30/2010,1.32197
3/31/2010,1.34587
2/28/2010,1.35178
1/31/2010,1.40238
12/31/2009,1.43529
11/30/2009,1.50223
10/31/2009,1.47693
9/30/2009,1.46065
8/31/2009,1.42877
7/31/2009,1.40834
6/30/2009,1.40516
5/31/2009,1.39033
4/30/2009,1.31533
3/31/2009,1.32383
2/28/2009,1.27699
1/31/2009,1.31415
12/31/2008,1.41313
11/30/2008,1.2931
10/31/2008,1.29553
9/30/2008,1.45099
8/31/2008,1.47323
7/31/2008,1.56243
6/30/2008,1.5758
5/31/2008,1.56206
4/30/2008,1.56185
3/31/2008,1.57972
2/29/2008,1.50918
1/31/2008,1.47793
12/31/2007,1.46471
11/30/2007,1.48174
10/31/2007,1.44118
9/30/2007,1.41403
8/31/2007,1.36337
7/31/2007,1.36476
6/30/2007,1.34534
5/31/2007,1.34474
4/30/2007,1.36433
3/31/2007,1.33341
2/28/2007,1.3193
1/31/2007,1.29452
12/31/2006,1.31361
11/30/2006,1.31643
10/31/2006,1.2731
9/30/2006,1.27039
8/31/2006,1.28196
7/31/2006,1.27458
6/30/2006,1.25548
5/31/2006,1.27969
4/30/2006,1.24518
3/31/2006,1.20501
2/28/2006,1.1864
1/31/2006,1.20944
