Date,CSI_Value
11/30/2014,86
10/31/2014,86
9/30/2014,86
8/31/2014,93.4
7/31/2014,90.3
6/30/2014,86.4
5/31/2014,82.2
4/30/2014,81.7
3/31/2014,83.9
2/28/2014,78.3
1/31/2014,79.4
12/31/2013,77.5
11/30/2013,70.4
10/31/2013,72.4
9/30/2013,80.2
8/31/2013,81.8
7/31/2013,81
6/30/2013,82.1
5/31/2013,74.3
4/30/2013,69
3/31/2013,61.9
2/28/2013,68
1/31/2013,58.4
12/31/2012,64.6
11/30/2012,71.5
10/31/2012,73.1
9/30/2012,70.3
8/31/2012,61.3
7/31/2012,65.4
6/30/2012,62.7
5/31/2012,64.4
4/30/2012,68.7
3/31/2012,69.5
2/29/2012,71.6
1/31/2012,61.5
12/31/2011,64.8
11/30/2011,56
10/31/2011,40.9
9/30/2011,46.4
8/31/2011,44.5
7/31/2011,59.2
6/30/2011,57.6
5/31/2011,61.7
4/30/2011,65.4
3/31/2011,63.8
2/28/2011,72
1/31/2011,64.8
12/31/2010,63.4
11/30/2010,57.8
10/31/2010,49.9
9/30/2010,48.6
8/31/2010,53.2
7/31/2010,51
6/30/2010,54.3
5/31/2010,62.7
4/30/2010,57.7
3/31/2010,52.3
2/28/2010,46.4
1/31/2010,56.5
12/31/2009,53.6
11/30/2009,50.6
10/31/2009,48.7
9/30/2009,53.4
8/31/2009,54.5
7/31/2009,47.4
6/30/2009,49.3
5/31/2009,54.8
4/30/2009,40.8
3/31/2009,26.9
2/28/2009,25.3
1/31/2009,40
12/31/2008,38.6
11/30/2008,44.9
10/31/2008,38.8
9/30/2008,61.4
8/31/2008,58.5
7/31/2008,51.9
6/30/2008,50.4
5/31/2008,57.2
4/30/2008,62.3
3/31/2008,65.9
2/29/2008,76.4
1/31/2008,87.9
12/31/2007,90.6
11/30/2007,87.8
10/31/2007,95.2
9/30/2007,99.5
8/31/2007,105.6
7/31/2007,111.9
6/30/2007,105.3
5/31/2007,108.5
4/30/2007,106.3
3/31/2007,108.2
2/28/2007,111.2
1/31/2007,110.2
12/31/2006,110
11/30/2006,105.3
10/31/2006,105.1
9/30/2006,105.9
8/31/2006,100.2
7/31/2006,107
6/30/2006,105.7
5/31/2006,104.7
4/30/2006,109.8
3/31/2006,107.5
2/28/2006,102.7
1/31/2006,106.8
12/31/2005,103.8
