Date,NYSE_Value
11/30/2014,10955.41
10/31/2014,10845
9/30/2014,10702.93
8/31/2014,11046.29
7/31/2014,10726.43
6/30/2014,10979.42
5/31/2014,10756.31
4/30/2014,10627.17
3/31/2014,10527.77
2/28/2014,10425.86
1/31/2014,9967.65
12/31/2013,10400.32
11/30/2013,10183.23
10/31/2013,10009.64
9/30/2013,9621.24
8/31/2013,9270.66
7/31/2013,9558.83
6/30/2013,9112.69
5/31/2013,9302.27
4/30/2013,9276.88
3/31/2013,9107.04
2/28/2013,8868.72
1/31/2013,8894.71
12/31/2012,8443.51
11/30/2012,8260.43
10/31/2012,8221.4
9/30/2012,8251
8/31/2012,8014.93
7/31/2012,7863.93
6/30/2012,7801.84
5/31/2012,7463.96
4/30/2012,8119.06
3/31/2012,8206.93
2/29/2012,8113.24
1/31/2012,7838.48
12/31/2011,7477.03
11/30/2011,7484.5
10/31/2011,7563.38
9/30/2011,6791.65
8/31/2011,7528.39
7/31/2011,8079.44
6/30/2011,8319.1
5/31/2011,8477.28
4/30/2011,8671.41
3/31/2011,8404.98
2/28/2011,8438.55
1/31/2011,8139.16
12/31/2010,7964.02
11/30/2010,7430.94
10/31/2010,7513.35
9/30/2010,7281.07
8/31/2010,6704.15
7/31/2010,6998.99
6/30/2010,6469.65
5/31/2010,6791.57
4/30/2010,7474.4
3/31/2010,7447.8
2/28/2010,7035.04
1/31/2010,6883.78
12/31/2009,7184.96
11/30/2009,7092.36
10/31/2009,6739.45
9/30/2009,6910.88
8/31/2009,6643.24
7/31/2009,6424.28
6/30/2009,5905.15
5/31/2009,6004.07
4/30/2009,5513.36
3/31/2009,4978.98
2/28/2009,4617.03
1/31/2009,5195.79
12/31/2008,5757.05
11/30/2008,5599.3
10/31/2008,6061.09
9/30/2008,7532.8
8/31/2008,8382.08
7/31/2008,8438.64
6/30/2008,8660.48
5/31/2008,9401.08
4/30/2008,9299.6
3/31/2008,8797.29
2/29/2008,8962.46
1/31/2008,9126.16
12/31/2007,9740.32
11/30/2007,9856.85
10/31/2007,10311.61
9/30/2007,10039.28
8/31/2007,9596.98
7/31/2007,9554.5
6/30/2007,9873.02
5/31/2007,9978.64
4/30/2007,9627.73
3/31/2007,9261.82
2/28/2007,9124.54
1/31/2007,9254.73
12/31/2006,9139.02
11/30/2006,8969
10/31/2006,8774.98
9/30/2006,8469.65
8/31/2006,8388.56
7/31/2006,8242.12
6/30/2006,8169.07
5/31/2006,8189.11
4/30/2006,8471.43
3/31/2006,8233.2
2/28/2006,8060.61
1/31/2006,8106.55
12/31/2005,7753.95
11/30/2005,7645.28
10/31/2005,7433.12
9/30/2005,7632.98
8/31/2005,7496.09
7/31/2005,7476.66
6/30/2005,7217.78
5/31/2005,7134.33
4/30/2005,7008.32
3/31/2005,7167.53
2/28/2005,7321.23
1/31/2005,7089.83
12/31/2004,7250.06
11/30/2004,7005.72
10/31/2004,6692.71
9/30/2004,6570.25
8/31/2004,6454.22
7/31/2004,6403.15
6/30/2004,6602.99
5/31/2004,6484.72
4/30/2004,6439.42
3/31/2004,6599.06
2/29/2004,6692.37
1/31/2004,6551.63
12/31/2003,6464
11/30/2003,6073.02
10/31/2003,5959.01
9/30/2003,5644.03
8/31/2003,5660.16
7/31/2003,5558.99
6/30/2003,5505.17
5/31/2003,5435.37
4/30/2003,5131.56
3/31/2003,4730.21
2/28/2003,4716.07
1/31/2003,4868.68
12/31/2002,5000
11/30/2002,5236.85
10/31/2002,5000.32
9/30/2002,4709.96
8/31/2002,5239.81
7/31/2002,5195.61
6/30/2002,5636.54
5/31/2002,6035.27
4/30/2002,6071.22
3/31/2002,6348.79
2/28/2002,6117.96
1/31/2002,6116.9
12/31/2001,6236.39
11/30/2001,6125.04
10/31/2001,5776.85
9/30/2001,5750.42
8/31/2001,6215.66
7/31/2001,6523.36
6/30/2001,6574.32
5/31/2001,6784.85
4/30/2001,6712.52
3/31/2001,6298.35
2/28/2001,6629.09
1/31/2001,7017.15
12/31/2000,6945.57
11/30/2000,6659.12
10/31/2000,7042.32
9/30/2000,7010.81
8/31/2000,7132.3
7/31/2000,6773.85
6/30/2000,6798.17
5/31/2000,6805.25
4/30/2000,6811.17
3/31/2000,6848.61
2/29/2000,6266.42
1/31/2000,6574.01
12/31/1999,6876.1
11/30/1999,6673.93
10/31/1999,6613.55
9/30/1999,6268
8/31/1999,6474.61
7/31/1999,6619.9
6/30/1999,6853.15
5/31/1999,6579.61
4/30/1999,6706.92
3/31/1999,6382.2
2/28/1999,6201.07
1/31/1999,6348.89
12/31/1998,6299.93
11/30/1998,6042.89
10/31/1998,5745.24
9/30/1998,5334.13
8/31/1998,5081.73
7/31/1998,5977.01
6/30/1998,6119.34
5/31/1998,5977.12
4/30/1998,6104.95
3/31/1998,6056.42
2/28/1998,5754.86
1/31/1998,5399.26
12/31/1997,5405.19
11/30/1997,5277.35
10/31/1997,5087.44
9/30/1997,5257.58
8/31/1997,4974.73
7/31/1997,5228.71
6/30/1997,4889.72
5/31/1997,4671.26
4/30/1997,4408.61
3/31/1997,4214.16
2/28/1997,4393.49
1/31/1997,4356.17
12/31/1996,4148.07
11/30/1996,4212.89
10/31/1996,3959.86
9/30/1996,3884.05
8/31/1996,3711.27
7/31/1996,3623.62
6/30/1996,3798.08
5/31/1996,3794.17
4/30/1996,3713.92
3/31/1996,3668.24
2/29/1996,3624.67
1/31/1996,3595.39
12/31/1995,3484.15
11/30/1995,3421.55
10/31/1995,3273.73
9/30/1995,3312.33
8/31/1995,3193.27
7/31/1995,3186.08
6/30/1995,3085.84
5/31/1995,3028.74
4/30/1995,2932.2
3/31/1995,2865.9
2/28/1995,2798.34
1/31/1995,2706.13
12/31/1994,2653.37
11/30/1994,2626.62
10/31/1994,2735.32
9/30/1994,2701.8
8/31/1994,2770.21
7/31/1994,2671.14
6/30/1994,2592.26
5/31/1994,2667.12
4/30/1994,2647.24
3/31/1994,2612.35
2/28/1994,2741.03
1/31/1994,2824.24
12/31/1993,2739.44
