Date,Oil_Value
9/12/2014,92.27
9/11/2014,92.83
9/10/2014,91.67
9/9/2014,92.75
9/8/2014,92.66
9/5/2014,93.29
9/4/2014,94.45
9/3/2014,95.54
9/2/2014,92.88
8/29/2014,95.96
8/28/2014,94.55
8/27/2014,93.88
8/26/2014,93.86
8/25/2014,93.35
8/22/2014,93.65
8/21/2014,93.96
8/20/2014,96.07
8/19/2014,94.48
8/18/2014,96.41
8/15/2014,97.35
8/14/2014,95.58
8/13/2014,97.59
8/12/2014,97.37
8/11/2014,98.08
8/8/2014,97.65
8/7/2014,97.34
8/6/2014,96.92
8/5/2014,97.38
8/4/2014,98.29
8/1/2014,97.88
7/31/2014,98.17
7/30/2014,100.27
7/29/2014,100.97
7/28/2014,101.67
7/25/2014,102.09
7/24/2014,102.07
7/23/2014,103.12
7/22/2014,104.42
7/21/2014,104.59
7/18/2014,103.13
7/17/2014,103.19
7/16/2014,101.2
7/15/2014,99.96
7/14/2014,100.91
7/11/2014,100.83
7/10/2014,102.93
7/9/2014,102.29
7/8/2014,103.4
7/7/2014,103.53
7/3/2014,104.06
7/2/2014,104.48
7/1/2014,105.34
6/30/2014,105.37
6/27/2014,105.74
6/26/2014,105.84
6/25/2014,106.5
6/24/2014,106.03
6/23/2014,106.17
6/20/2014,107.26
6/19/2014,106.43
6/18/2014,105.97
6/17/2014,106.36
6/16/2014,106.9
6/13/2014,106.91
6/12/2014,106.53
6/11/2014,104.4
6/10/2014,104.35
6/9/2014,104.41
6/6/2014,102.66
6/5/2014,102.48
6/4/2014,102.64
6/3/2014,102.66
6/2/2014,102.47
5/30/2014,102.7100028
5/29/2014,103.5800028
5/28/2014,102.7200028
5/27/2014,104.1100028
5/23/2014,104.3500028
5/22/2014,103.7400028
5/21/2014,104.0700028
5/20/2014,102.4400028
5/19/2014,102.6100028
5/16/2014,102.0200028
5/15/2014,101.5000027
5/14/2014,102.3700028
5/13/2014,101.7000027
5/12/2014,100.5900027
5/9/2014,99.9900027
5/8/2014,100.2600027
5/7/2014,100.7700027
5/6/2014,99.50000269
5/5/2014,99.48000269
5/2/2014,99.7600027
5/1/2014,99.42000269
4/30/2014,100.2531261
4/29/2014,101.8010488
4/28/2014,101.3587852
4/25/2014,101.1175505
4/24/2014,102.4644443
4/23/2014,101.961872
4/22/2014,102.6554218
4/21/2014,104.9069458
4/17/2014,104.8365856
4/16/2014,104.2938075
4/15/2014,104.2837561
4/14/2014,104.5852995
4/11/2014,104.2737046
4/10/2014,103.9319555
4/9/2014,104.1329844
4/8/2014,103.087634
4/7/2014,100.9567273
4/4/2014,101.6603286
4/3/2014,100.8059556
4/2/2014,100.1325087
4/1/2014,100.2531261
3/31/2014,102.6078729
3/28/2014,102.6987836
3/27/2014,102.3048372
3/26/2014,101.274516
3/25/2014,100.1936888
3/24/2014,100.6078376
3/21/2014,100.4664209
3/20/2014,100.4361174
3/19/2014,101.3856291
3/18/2014,100.7088494
3/17/2014,99.07245691
3/14/2014,99.89065318
3/13/2014,99.19367117
3/12/2014,98.98154621
3/11/2014,101.0421887
3/10/2014,102.1432182
3/7/2014,103.6179917
3/6/2014,102.5876705
3/4/2014,104.3755809
3/3/2014,105.9816698
2/28/2014,104.466656
2/27/2014,104.2731804
2/26/2014,104.466656
2/25/2014,103.6927535
2/24/2014,104.7008634
