Date,USD_Value
9/30/2014,81.3001
9/29/2014,80.9136
9/26/2014,80.9983
9/25/2014,80.5957
9/24/2014,80.4465
9/23/2014,80.1793
9/22/2014,80.1599
9/19/2014,80.0624
9/18/2014,79.7372
9/17/2014,79.5117
9/16/2014,79.4383
9/15/2014,79.7137
9/12/2014,79.7607
9/11/2014,79.6552
9/10/2014,79.5726
9/9/2014,79.6254
9/8/2014,79.2266
9/5/2014,78.9363
9/4/2014,78.9759
9/3/2014,78.3932
9/2/2014,78.5557
8/29/2014,78.1563
8/28/2014,78.0548
8/27/2014,78.1206
8/26/2014,78.2803
8/25/2014,78.2741
8/22/2014,78.1419
8/21/2014,77.9955
8/20/2014,77.9167
8/19/2014,77.7308
8/18/2014,77.4706
8/15/2014,77.3984
8/14/2014,77.4718
8/13/2014,77.5524
8/12/2014,77.5408
8/11/2014,77.4478
8/8/2014,77.459
8/7/2014,77.4503
8/6/2014,77.509
8/5/2014,77.6219
8/4/2014,77.3631
8/1/2014,77.3159
7/31/2014,77.3923
7/30/2014,77.4701
7/29/2014,77.1361
7/28/2014,76.8868
7/25/2014,76.9428
7/24/2014,76.703
7/23/2014,76.6433
7/22/2014,76.6518
7/21/2014,76.4821
7/18/2014,76.5052
7/17/2014,76.4803
7/16/2014,76.5197
7/15/2014,76.4365
7/14/2014,76.2426
7/11/2014,76.2489
7/10/2014,76.099
7/9/2014,76.0688
7/8/2014,76.1414
7/7/2014,76.1891
7/3/2014,76.1536
7/2/2014,76.0097
7/1/2014,75.8819
6/30/2014,75.9111
6/27/2014,76.1078
6/26/2014,76.2552
6/25/2014,76.2454
6/24/2014,76.4588
6/23/2014,76.3709
6/20/2014,76.5046
6/19/2014,76.4888
6/18/2014,76.7865
6/17/2014,76.7972
6/16/2014,76.6378
6/13/2014,76.8582
6/12/2014,76.7463
6/11/2014,76.8807
6/10/2014,77.0323
6/9/2014,76.9204
6/6/2014,76.8544
6/5/2014,76.9016
6/4/2014,76.9656
6/3/2014,76.8865
6/2/2014,76.8711
5/30/2014,76.6484
5/29/2014,76.6475
5/28/2014,76.7853
5/27/2014,76.7485
5/23/2014,76.6877
5/22/2014,76.653
5/21/2014,76.675
5/20/2014,76.4714
5/19/2014,76.3501
5/16/2014,76.428
5/15/2014,76.4378
5/14/2014,76.4526
5/13/2014,76.5196
5/12/2014,76.3802
5/9/2014,76.356
5/8/2014,75.9767
5/7/2014,75.948
5/6/2014,75.8932
5/5/2014,76.246
5/2/2014,76.3649
5/1/2014,76.3206
4/30/2014,76.2814
4/29/2014,76.5291
4/28/2014,76.5722
4/25/2014,76.5631
4/24/2014,76.5906
4/23/2014,76.6326
4/22/2014,76.6432
4/21/2014,76.6868
4/18/2014,76.6143
4/17/2014,76.4844
4/16/2014,76.5746
4/15/2014,76.4469
4/14/2014,76.3779
4/11/2014,76.1639
4/10/2014,76.0439
4/9/2014,76.2748
4/8/2014,76.383
4/7/2014,76.815
4/4/2014,76.9788
4/3/2014,77.1807
4/2/2014,76.9924
4/1/2014,76.8292
3/31/2014,76.8603
3/28/2014,76.9669
3/27/2014,76.832
3/26/2014,76.9877
3/25/2014,77.1142
3/24/2014,77.1737
3/21/2014,77.1521
3/20/2014,77.2728
3/19/2014,76.655
3/18/2014,76.458
3/17/2014,76.3709
3/14/2014,76.4463
3/13/2014,76.4484
3/12/2014,76.7747
3/11/2014,76.8108
3/10/2014,76.8292
3/7/2014,76.7961
3/6/2014,76.5407
3/5/2014,76.9193
3/4/2014,77.0725
3/3/2014,76.8213
2/28/2014,76.7717
2/27/2014,77.1255
2/26/2014,77.2673
2/25/2014,76.9556
