Date,Value
2014-09-30,1216.5
2014-09-29,1219.5
2014-09-26,1213.8
2014-09-25,1213.8
2014-09-24,1217.3
2014-09-23,1222.0
2014-09-22,1213.5
2014-09-19,1219.8
2014-09-18,1220.5
2014-09-17,1236.0
2014-09-16,1232.3
2014-09-15,1234.3
2014-09-12,1231.5
2014-09-11,1241.3
2014-09-10,1251.0
2014-09-09,1255.8
2014-09-08,1259.0
2014-09-05,1266.0
2014-09-04,1271.5
2014-09-03,1265.5
2014-09-02,1267.0
2014-09-01,1286.5
2014-08-29,1285.8
2014-08-28,1292.0
2014-08-27,1282.8
2014-08-26,1286.0
2014-08-25,1277.3
2014-08-22,1277.3
2014-08-21,1275.3
2014-08-20,1295.0
2014-08-19,1296.5
2014-08-18,1296.8
2014-08-15,1296.0
2014-08-14,1313.5
2014-08-13,1312.0
2014-08-12,1315.8
2014-08-11,1307.3
2014-08-08,1309.8
2014-08-07,1305.3
2014-08-06,1306.5
2014-08-05,1284.8
2014-08-04,1290.5
2014-08-01,1291.3
2014-07-31,1285.3
2014-07-30,1294.5
2014-07-29,1299.3
2014-07-28,1304.5
2014-07-25,1294.8
2014-07-24,1292.8
2014-07-23,1308.0
2014-07-22,1310.3
2014-07-21,1311.5
2014-07-18,1307.3
2014-07-17,1302.5
2014-07-16,1301.0
2014-07-15,1310.0
2014-07-14,1306.0
2014-07-11,1335.0
2014-07-10,1340.3
2014-07-09,1322.8
2014-07-08,1313.0
2014-07-07,1313.0
2014-07-04,1319.3
2014-07-03,1317.5
2014-07-02,1326.5
2014-07-01,1327.5
2014-06-30,1315.0
2014-06-27,1317.5
2014-06-26,1311.8
2014-06-25,1316.8
2014-06-24,1318.5
2014-06-23,1313.5
2014-06-20,1312.5
2014-06-19,1293.0
2014-06-18,1269.8
2014-06-17,1267.5
2014-06-16,1276.3
2014-06-13,1273.0
2014-06-12,1265.8
2014-06-11,1262.0
2014-06-10,1259.5
2014-06-09,1253.5
2014-06-06,1247.5
2014-06-05,1252.5
2014-06-04,1245.3
2014-06-03,1242.8
2014-06-02,1247.3
2014-05-30,1250.5
2014-05-29,1255.0
2014-05-28,1263.5
2014-05-27,1275.5
2014-05-26,1291.5
2014-05-23,1291.5
2014-05-22,1298.5
2014-05-21,1287.3
2014-05-20,1295.5
2014-05-19,1302.0
2014-05-16,1291.5
2014-05-15,1299.0
2014-05-14,1305.3
2014-05-13,1296.5
2014-05-12,1298.8
2014-05-09,1291.3
2014-05-08,1287.0
2014-05-07,1296.0
2014-05-06,1306.3
2014-05-05,1281.3
2014-05-02,1281.3
2014-05-01,1278.5
2014-04-30,1288.5
2014-04-29,1297.8
2014-04-28,1299.0
2014-04-25,1301.3
