Date,NYSE_Value
9/30/2014,10702.93
9/29/2014,10749.05
9/26/2014,10798.88
9/25/2014,10722.21
9/24/2014,10885.6
9/23/2014,10815.42
9/22/2014,10892.64
9/19/2014,10989.57
9/18/2014,11024.06
9/17/2014,10973.74
9/16/2014,10980.14
9/15/2014,10909.31
9/12/2014,10911.39
9/11/2014,10975.99
9/10/2014,10972.21
9/9/2014,10945.61
9/8/2014,11007.39
9/5/2014,11073.41
9/4/2014,11030.4
9/3/2014,11063.55
9/2/2014,11038.12
8/29/2014,11046.29
8/28/2014,11009.7
8/27/2014,11037.89
8/26/2014,11025.37
8/25/2014,11005.36
8/22/2014,10947.33
8/21/2014,10982.83
8/20/2014,10949.48
8/19/2014,10929.66
8/18/2014,10886.51
8/15/2014,10796.04
8/14/2014,10802.63
8/13/2014,10756.18
8/12/2014,10705.78
8/11/2014,10722.79
8/8/2014,10691.1
8/7/2014,10583.79
8/6/2014,10653.42
8/5/2014,10657.32
8/4/2014,10766.68
8/1/2014,10692.17
7/31/2014,10726.43
7/30/2014,10929.79
7/29/2014,10936.7
7/28/2014,10987.24
7/25/2014,10985.81
7/24/2014,11038.56
7/23/2014,11023.9
7/22/2014,11016.24
7/21/2014,10957.67
7/18/2014,10985.92
7/17/2014,10890.44
7/16/2014,11017.87
7/15/2014,10965.63
7/14/2014,10991.47
7/11/2014,10936.35
7/10/2014,10941.34
7/9/2014,11005.5
7/8/2014,10963.16
7/7/2014,11035.81
7/3/2014,11104.72
7/2/2014,11050.34
7/1/2014,11046.61
6/30/2014,10979.42
6/27/2014,10974.43
6/26/2014,10949.45
6/25/2014,10962.87
6/24/2014,10921.99
6/23/2014,11014.09
6/20/2014,11018.11
6/19/2014,11003.08
6/18/2014,10975.54
6/17/2014,10886.01
6/16/2014,10863.22
6/13/2014,10856.22
6/12/2014,10825.03
6/11/2014,10872.69
6/10/2014,10914.2
6/9/2014,10918.62
6/6/2014,10904.22
6/5/2014,10847.69
6/4/2014,10776.78
6/3/2014,10770.33
6/2/2014,10772.01
5/30/2014,10756.31
5/29/2014,10752.11
5/28/2014,10702.73
5/27/2014,10720.62
5/23/2014,10681.87
5/22/2014,10644.52
5/21/2014,10620.44
5/20/2014,10541.95
5/19/2014,10618.64
5/16/2014,10603.18
5/15/2014,10568.37
5/14/2014,10656.12
5/13/2014,10702.86
5/12/2014,10703.5
5/9/2014,10606.69
5/8/2014,10610.65
5/7/2014,10626.84
5/6/2014,10568.68
5/5/2014,10630.14
5/2/2014,10629.99
5/1/2014,10629.34
4/30/2014,10627.17
4/29/2014,10583.65
4/28/2014,10526.52
4/25/2014,10505.01
4/24/2014,10575.91
4/23/2014,10581.89
4/22/2014,10599.02
4/21/2014,10559.35
4/17/2014,10532.83
4/16/2014,10505.79
4/15/2014,10401.98
4/14/2014,10359.42
4/11/2014,10280.94
4/10/2014,10366.81
4/9/2014,10554.94
4/8/2014,10452.01
4/7/2014,10407.42
4/4/2014,10517.05
4/3/2014,10598.48
4/2/2014,10616.87
4/1/2014,10584.31
3/31/2014,10527.77
3/28/2014,10434.87
3/27/2014,10373.44
3/26/2014,10359.36
3/25/2014,10417.06
3/24/2014,10362.06
3/21/2014,10392.22
3/20/2014,10400.7
3/19/2014,10359.51
3/18/2014,10441.45
3/17/2014,10377.02
3/14/2014,10285.08
3/13/2014,10297.74
3/12/2014,10418.99
3/11/2014,10425.64
3/10/2014,10486.15
3/7/2014,10511.91
3/6/2014,10525.52
3/5/2014,10482.84
3/4/2014,10489.97
3/3/2014,10329.79
2/28/2014,10425.86
2/27/2014,10397.81
2/26/2014,10349.96
2/25/2014,10353.78
2/24/2014,10369.52
2/21/2014,10306.9
2/20/2014,10316.89
2/19/2014,10254.24
2/18/2014,10319.12
2/14/2014,10282.53
2/13/2014,10228.58
2/12/2014,10173.77
2/11/2014,10170.37
2/10/2014,10050.4
2/7/2014,10055.34
2/6/2014,9940.22
2/5/2014,9809.03
2/4/2014,9816.97
2/3/2014,9741.58
1/31/2014,9967.65
1/30/2014,10048.69
1/29/2014,9962.92
1/28/2014,10066.84
1/27/2014,9981.35
1/24/2014,10034.44
1/23/2014,10269.39
1/22/2014,10368.89
