Date,SP500_Value
9/30/2014,1972.29
9/29/2014,1977.8
9/26/2014,1982.85
9/25/2014,1965.99
9/24/2014,1998.3
9/23/2014,1982.77
9/22/2014,1994.29
9/19/2014,2010.4
9/18/2014,2011.36
9/17/2014,2001.57
9/16/2014,1998.98
9/15/2014,1984.13
9/12/2014,1985.54
9/11/2014,1997.45
9/10/2014,1995.69
9/9/2014,1988.44
9/8/2014,2001.54
9/5/2014,2007.71
9/4/2014,1997.65
9/3/2014,2000.72
9/2/2014,2002.28
8/29/2014,2003.37
8/28/2014,1996.74
8/27/2014,2000.12
8/26/2014,2000.02
8/25/2014,1997.92
8/22/2014,1988.4
8/21/2014,1992.37
8/20/2014,1986.51
8/19/2014,1981.6
8/18/2014,1971.74
8/15/2014,1955.06
8/14/2014,1955.18
8/13/2014,1946.72
8/12/2014,1933.75
8/11/2014,1936.92
8/8/2014,1931.59
8/7/2014,1909.57
8/6/2014,1920.24
8/5/2014,1920.21
8/4/2014,1938.99
8/1/2014,1925.15
7/31/2014,1930.67
7/30/2014,1970.07
7/29/2014,1969.95
7/28/2014,1978.91
7/25/2014,1978.34
7/24/2014,1987.98
7/23/2014,1987.01
7/22/2014,1983.53
7/21/2014,1973.63
7/18/2014,1978.22
7/17/2014,1958.12
7/16/2014,1981.57
7/15/2014,1973.28
7/14/2014,1977.1
7/11/2014,1967.57
7/10/2014,1964.68
7/9/2014,1972.83
7/8/2014,1963.71
7/7/2014,1977.65
7/3/2014,1985.44
7/2/2014,1974.62
7/1/2014,1973.32
6/30/2014,1960.23
6/27/2014,1960.96
6/26/2014,1957.22
6/25/2014,1959.53
6/24/2014,1949.98
6/23/2014,1962.61
6/20/2014,1962.87
6/19/2014,1959.48
6/18/2014,1956.98
6/17/2014,1941.99
6/16/2014,1937.78
6/13/2014,1936.16
6/12/2014,1930.11
6/11/2014,1943.89
6/10/2014,1950.79
6/9/2014,1951.27
6/6/2014,1949.44
6/5/2014,1940.46
6/4/2014,1927.88
6/3/2014,1924.24
6/2/2014,1924.97
5/30/2014,1923.57
5/29/2014,1920.03
5/28/2014,1909.78
5/27/2014,1911.91
5/23/2014,1900.53
5/22/2014,1892.49
5/21/2014,1888.03
5/20/2014,1872.83
5/19/2014,1885.08
5/16/2014,1877.86
5/15/2014,1870.85
5/14/2014,1888.53
5/13/2014,1897.45
5/12/2014,1896.65
5/9/2014,1878.48
5/8/2014,1875.63
5/7/2014,1878.21
5/6/2014,1867.72
5/5/2014,1884.66
5/2/2014,1881.14
5/1/2014,1883.68
4/30/2014,1883.95
4/29/2014,1878.33
4/28/2014,1869.43
4/25/2014,1863.4
4/24/2014,1878.61
4/23/2014,1875.39
4/22/2014,1879.55
4/21/2014,1871.89
4/17/2014,1864.85
4/16/2014,1862.31
4/15/2014,1842.98
4/14/2014,1830.61
4/11/2014,1815.69
4/10/2014,1833.08
4/9/2014,1872.18
4/8/2014,1851.96
4/7/2014,1845.04
4/4/2014,1865.09
4/3/2014,1888.77
4/2/2014,1890.9
4/1/2014,1885.52
3/31/2014,1872.34
3/28/2014,1857.62
3/27/2014,1849.04
3/26/2014,1852.56
3/25/2014,1865.62
3/24/2014,1857.44
3/21/2014,1866.52
3/20/2014,1872.01
3/19/2014,1860.77
3/18/2014,1872.25
3/17/2014,1858.83
3/14/2014,1841.13
3/13/2014,1846.34
3/12/2014,1868.2
3/11/2014,1867.63
3/10/2014,1877.17
3/7/2014,1878.04
3/6/2014,1877.03
3/5/2014,1873.81
3/4/2014,1873.91
3/3/2014,1845.73
2/28/2014,1859.45
2/27/2014,1854.29
2/26/2014,1845.16
2/25/2014,1845.12
2/24/2014,1847.61
2/21/2014,1836.25
2/20/2014,1839.78
2/19/2014,1828.75
2/18/2014,1840.76
2/14/2014,1838.63
2/13/2014,1829.83
2/12/2014,1819.26
2/11/2014,1819.75
2/10/2014,1799.84
2/7/2014,1797.02
2/6/2014,1773.43
2/5/2014,1751.64
2/4/2014,1755.2
2/3/2014,1741.89
1/31/2014,1782.59
1/30/2014,1794.19
1/29/2014,1774.2
1/28/2014,1792.5
1/27/2014,1781.56
1/24/2014,1790.29
1/23/2014,1828.46
1/22/2014,1844.86
1/21/2014,1843.8
1/17/2014,1838.7
1/16/2014,1845.89
1/15/2014,1848.38
1/14/2014,1838.88
1/13/2014,1819.2
1/10/2014,1842.37
1/9/2014,1838.13
1/8/2014,1837.49
1/7/2014,1837.88
1/6/2014,1826.77
1/3/2014,1831.37
1/2/2014,1831.98
12/31/2013,1848.36
12/30/2013,1841.07
12/27/2013,1841.4
12/26/2013,1842.02
12/24/2013,1833.32
12/23/2013,1827.99
12/20/2013,1818.32
12/19/2013,1809.6
12/18/2013,1810.65
12/17/2013,1781
12/16/2013,1786.54
12/13/2013,1775.32
12/12/2013,1775.5
12/11/2013,1782.22
12/10/2013,1802.62
12/9/2013,1808.37
12/6/2013,1805.09
12/5/2013,1785.03
12/4/2013,1792.81
12/3/2013,1795.15
12/2/2013,1800.9
11/29/2013,1805.81
11/27/2013,1807.23
11/26/2013,1802.75
11/25/2013,1802.48
11/22/2013,1804.76
11/21/2013,1795.85
11/20/2013,1781.37
11/19/2013,1787.87
11/18/2013,1791.53
11/15/2013,1798.18
11/14/2013,1790.62
11/13/2013,1782
11/12/2013,1767.69
11/11/2013,1771.89
11/8/2013,1770.61
11/7/2013,1747.15
11/6/2013,1770.49
11/5/2013,1762.97
11/4/2013,1767.93
11/1/2013,1761.64
10/31/2013,1756.54
10/30/2013,1763.31
10/29/2013,1771.95
10/28/2013,1762.11
10/25/2013,1759.77
10/24/2013,1752.07
10/23/2013,1746.38
10/22/2013,1754.67
10/21/2013,1744.66
10/18/2013,1744.5
10/17/2013,1733.15
10/16/2013,1721.54
10/15/2013,1698.06
10/14/2013,1710.14
10/11/2013,1703.2
10/10/2013,1692.56
10/9/2013,1656.4
10/8/2013,1655.45
10/7/2013,1676.12
10/4/2013,1690.5
10/3/2013,1678.66
10/2/2013,1693.87
10/1/2013,1695
9/30/2013,1681.55
9/27/2013,1691.75
9/26/2013,1698.67
9/25/2013,1692.77
9/24/2013,1697.42
9/23/2013,1701.84
9/20/2013,1709.91
9/19/2013,1722.34
9/18/2013,1725.52
9/17/2013,1704.76
9/16/2013,1697.6
